Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.2072072072072072,0.2822822822822823,0.5139501123876123,0.5669371579415837,0.5347643767771216,0.6513761467889908,0.7421602787456446,0.6938110749185668,0.6644144144144144,0.7424924924924925,0.6756113256113256
2,0.1981981981981982,0.2852852852852853,0.5184927506356077,0.5552932279429617,0.5269669909326989,0.6501547987616099,0.7317073170731707,0.6885245901639344,0.6659159159159159,0.7282282282282282,0.6691334191334192
3,0.21621621621621623,0.2912912912912913,0.504862324004079,0.549495580235677,0.5215604855917166,0.6439628482972136,0.7247386759581882,0.6819672131147541,0.6554054054054054,0.7222222222222222,0.6597383097383098
4,0.1891891891891892,0.2882882882882883,0.5171658919711878,0.5533091009588347,0.5252688984927808,0.6470588235294118,0.7282229965156795,0.6852459016393443,0.6606606606606606,0.7237237237237237,0.6643286143286145
5,0.1981981981981982,0.2957957957957958,0.504847322978164,0.5278010336007077,0.5126233278065738,0.6480263157894737,0.686411149825784,0.6666666666666666,0.6524024024024024,0.6914414414414415,0.6451093951093951
6,0.21621621621621623,0.2852852852852853,0.5138802474511401,0.565352481077866,0.5340137427149709,0.6483180428134556,0.7386759581881533,0.6905537459283387,0.6606606606606606,0.737987987987988,0.6706778206778208
1,0.17117117117117117,0.3303303303303303,0.45469090386867284,0.5547454434617994,0.4951695767505922,0.5778443113772455,0.7095588235294118,0.636963696369637,0.5923423423423423,0.6918918918918918,0.6034606034606035
2,0.18018018018018017,0.3213213213213213,0.46957513531153855,0.5690815482740949,0.5093076037562662,0.5863095238095238,0.7242647058823529,0.6480263157894737,0.6021021021021019,0.7061561561561562,0.6168454168454169
3,0.14414414414414414,0.33633633633633636,0.4603824487248865,0.5448639707438879,0.4902235591140551,0.5740740740740741,0.6838235294117647,0.6241610738255033,0.5833333333333333,0.6806306306306306,0.5963177463177464
4,0.14414414414414414,0.34384384384384387,0.4511355622217645,0.5230952336542399,0.47819926090071063,0.5678233438485805,0.6617647058823529,0.6112054329371817,0.5743243243243242,0.6596096096096097,0.5829758329758329
5,0.16216216216216217,0.32882882882882886,0.45550206031552537,0.5438758782444082,0.49169460470710824,0.581039755351682,0.6985294117647058,0.6343906510851419,0.5953453453453453,0.6866366366366367,0.6024739024739025
6,0.17117117117117117,0.3303303303303303,0.4580027414933075,0.5443951049541113,0.493675988960481,0.5797546012269938,0.6948529411764706,0.6321070234113713,0.6006006006006005,0.6791291291291291,0.6006292006292007
1,0.12612612612612611,0.3108108108108108,0.48361141716728717,0.5080692961172213,0.48886285124750395,0.6047297297297297,0.6654275092936803,0.6336283185840708,0.5998498498498498,0.6561561561561561,0.6000429000429001
2,0.12612612612612611,0.32732732732732733,0.4559434697629599,0.5245824910202467,0.47569312475327513,0.5799373040752351,0.6877323420074349,0.6292517006802721,0.5923423423423423,0.6674174174174176,0.5998069498069499
3,0.14414414414414414,0.3183183183183183,0.45840639168354813,0.5364478255039331,0.4859689341984277,0.5882352941176471,0.7063197026022305,0.6418918918918919,0.596096096096096,0.6899399399399399,0.6126340626340626
4,0.15315315315315314,0.30180180180180183,0.48151343465006907,0.5265296785168205,0.4989267393213824,0.6140939597315436,0.6802973977695167,0.6455026455026455,0.6208708708708708,0.6824324324324325,0.6220506220506221
5,0.16216216216216217,0.30180180180180183,0.47661939399614384,0.5533993605589164,0.5073653974131577,0.60625,0.7211895910780669,0.6587436332767402,0.6261261261261262,0.7184684684684685,0.6410982410982411
6,0.17117117117117117,0.2852852852852853,0.5065219221890885,0.5371574558307463,0.5149010477167337,0.632996632996633,0.6988847583643123,0.6643109540636042,0.6411411411411411,0.6944444444444444,0.6375804375804376
1,0.2882882882882883,0.26876876876876876,0.5545678193844658,0.5562681701468466,0.5514176982833482,0.7022653721682848,0.7138157894736842,0.7079934747145188,0.695945945945946,0.7034534534534536,0.6777563277563277
2,0.24324324324324326,0.2957957957957958,0.5201681343833563,0.5241518387658094,0.5189849712521302,0.6731391585760518,0.6842105263157895,0.6786296900489397,0.674924924924925,0.6681681681681683,0.6495066495066496
3,0.2972972972972973,0.26576576576576577,0.5479513358989815,0.5715596086919617,0.5564372566588107,0.6978193146417445,0.7368421052631579,0.7168,0.6974474474474475,0.7252252252252254,0.688867438867439
