Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.014150943396226415,0.3018867924528302,0.5655692081743455,0.35764363901277474,0.41363921176194385,0.6248256624825662,0.41674418604651164,0.5,0.6139401086335049,0.4113307944675869,0.4497422096339966
2,0.009433962264150943,0.30997304582210244,0.574503564666432,0.33782389116900796,0.4077048510819295,0.6138032305433186,0.38883720930232557,0.4760820045558087,0.536675248231852,0.3668827765525879,0.40040004159732234
3,0.014150943396226415,0.2998652291105121,0.5979914140278716,0.3171902326004476,0.37947020599367115,0.6456692913385826,0.3813953488372093,0.47953216374269003,0.5997966917778239,0.3744297761986442,0.4202117481113042
4,0.014150943396226415,0.308288409703504,0.5624247851949151,0.3219802173242715,0.3872337502219482,0.6226993865030674,0.3776744186046512,0.4701795020266358,0.6118156345750684,0.3819750741920554,0.4258749790103841
5,0.009433962264150943,0.30424528301886794,0.552858629173557,0.3570916712325404,0.41303883478316294,0.6187845303867403,0.41674418604651164,0.4980544747081712,0.6231700820144216,0.42042612785537314,0.45802016610840146
6,0.009433962264150943,0.3032345013477089,0.5662299103910301,0.3445777189902957,0.40084991944215276,0.6237623762376238,0.4102325581395349,0.494949494949495,0.5816175962402378,0.38692790438073454,0.4241533485012952
1,0.014150943396226415,0.3103099730458221,0.5618504491307796,0.2767071934524738,0.3497029117462968,0.6384479717813051,0.3358070500927644,0.4401215805471125,0.5173131245065207,0.3303564621960849,0.3668972330218606
2,0.018867924528301886,0.32075471698113206,0.5480948910210013,0.30316863790580195,0.36879372940371813,0.5975232198142415,0.3580705009276438,0.44779582366589327,0.5727725366876311,0.36129403877045385,0.3988267074213244
3,0.02358490566037736,0.3194070080862534,0.5399470295948625,0.27843690876286264,0.3564570063033429,0.6148409893992933,0.3228200371057514,0.4233576642335766,0.5236710092842168,0.34233218301614526,0.37086508878961705
4,0.018867924528301886,0.3130053908355795,0.5587624405287848,0.3140320752081421,0.3864906372413929,0.6165884194053208,0.3654916512059369,0.4589400116482236,0.5499457172806229,0.3800118775354624,0.40744618481161216
5,0.009433962264150943,0.316711590296496,0.537839319781263,0.28959305358343823,0.3526859153095961,0.6098726114649682,0.35528756957328383,0.4490035169988277,0.554353848457622,0.3476837104195595,0.3838544417415116
6,0.018867924528301886,0.30694070080862534,0.5914732744068438,0.25693303906041537,0.3401786071683261,0.6680080482897385,0.3079777365491651,0.42158730158730157,0.5307839173405211,0.3113090133137303,0.3559133869275379
1,0.018867924528301886,0.3146900269541779,0.5502079989616442,0.30021460807602246,0.36755640153455665,0.6049586776859505,0.3449575871819039,0.43937575030012005,0.5835868926670813,0.3574086552860138,0.40068762464379654
2,0.02830188679245283,0.3049191374663073,0.5778949423611148,0.31051804553715195,0.361170957238828,0.625,0.36757775683317623,0.4629080118694362,0.5802579365079364,0.37372716382150345,0.4170764432246557
3,0.018867924528301886,0.2975067385444744,0.5836181496411668,0.35991959831954873,0.42312399714678284,0.6278735632183908,0.411875589066918,0.4974388161639158,0.5965043080609118,0.4190831835879006,0.4522218685476298
4,0.018867924528301886,0.29649595687331537,0.5927111544047028,0.34072046853807425,0.39548438995735496,0.6336779911373708,0.4043355325164939,0.4936708860759494,0.5915444880067522,0.40961178496555856,0.4449422047923713
5,0.02358490566037736,0.3045822102425876,0.5524715292659971,0.3869788874528515,0.4301638529750044,0.5992414664981036,0.4467483506126296,0.5118790496760259,0.5994964809823301,0.4525157232704402,0.47531646196324334
6,0.018867924528301886,0.2961590296495957,0.5961749989647191,0.3349758674221922,0.39320752795235486,0.6387195121951219,0.39491046182846373,0.48806057076295867,0.5908000149745433,0.39275232105420776,0.4340556856511351
1,0.02358490566037736,0.2857142857142857,0.6135504003394485,0.35689679371221317,0.42927858990651085,0.6500777604976672,0.4015369836695485,0.49643705463182897,0.5999070897655804,0.3948742819025838,0.43649634221111816
2,0.02358490566037736,0.28672506738544473,0.5987787021644003,0.38542268999795176,0.44257340714664234,0.6312154696132597,0.4390009606147935,0.5178470254957507,0.5484700441068365,0.41579576084293063,0.4358154755282946
3,0.02358490566037736,0.29110512129380056,0.6035056413749575,0.35885430080998854,0.43157377250105583,0.6318926974664679,0.40730067243035545,0.4953271028037383,0.5538287184513601,0.3957858572245365,0.42204618214278533
4,0.02358490566037736,0.2971698113207547,0.5778930972877274,0.39101850787092934,0.43873916701269183,0.6052980132450331,0.4390009606147935,0.5089086859688196,0.5829608415693321,0.4317977619864412,0.45471738200723544
5,0.02358490566037736,0.28470350404312667,0.6001927847848508,0.38185050775347024,0.45055490595598136,0.6408045977011494,0.42843419788664744,0.5135290731145653,0.5550554398431757,0.40939414359225684,0.43038326660909754
6,0.02358490566037736,0.29514824797843664,0.5968442558162453,0.3477263957309253,0.4040111375557501,0.6240601503759399,0.39865513928914503,0.48651817116060964,0.5719293678020093,0.3914432396743718,0.42427436603352253
1,0.014150943396226415,0.30963611859838275,0.5901203087471945,0.36539380549007283,0.4272555007507616,0.6369770580296896,0.4206773618538324,0.5067096081588836,0.6002892809496583,0.4146076669661576,0.45096091490047036
2,0.009433962264150943,0.308288409703504,0.5879559470401186,0.3806320597162395,0.4337035252218908,0.6325224071702945,0.44028520499108736,0.5191802417235943,0.6239466770127147,0.4420840820604972,0.47661399686598305
3,0.0047169811320754715,0.3113207547169811,0.5729550537469397,0.39325709424976946,0.44069173642252235,0.6195652173913043,0.4572192513368984,0.5261538461538462,0.5693414944594191,0.4482442348008385,0.4603307918480388
4,0.009433962264150943,0.30424528301886794,0.6037141798834165,0.3709559188876499,0.4370368039083185,0.6489795918367347,0.42513368983957217,0.5137318255250404,0.5888162283209453,0.42029424977538193,0.44657893320892034
5,0.0047169811320754715,0.3140161725067385,0.5898571959706438,0.37608930173014515,0.4278418300902424,0.6230569948186528,0.428698752228164,0.5079197465681098,0.6100460467205749,0.42566075172207246,0.45576900694861733
6,0.0,0.3140161725067385,0.6127544670739554,0.36215746650106284,0.42685963128775256,0.631578947368421,0.40641711229946526,0.4945770065075922,0.5989536537885594,0.4052803983228512,0.43748484463333465
Promedio,0.01619496855345912,0.3043688230008985,0.578624857464031,0.3419586865366243,0.4039024238340828,0.6266775284632107,0.39666160058417255,0.48465920037748406,0.5787196839673254,0.3938440333251654,0.42726591091454735
