Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.1981981981981982,0.2852852852852853,0.5153983129678364,0.5537721427278367,0.5309333740716927,0.653968253968254,0.7177700348432056,0.6843853820598007,0.6636636636636637,0.7177177177177178,0.6634277134277136
2,0.1891891891891892,0.2882882882882883,0.5078777362354278,0.5519721323833378,0.5248692041439905,0.6479750778816199,0.7247386759581882,0.6842105263157895,0.6629129129129129,0.7244744744744744,0.6674174174174177
3,0.23423423423423423,0.28378378378378377,0.5130412071588543,0.5609135620625542,0.5312896449930943,0.6512345679012346,0.735191637630662,0.690671031096563,0.6591591591591591,0.7357357357357358,0.6703775203775204
4,0.1981981981981982,0.2822822822822823,0.5158453617687484,0.557621849897462,0.5268497629324637,0.6523076923076923,0.7386759581881533,0.6928104575163399,0.6674174174174176,0.7334834834834836,0.673166023166023
5,0.1981981981981982,0.2912912912912913,0.5085666023166023,0.5532123142766822,0.5203652094402993,0.6422018348623854,0.7317073170731707,0.6840390879478827,0.6606606606606606,0.728978978978979,0.6655298155298157
6,0.24324324324324326,0.27627627627627627,0.5184230448936331,0.5743156708735582,0.5411505902715523,0.6574923547400612,0.7491289198606271,0.7003257328990228,0.6711711711711712,0.7439939939939939,0.6797511797511797
1,0.17117117117117117,0.32732732732732733,0.46234766744189787,0.5794368014864909,0.5098541611308494,0.5794117647058824,0.7242647058823529,0.6437908496732027,0.5974474474474473,0.7151651651651653,0.6167167167167168
2,0.17117117117117117,0.32732732732732733,0.4601807865554877,0.5716311993744706,0.5059468635842271,0.5794117647058824,0.7242647058823529,0.6437908496732027,0.5962462462462461,0.7054054054054054,0.6116545116545118
3,0.16216216216216217,0.32882882882882886,0.46140528152143273,0.5624475259050828,0.5021045264700973,0.5791044776119403,0.7132352941176471,0.6392092257001647,0.5968468468468467,0.6971471471471472,0.6086729586729588
4,0.17117117117117117,0.33633633633633636,0.4475413398681128,0.5496685831054361,0.49070837807951206,0.5718562874251497,0.7022058823529411,0.6303630363036303,0.5915915915915916,0.6821321321321323,0.5997139997139997
5,0.18018018018018017,0.33183183183183185,0.4536201939845815,0.5465290490135212,0.4923165106051502,0.5779816513761468,0.6948529411764706,0.6310517529215359,0.5941441441441441,0.6798798798798801,0.6002002002002
6,0.16216216216216217,0.32732732732732733,0.46307899540444897,0.5658488864493005,0.5047537394979918,0.5803571428571429,0.7169117647058824,0.6414473684210527,0.5968468468468467,0.6993993993993994,0.6103889603889605
1,0.14414414414414414,0.30930930930930933,0.473912453426111,0.5429004708519612,0.5039936952701848,0.6012861736334405,0.6951672862453532,0.6448275862068965,0.609009009009009,0.6869369369369369,0.6163306163306163
