Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.3025210084033613,0.21708683473389356,0.6318008822465281,0.6718954148208306,0.6498263689037258,0.6347826086956522,0.6728110599078341,0.6532438478747203,0.6400560224089636,0.6694677871148461,0.6260504201680673
2,0.31932773109243695,0.211484593837535,0.6403349631154572,0.6738248327575521,0.6511326192833041,0.6434782608695652,0.6820276497695853,0.6621923937360179,0.6442577030812325,0.6904761904761907,0.6397759103641457
3,0.3025210084033613,0.21008403361344538,0.6497415798263256,0.6673308630289433,0.6554379526685435,0.6502242152466368,0.6682027649769585,0.6590909090909091,0.6400560224089636,0.6666666666666667,0.6277310924369748
4,0.31092436974789917,0.211484593837535,0.6382781748805918,0.6766997474553519,0.6547899401875794,0.6434782608695652,0.6820276497695853,0.6621923937360179,0.6470588235294118,0.6918767507002802,0.6439775910364146
5,0.3025210084033613,0.21568627450980393,0.6326293222288774,0.6729905043880784,0.6492042470307181,0.6363636363636364,0.6774193548387096,0.65625,0.6442577030812325,0.6848739495798319,0.6341736694677873
6,0.31932773109243695,0.20728291316526612,0.6427417776464365,0.6950745524155226,0.6663270560635827,0.6468085106382979,0.7004608294930875,0.672566371681416,0.6554621848739497,0.700280112044818,0.6504201680672268
1,0.2184873949579832,0.20868347338935575,0.6885971309398097,0.6254450026001751,0.6544717500092753,0.6933962264150944,0.6363636363636364,0.6636568848758465,0.7016806722689075,0.6316526610644259,0.6282913165266107
2,0.23529411764705882,0.211484593837535,0.6829350094036002,0.6205104308552585,0.6485244802146211,0.6886792452830188,0.6320346320346321,0.6591422121896162,0.6820728291316526,0.6316526610644259,0.6201680672268908
3,0.24369747899159663,0.20588235294117646,0.6900173215149631,0.6338304816753093,0.6590872586176559,0.6962616822429907,0.645021645021645,0.6696629213483146,0.696078431372549,0.6442577030812325,0.6327731092436975
4,0.24369747899159663,0.19607843137254902,0.7087851037851038,0.6323568595120319,0.6670565302144249,0.7198067632850241,0.645021645021645,0.680365296803653,0.7226890756302521,0.6484593837535014,0.646498599439776
5,0.23529411764705882,0.21568627450980393,0.671837185802703,0.6088227152882325,0.6363746221122911,0.6824644549763034,0.6233766233766234,0.6515837104072398,0.6764705882352942,0.6162464985994398,0.611764705882353
6,0.226890756302521,0.21288515406162464,0.6819638842394928,0.6198347551795828,0.6470742782218193,0.6854460093896714,0.6320346320346321,0.6576576576576577,0.6820728291316526,0.6316526610644259,0.6198879551820728
1,0.2857142857142857,0.22268907563025211,0.6142621298362408,0.6411800134543543,0.6263650886633708,0.62882096069869,0.6605504587155964,0.6442953020134228,0.6015406162464986,0.6582633053221288,0.604201680672269
2,0.31092436974789917,0.20728291316526612,0.6444198757776344,0.6601593179940036,0.647564178094621,0.6548672566371682,0.6788990825688074,0.6666666666666666,0.6274509803921567,0.669467787114846,0.6249299719887956
3,0.2857142857142857,0.21568627450980393,0.6251889005609551,0.6546845227119061,0.6355941420100711,0.6391304347826087,0.6743119266055045,0.65625,0.6267507002801121,0.6708683473389355,0.6229691876750699
4,0.29411764705882354,0.21568627450980393,0.6245008565184004,0.6612768148011555,0.6413856611225032,0.6379310344827587,0.6788990825688074,0.6577777777777778,0.6197478991596639,0.6750700280112044,0.6215686274509803
5,0.3025210084033613,0.2184873949579832,0.6226569886052645,0.6462305185048592,0.6331027915394314,0.6359649122807017,0.6651376146788991,0.6502242152466368,0.6050420168067226,0.65406162464986,0.6078431372549019
6,0.29411764705882354,0.21428571428571427,0.630003810699663,0.6497825619275924,0.6346757037140843,0.6431718061674009,0.6697247706422018,0.6561797752808989,0.6260504201680672,0.669467787114846,0.6201680672268909
1,0.2457627118644068,0.2019774011299435,0.6899165172121148,0.6558959692665819,0.666425593433231,0.6822429906542056,0.6606334841628959,0.671264367816092,0.673728813559322,0.6892655367231638,0.6480225988700566
2,0.23728813559322035,0.2076271186440678,0.6843253904962413,0.6601551692355353,0.6673070293054558,0.6712962962962963,0.6561085972850679,0.6636155606407322,0.6793785310734463,0.6793785310734464,0.6426553672316385
3,0.2542372881355932,0.192090395480226,0.7064675539852846,0.6919000260617137,0.6922910004732525,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6949152542372882,0.7118644067796609,0.6689265536723166
4,0.2457627118644068,0.2033898305084746,0.693006043274659,0.6716494221090986,0.6781299288295014,0.6774193548387096,0.665158371040724,0.6712328767123288,0.6709039548022598,0.6850282485875706,0.6426553672316385
5,0.2711864406779661,0.20056497175141244,0.6885096412653513,0.6719577131130566,0.6774068255919751,0.680365296803653,0.6742081447963801,0.6772727272727272,0.6709039548022598,0.6977401129943502,0.6528248587570622
6,0.2627118644067797,0.20056497175141244,0.6900263320359724,0.674158740259058,0.6793581492371149,0.680365296803653,0.6742081447963801,0.6772727272727272,0.6666666666666666,0.6864406779661015,0.6463276836158193
1,0.3728813559322034,0.1864406779661017,0.7105652430142877,0.6579237082998884,0.678635864484921,0.7129186602870813,0.6742081447963801,0.6930232558139535,0.713276836158192,0.6935028248587571,0.6742937853107344
2,0.3389830508474576,0.19491525423728814,0.6947067678004032,0.6445885470890388,0.663958658812608,0.6985645933014354,0.6606334841628959,0.6790697674418604,0.6963276836158192,0.6723163841807911,0.6525423728813559
