Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.21951219512195122,0.17276422764227642,0.1383061383061383,0.11058411952924374,0.1125875992992056,0.5892857142857143,0.3473684210526316,0.4370860927152318,0.6313008130081301,0.45213414634146337,0.4693766937669376
2,0.25609756097560976,0.16666666666666666,0.14487179487179488,0.11904688336835166,0.12202849367171618,0.6160714285714286,0.3631578947368421,0.45695364238410596,0.6298780487804878,0.47550813008130083,0.49074719318621757
3,0.21951219512195122,0.17378048780487804,0.13104142692750287,0.10664455705241764,0.10652205907680361,0.5855855855855856,0.34210526315789475,0.4318936877076412,0.6313008130081301,0.4480691056910569,0.4657181571815717
4,0.21951219512195122,0.17276422764227642,0.1383061383061383,0.10789594748623299,0.10965698859774975,0.5909090909090909,0.34210526315789475,0.43333333333333335,0.6321138211382114,0.4480691056910569,0.46600851722802944
5,0.23170731707317074,0.16971544715447154,0.14177489177489178,0.11223375767313476,0.11556350626118068,0.6055045871559633,0.3473684210526316,0.4414715719063545,0.6209349593495934,0.44989837398373983,0.4715737514518002
6,0.23170731707317074,0.16971544715447154,0.14487179487179488,0.11904688336835166,0.12202849367171618,0.6,0.3631578947368421,0.4524590163934426,0.6150406504065041,0.47550813008130083,0.47977158343012
1,0.21951219512195122,0.13516260162601626,0.20086580086580086,0.13130822981366458,0.14096311632543518,0.6761904761904762,0.4176470588235294,0.5163636363636364,0.6646341463414634,0.4894308943089431,0.511372435152923
2,0.23170731707317074,0.13414634146341464,0.20361305361305362,0.13130822981366458,0.14144620811287478,0.6826923076923077,0.4176470588235294,0.5182481751824818,0.6747967479674797,0.49146341463414633,0.5174699961285327
3,0.24390243902439024,0.133130081300813,0.21309736015618372,0.14013975155279504,0.1525514548092545,0.6788990825688074,0.43529411764705883,0.5304659498207885,0.6727642276422765,0.5036585365853659,0.526413085559427
4,0.21951219512195122,0.13821138211382114,0.18256222943722944,0.13391239648033124,0.14241587017124654,0.6545454545454545,0.4235294117647059,0.5142857142857142,0.6524390243902439,0.49146341463414633,0.5104626403406892
5,0.21951219512195122,0.13414634146341464,0.20404040404040405,0.13391239648033124,0.14404668092611356,0.6792452830188679,0.4235294117647059,0.5217391304347826,0.6686991869918699,0.49552845528455286,0.5170634920634921
6,0.24390243902439024,0.13414634146341464,0.21309736015618372,0.14013975155279504,0.1525514548092545,0.6727272727272727,0.43529411764705883,0.5285714285714286,0.6707317073170732,0.5036585365853659,0.5243805652342237
1,0.2345679012345679,0.16563786008230452,0.2168720918720919,0.12499480546465119,0.13510226644555,0.6666666666666666,0.35714285714285715,0.46511627906976744,0.6872427983539094,0.4796349740794185,0.5039789428678316
2,0.2222222222222222,0.16769547325102882,0.2940120571699519,0.1336353584600429,0.14694410828739188,0.6486486486486487,0.3673469387755102,0.46905537459283386,0.668724279835391,0.4899230399230399,0.5010982844316177
3,0.2345679012345679,0.1646090534979424,0.2983529028049576,0.13094718641703215,0.14600502758397493,0.6698113207547169,0.3622448979591837,0.47019867549668876,0.6995884773662551,0.48580781358559133,0.5122093955427288
4,0.2345679012345679,0.16358024691358025,0.22060185185185185,0.13130616591345906,0.14187734002963565,0.6728971962616822,0.3673469387755102,0.4752475247524752,0.6934156378600823,0.4899230399230399,0.5138554860777083
5,0.2222222222222222,0.16769547325102882,0.29897544603426957,0.14088173527163708,0.1536585778590043,0.6434782608695652,0.37755102040816324,0.4758842443729904,0.6934156378600823,0.5084415584415585,0.5196168029501362
6,0.24691358024691357,0.16358024691358025,0.3015618640618641,0.13094718641703215,0.14697652197652197,0.6761904761904762,0.3622448979591837,0.4717607973421927,0.6995884773662551,0.48580781358559133,0.5142670087114531
1,0.20987654320987653,0.1646090534979424,0.161019536019536,0.12277544023687081,0.13471557682083998,0.616822429906542,0.3567567567567568,0.4520547945205479,0.581275720164609,0.4725308641975308,0.4691162061532431
2,0.20987654320987653,0.1646090534979424,0.1839728954454982,0.12078917978286842,0.13465608465608467,0.616822429906542,0.3567567567567568,0.4520547945205479,0.6041152263374485,0.48384773662551445,0.47872819909856945
3,0.2345679012345679,0.16152263374485595,0.20610307141997283,0.1306010077398577,0.14879958882406863,0.6320754716981132,0.3621621621621622,0.46048109965635736,0.6069958847736625,0.4848765432098766,0.48628257887517146
4,0.20987654320987653,0.16049382716049382,0.20450498575498574,0.11944509376136304,0.136164505754058,0.6435643564356436,0.35135135135135137,0.45454545454545453,0.6213991769547325,0.47973251028806585,0.48622378992749365
5,0.20987654320987653,0.16255144032921812,0.16199440231130371,0.11161952625837618,0.1233393561422937,0.6336633663366337,0.34594594594594597,0.44755244755244755,0.6018518518518519,0.46430041152263374,0.4735841661767587
6,0.20987654320987653,0.16152263374485595,0.1651995305164319,0.10884174848059841,0.12091687552213866,0.6428571428571429,0.34054054054054056,0.4452296819787986,0.6059670781893004,0.46018518518518525,0.4723495982755242
1,0.25925925925925924,0.15637860082304528,0.32314814814814813,0.13158232591282126,0.14950715778889154,0.696969696969697,0.3612565445026178,0.47586206896551725,0.691358024691358,0.48363707622966884,0.5121906899684677
2,0.25925925925925924,0.15637860082304528,0.3145833333333333,0.12533232591282126,0.14156034024455078,0.7052631578947368,0.3507853403141361,0.46853146853146854,0.691358024691358,0.4699196551048403,0.5027630805408583
3,0.24691358024691357,0.15534979423868311,0.3178893178893179,0.12394343702393239,0.1409682351450324,0.7127659574468085,0.3507853403141361,0.47017543859649125,0.6872427983539096,0.469302371154223,0.5003527336860669
4,0.2345679012345679,0.1574074074074074,0.3125356125356125,0.13019343702393238,0.146607754410692,0.69,0.3612565445026178,0.4742268041237113,0.6790123456790124,0.4758867332941407,0.5000881834215167
5,0.25925925925925924,0.15534979423868311,0.3155753968253968,0.12676206447491278,0.14511073573573574,0.7127659574468085,0.3507853403141361,0.47017543859649125,0.6872427983539096,0.4600431118949638,0.4995296884185773
6,0.24691358024691357,0.1574074074074074,0.2740740740740741,0.1274156592461546,0.1434908293460925,0.6938775510204082,0.35602094240837695,0.47058823529411764,0.6851851851851852,0.4717715069566921,0.5004997060552615
Promedio,0.2313760915386932,0.158024273143966,0.22091416371319045,0.12527288626565594,0.13662542694350363,0.6535598790187268,0.3698828483751756,0.4717204000535948,0.6549871190069927,0.47799873963680045,0.4965697550634317
