Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.014150943396226415,0.3049191374663073,0.5700103559746038,0.33482053192731553,0.39940263560280825,0.6272455089820359,0.38976744186046514,0.48078026391279405,0.5956655896514387,0.390265355713469,0.43269394620670976
2,0.018867924528301886,0.3005390835579515,0.5772017609636294,0.34658020817461516,0.4106996561360329,0.6343612334801763,0.4018604651162791,0.4920273348519362,0.6186739753956735,0.4102657300770508,0.45342701293034254
3,0.009433962264150943,0.3079514824797844,0.5645328971424768,0.3153845140587967,0.3827188907215371,0.6259780907668232,0.37209302325581395,0.46674445740956827,0.5822858352339484,0.36812549347926704,0.41259577917458046
4,0.014150943396226415,0.306266846361186,0.5646445397064399,0.3404466135321928,0.4024700429646879,0.6220588235294118,0.39348837209302323,0.48205128205128206,0.6046128792591057,0.4010021032426693,0.44488961217596074
5,0.014150943396226415,0.30727762803234504,0.5732788152620883,0.3146040730067518,0.38159566045870347,0.6283464566929133,0.37116279069767444,0.4666666666666667,0.5844627594627594,0.36917745514443623,0.4122976234518964
6,0.009433962264150943,0.3136792452830189,0.5519654807620026,0.3027511714160381,0.3684621989604466,0.6150159744408946,0.3581395348837209,0.45267489711934156,0.5442654698550925,0.3508692041710909,0.38746894060434567
1,0.018867924528301886,0.30727762803234504,0.5688786399029132,0.3050725065890137,0.3741553736476746,0.6325878594249201,0.3673469387755102,0.4647887323943662,0.5558007637017072,0.3732360668681423,0.40514284485237817
2,0.018867924528301886,0.3140161725067385,0.5484318327882154,0.30803182006860486,0.3743934028378209,0.6119631901840491,0.37012987012987014,0.461271676300578,0.5589566486972147,0.37850132048245255,0.40793845829223185
3,0.0330188679245283,0.30727762803234504,0.5684873881650493,0.2879825934811131,0.36457951523932985,0.6431034482758621,0.3460111317254174,0.4499396863691194,0.5387709643605869,0.35685000272264417,0.3915331262029375
4,0.02358490566037736,0.305256064690027,0.5757713488327582,0.3010229206607677,0.37537279490997383,0.641914191419142,0.3608534322820037,0.46199524940617576,0.5625823599880204,0.37352602847885863,0.40477579286541554
5,0.02358490566037736,0.31233153638814015,0.5601263165206753,0.2864881554542737,0.3629814518693469,0.6295025728987993,0.3404452690166976,0.4419024683925346,0.5400344414495358,0.35189342889814584,0.3816579777664683
6,0.0330188679245283,0.3059299191374663,0.5776593841710743,0.29227705419085936,0.36831958253196184,0.6450511945392492,0.35064935064935066,0.4543269230769231,0.5510519616651691,0.3588753097007814,0.3941730701164664
1,0.018867924528301886,0.29952830188679247,0.5769659971070873,0.35342666390642397,0.41375435738450805,0.6242774566473989,0.4071630537229029,0.49286936679977184,0.5879407411247034,0.40913259958071274,0.44527188410735674
2,0.018867924528301886,0.3002021563342318,0.5695559139495904,0.3605353724163436,0.4145689317176296,0.6183844011142061,0.4184731385485391,0.4991568296795953,0.6019747678945792,0.4276036987121893,0.4589509292963788
3,0.018867924528301886,0.2941374663072776,0.5937483761352815,0.35723705542989354,0.4182999698052939,0.636231884057971,0.413760603204524,0.5014277555682467,0.603282160711406,0.4218085504642109,0.4559238793251123
4,0.02358490566037736,0.2944743935309973,0.5866084079043069,0.3492421783667676,0.4116683609888855,0.6385185185185185,0.4062205466540999,0.4965437788018433,0.618135035823715,0.41584868224019167,0.4571585561355382
5,0.018867924528301886,0.29582210242587603,0.575574449437697,0.36581261183137187,0.416173684665931,0.6262068965517241,0.4278982092365693,0.5083986562150056,0.6083922236044877,0.433582285115304,0.4657083034963288
6,0.02358490566037736,0.3002021563342318,0.5671484809064041,0.3487695303070793,0.4006229362217098,0.6214285714285714,0.40999057492931196,0.4940374787052811,0.5889683691570483,0.41275082359988013,0.449822773931554
1,0.02358490566037736,0.2890835579514825,0.6032233733719509,0.3603946623530943,0.42309452818811033,0.6351550960118169,0.41306436119116235,0.5005820721769499,0.6104256854256855,0.40742482098614174,0.44592608572214565
2,0.02358490566037736,0.2890835579514825,0.5944399742671261,0.3608353408404981,0.4272028432007375,0.6351550960118169,0.41306436119116235,0.5005820721769499,0.5934156252552478,0.4072806910071061,0.43742630227091933
3,0.02358490566037736,0.28369272237196763,0.6100012863319257,0.3674143765984868,0.4387408039271032,0.6469719350073855,0.4207492795389049,0.509895227008149,0.5931835198344633,0.40693831849492224,0.43919508857771905
4,0.02358490566037736,0.28807277628032346,0.6084552868796554,0.3619440728219215,0.4267420295425431,0.6375739644970414,0.4140249759846302,0.5020384391380315,0.611282978028261,0.4067041710909636,0.4454372401861303
5,0.02358490566037736,0.28706199460916443,0.6101976192249631,0.3772268172232519,0.44052803218257564,0.6340425531914894,0.42939481268011526,0.5120274914089347,0.6093606210351494,0.4186577704266384,0.455509794959018
6,0.02358490566037736,0.28672506738544473,0.6041730552699852,0.3496070959848368,0.41646870595631885,0.6452599388379205,0.4053794428434198,0.49793510324483775,0.5886649514008004,0.38945145525334207,0.42829540357287305
1,0.014150943396226415,0.30424528301886794,0.608829629187514,0.36352084455844114,0.42519153604497945,0.651872399445215,0.41889483065953653,0.5100379815518177,0.6400456723569931,0.41833820005989825,0.46475916345177115
2,0.0047169811320754715,0.2998652291105121,0.6077042878356169,0.3640415146571069,0.42816303507901715,0.6624649859943977,0.4215686274509804,0.5152505446623094,0.6220256813417191,0.41720762204252776,0.45867059484932904
3,0.009433962264150943,0.30121293800539084,0.6109123239959992,0.3691264595709355,0.43584578107848904,0.6578947368421053,0.4233511586452763,0.5151843817787418,0.6091887541179994,0.4229129230308476,0.4564425279953348
4,0.0047169811320754715,0.3028975741239892,0.5975945469258953,0.37150627685841103,0.433075655429081,0.650472334682861,0.4295900178253119,0.5174449812130971,0.6138038062566364,0.4247978436657682,0.4624409982035282
5,0.009433962264150943,0.3005390835579515,0.5955407942867089,0.38400409508935474,0.4422625799436403,0.6509186351706037,0.44206773618538325,0.5265392781316348,0.6325359389038634,0.4377171308775083,0.4772076842243762
6,0.0047169811320754715,0.30424528301886794,0.6338064070837005,0.3587209620760237,0.42404602952577714,0.6553191489361702,0.4117647058823529,0.5057471264367817,0.6200658879904163,0.4123745882000599,0.45179511738561623
Promedio,0.018081761006289318,0.3004604672057503,0.5851822990097778,0.3419609364483528,0.40672003355875513,0.6361759032527164,0.39827893522866703,0.48936227342164224,0.5929952022994478,0.39910398912757405,0.43615121707769217
