Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.0,0.3554582210242588,0.2620181405895692,0.09889399433448363,0.12984911225943943,0.5704225352112676,0.07534883720930233,0.13311421528348397,0.23073899371069184,0.06573279969506385,0.0986250646628005
2,0.009433962264150943,0.3534366576819407,0.24427226461329576,0.12510845734137882,0.1586842708557255,0.5730337078651685,0.09488372093023256,0.16280925778132482,0.2687106918238994,0.08329998094149037,0.12067989662329284
3,0.009433962264150943,0.35983827493261455,0.0826044703595724,0.050316678395496126,0.06052762568442011,0.547945205479452,0.037209302325581395,0.06968641114982578,0.1721698113207547,0.0308007637017071,0.05129155435759209
4,0.014150943396226415,0.35950134770889486,0.22959834993083073,0.11052407530578136,0.1449437619174623,0.5232558139534884,0.08372093023255814,0.14434643143544507,0.2372641509433962,0.0828206253913801,0.11386807636807636
5,0.014150943396226415,0.3443396226415094,0.23010207883560407,0.14233488499412517,0.17253182566978972,0.6358974358974359,0.11534883720930232,0.1952755905511811,0.3698899371069182,0.11947660567943588,0.16801050102936893
6,0.014150943396226415,0.26549865229110514,0.6909099618543166,0.4397936187785891,0.4934993651639365,0.680503144654088,0.5032558139534884,0.5786096256684492,0.6475685085354898,0.49053676931035417,0.5291758294116784
1,0.0,0.29683288409703507,0.32787308166702245,0.3114943250799306,0.3127915421734992,0.6463595839524517,0.4035250463821892,0.49685893774985723,0.618384995507637,0.40113296033107354,0.4534424433009339
2,0.0,0.3002021563342318,0.3304833898942502,0.2991529773369068,0.3061646104575547,0.6445131375579598,0.3868274582560297,0.4834782608695652,0.6205862533692722,0.3796615072558468,0.44104739600022613
3,0.009433962264150943,0.3611859838274933,0.21068388739741165,0.11594278292925772,0.14472348783100514,0.5159574468085106,0.08998144712430427,0.15323854660347552,0.267688679245283,0.08973137711345257,0.1260013571334326
4,0.009433962264150943,0.3527628032345013,0.24664670215912454,0.12197215431309748,0.15865105930044773,0.5828877005347594,0.10111317254174397,0.17233201581027668,0.3518081761006289,0.11437930518119196,0.15897438515363044
5,0.009433962264150943,0.3561320754716981,0.2437249998813755,0.11832543440475338,0.1525916630663227,0.559322033898305,0.09183673469387756,0.15776892430278885,0.27594339622641506,0.09288522012578616,0.12905807504864109
6,0.0,0.363544474393531,0.10221983530254206,0.05238740076966125,0.0678464392750107,0.49411764705882355,0.03896103896103896,0.07222699914015478,0.1800314465408805,0.03591474039587247,0.05775668252083346
1,0.009433962264150943,0.34804582210242585,0.22527370792785126,0.0932967686170606,0.12650375939849626,0.6076923076923076,0.07445805843543826,0.13266162888329136,0.23349056603773585,0.07599019167415394,0.1046502501691181
2,0.009433962264150943,0.3433288409703504,0.2501448797507911,0.09448304537493657,0.13326402762200296,0.675,0.0763430725730443,0.1371718882303133,0.2342767295597484,0.0735998802036538,0.10599458193797816
3,0.009433962264150943,0.3450134770889488,0.23101143663757093,0.10318167224077533,0.13868446692178013,0.6330935251798561,0.08294062205466542,0.14666666666666667,0.25157232704402516,0.08616165019466906,0.11764066646142117
4,0.02358490566037736,0.341644204851752,0.27883495503464545,0.10999071626093386,0.15485348921886294,0.6556291390728477,0.09330819981149858,0.16336633663366337,0.30424528301886794,0.1072177298592393,0.1441088785428408
5,0.009433962264150943,0.3436657681940701,0.23597948597948598,0.10701069870790003,0.14609595597526037,0.6496350364963503,0.08388312912346843,0.14858096828046743,0.24371069182389937,0.08103474094040132,0.1102826942449584
6,0.009433962264150943,0.35141509433962265,0.09576719576719575,0.04069659154404918,0.05703211517165006,0.6730769230769231,0.03298774740810556,0.06289308176100629,0.14622641509433962,0.031233153638814015,0.04836437147757902
1,0.0047169811320754715,0.35175202156334234,0.032467532467532464,0.026785714285714284,0.029354207436399216,0.45454545454545453,0.01440922190201729,0.027932960893854747,0.07075471698113207,0.011502321054207846,0.01961324838683329
2,0.0047169811320754715,0.35141509433962265,0.03333333333333333,0.024999999999999998,0.028571428571428574,0.4666666666666667,0.013448607108549471,0.026143790849673203,0.0660377358490566,0.011811171009284216,0.019744275640502056
3,0.014150943396226415,0.34097035040431267,0.1622250566893424,0.11623957011677168,0.13395599351162638,0.5736040609137056,0.10854947166186359,0.1825525040387722,0.3136792452830189,0.12075846061695118,0.15613545259771675
4,0.0047169811320754715,0.34568733153638814,0.22485537470120012,0.11511983257503974,0.14310683460088278,0.5547445255474452,0.07300672430355427,0.12903225806451613,0.22562893081761004,0.0666573075771189,0.09761687473951625
5,0.0047169811320754715,0.3477088948787062,0.2168454561311704,0.12041340311217132,0.1466057863454935,0.5306122448979592,0.07492795389048991,0.13131313131313133,0.23781446540880505,0.07120582509733452,0.10545345639685262
6,0.0047169811320754715,0.3524258760107817,0.031135531135531136,0.030357142857142857,0.030741410488245934,0.4358974358974359,0.01633045148895293,0.03148148148148148,0.08018867924528301,0.012812593590895479,0.021904353508127094
1,0.014150943396226415,0.35714285714285715,0.30459054834054833,0.15934302152111537,0.1977843396210743,0.6174242424242424,0.14527629233511585,0.2352092352092352,0.4807389937106918,0.1358434411500449,0.19679272509461185
2,0.0,0.35444743935309975,0.2575731179389716,0.1586004301272385,0.1932068734244274,0.6356589147286822,0.14616755793226383,0.23768115942028986,0.41627358490566035,0.14238731656184486,0.2009431867922434
3,0.0047169811320754715,0.27931266846361186,0.6430546625825434,0.4249128206578542,0.48606559462402926,0.6815365551425031,0.49019607843137253,0.5702436495593571,0.6501853099730457,0.48499550763701704,0.5247558690538713
4,0.014150943396226415,0.29009433962264153,0.3331368678246074,0.30469288441966313,0.3102492066070107,0.7035881435257411,0.4019607843137255,0.5116279069767442,0.6509658580413297,0.39238918837975434,0.4628362265432188
5,0.014150943396226415,0.28706199460916443,0.33672276196068934,0.30179807080303006,0.31090507812554247,0.7163461538461539,0.3983957219251337,0.5120274914089347,0.6583221024258761,0.38832547169811316,0.4633683987735043
6,0.014150943396226415,0.3581536388140162,0.3059657305486004,0.1480649270666031,0.18738818880074556,0.6184738955823293,0.13725490196078433,0.22465353756382203,0.4532232704402516,0.12931266846361184,0.18706168045790686
Promedio,0.008647798742138365,0.3386006289308176,0.2466684932412175,0.1488744698090487,0.17523911733731906,0.5952480206036105,0.1495285645493231,0.21436616311936826,0.33193733153638816,0.1469870424823255,0.1845066150809769
