Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.0,0.19308943089430894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.19308943089430894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.19308943089430894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.19308943089430894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.2682926829268293,0.15447154471544716,0.3148989898989899,0.12941128002307092,0.1507518796992481,0.6979166666666666,0.3526315789473684,0.46853146853146854,0.684959349593496,0.45030487804878055,0.4986740224545103
6,0.24390243902439024,0.1524390243902439,0.16359126984126984,0.12793707686180802,0.12871186784230262,0.6851851851851852,0.3894736842105263,0.4966442953020134,0.6869918699186991,0.49664634146341463,0.5243999225706543
1,0.0,0.17276422764227642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.17276422764227642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.17276422764227642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.17276422764227642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.17276422764227642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.17276422764227642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.20164609053497942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.20164609053497942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.20164609053497942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.2006172839506173,0.08333333333333333,0.009259259259259259,0.016666666666666666,1.0,0.00510204081632653,0.01015228426395939,0.012345679012345678,0.004115226337448559,0.006172839506172839
5,0.25925925925925924,0.15637860082304528,0.15819444444444444,0.12555321801464858,0.1323184564319316,0.7156862745098039,0.37244897959183676,0.4899328859060403,0.7119341563786009,0.484161723050612,0.5245550745550746
6,0.2716049382716049,0.15637860082304528,0.23091415830546266,0.1709744206237895,0.17200080515297902,0.671875,0.4387755102040816,0.5308641975308642,0.6851851851851852,0.5466009299342633,0.5537986704653372
1,0.012345679012345678,0.1882716049382716,0.049999999999999996,0.041666666666666664,0.04545454545454545,0.6,0.032432432432432434,0.06153846153846154,0.07407407407407407,0.03189300411522633,0.04138741916519694
2,0.0,0.19032921810699588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.19032921810699588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.19032921810699588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.19032921810699588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.19032921810699588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.19753086419753085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2839506172839506,0.15432098765432098,0.17569444444444446,0.11860380116959064,0.12673611111111113,0.7204301075268817,0.3507853403141361,0.47183098591549294,0.7098765432098766,0.4728003135410543,0.5177836566725456
3,0.20987654320987653,0.16872427983539096,0.08916666666666666,0.09839181286549707,0.09151515151515151,0.6421052631578947,0.3193717277486911,0.42657342657342656,0.6234567901234568,0.3983147168332354,0.44291593180482064
4,0.0,0.19650205761316872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.19650205761316872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.19650205761316872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Promedio,0.051641071966275216,0.18280554719127443,0.042193110231153706,0.027393251182811027,0.028805182795797874,0.1911066165682144,0.07536737647551331,0.09853560018539091,0.13962745491652448,0.09616123777746784,0.1036562512398104
