Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.4883720930232558,0.046103631170950635,0.2593984962406015,0.08729095465937571,0.12514619883040934,0.92,0.17164179104477612,0.2893081761006289,0.11627906976744186,0.07571059431524547,0.08798449612403102
2,0.4806201550387597,0.046103631170950635,0.20701754385964913,0.07811802232854864,0.10701754385964912,0.92,0.17164179104477612,0.2893081761006289,0.13953488372093023,0.07932816537467699,0.09693613879660391
3,0.4496124031007752,0.0554875560995512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.4496124031007752,0.05507955936352509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.49612403100775193,0.0485516115871073,0.15789473684210525,0.08333333333333333,0.10225563909774435,0.9411764705882353,0.11940298507462686,0.2119205298013245,0.10077519379844961,0.07235142118863049,0.08113695090439277
6,0.4418604651162791,0.0554875560995512,0.017543859649122806,0.004784688995215311,0.007518796992481203,0.25,0.007462686567164179,0.014492753623188406,0.007751937984496124,0.0025839793281653744,0.003875968992248062
1,0.5348837209302325,0.04039167686658507,0.34561403508771926,0.15081935608251396,0.19791014054171951,0.7857142857142857,0.2682926829268293,0.4,0.22609819121447028,0.17118863049095606,0.18501291989664084
2,0.4418604651162791,0.04895960832313342,0.07894736842105263,0.029135338345864664,0.042105263157894736,0.8,0.032520325203252036,0.0625,0.031007751937984496,0.025839793281653745,0.027131782945736434
3,0.4573643410852713,0.04732762137902897,0.14473684210526316,0.0412907268170426,0.061634349030470915,0.8888888888888888,0.06504065040650407,0.12121212121212122,0.06201550387596899,0.04715762273901809,0.05090439276485788
4,0.4573643410852713,0.04732762137902897,0.14473684210526316,0.06735588972431077,0.09090909090909091,0.8888888888888888,0.06504065040650407,0.12121212121212122,0.06201550387596899,0.045865633074935394,0.04961240310077519
5,0.46511627906976744,0.04691962464300286,0.14035087719298245,0.04974937343358396,0.0728783681692269,0.9,0.07317073170731707,0.13533834586466165,0.06976744186046512,0.05555555555555555,0.05943152454780362
6,0.4728682170542636,0.04732762137902897,0.14035087719298245,0.055388471177944855,0.07562766565536648,0.7692307692307693,0.08130081300813008,0.14705882352941177,0.07751937984496124,0.06589147286821706,0.06976744186046512
1,0.5271317829457365,0.04243166054671563,0.14210526315789473,0.05780075187969924,0.08044002780844885,0.8333333333333334,0.12931034482758622,0.22388059701492538,0.10077519379844961,0.05684754521963824,0.06950904392764856
2,0.5348837209302325,0.04202366381068951,0.24342105263157895,0.07283834586466165,0.10707070707070707,0.8421052631578947,0.13793103448275862,0.23703703703703705,0.08914728682170543,0.06201550387596899,0.0710594315245478
3,0.5271317829457365,0.0416156670746634,0.19736842105263158,0.0744047619047619,0.10201640464798359,0.85,0.14655172413793102,0.25,0.1124031007751938,0.06136950904392764,0.07571059431524547
4,0.5271317829457365,0.04202366381068951,0.2631578947368421,0.0837092731829574,0.12098427887901572,1.0,0.11206896551724138,0.20155038759689922,0.08527131782945736,0.050387596899224806,0.059948320413436694
5,0.5116279069767442,0.04691962464300286,0.07894736842105263,0.02506265664160401,0.038011695906432746,0.6666666666666666,0.017241379310344827,0.03361344537815126,0.015503875968992248,0.010335917312661497,0.011627906976744186
6,0.5116279069767442,0.04691962464300286,0.05263157894736842,0.007518796992481203,0.013157894736842105,1.0,0.008620689655172414,0.017094017094017096,0.007751937984496124,0.007751937984496124,0.007751937984496124
1,0.40310077519379844,0.05997552019583843,0.16491228070175437,0.06004784688995216,0.08694813957971852,0.8,0.07692307692307693,0.14035087719298245,0.08268733850129198,0.03875968992248062,0.05057216685123662
2,0.3875968992248062,0.06119951040391677,0.2192982456140351,0.06732456140350877,0.09773491042840887,0.7142857142857143,0.0641025641025641,0.11764705882352941,0.06976744186046512,0.029715762273901807,0.03968253968253968
3,0.43410852713178294,0.056303549571603426,0.23245614035087722,0.07828947368421053,0.11191080772105703,0.9090909090909091,0.1282051282051282,0.2247191011235955,0.13953488372093023,0.08785529715762273,0.10310077519379846
4,0.4108527131782946,0.051407588739290085,0.3260233918128655,0.1427312599681021,0.1920125691626046,0.8571428571428571,0.23076923076923078,0.36363636363636365,0.1937984496124031,0.10607235142118863,0.1320967146548542
5,0.40310077519379844,0.05385556915544676,0.3265004616805171,0.13517543859649125,0.18253624600373827,0.8,0.20512820512820512,0.32653061224489793,0.17635658914728683,0.09483204134366924,0.11851236618678479
6,0.3953488372093023,0.06283149734802121,0.039473684210526314,0.015789473684210527,0.022556390977443608,0.75,0.019230769230769232,0.0375,0.023255813953488372,0.007751937984496124,0.011627906976744186
1,0.5038759689922481,0.05059159526723786,0.061403508771929814,0.014832535885167466,0.023809523809523808,0.6,0.024,0.046153846153846156,0.023255813953488372,0.007105943152454779,0.010852713178294573
2,0.5271317829457365,0.046511627906976744,0.21491228070175436,0.07496012759170653,0.10745284263289803,0.8235294117647058,0.112,0.19718309859154928,0.08397932816537466,0.049741602067183456,0.05891472868217054
3,0.5116279069767442,0.05018359853121175,0.08771929824561403,0.032376395534290274,0.046198830409356725,0.5833333333333334,0.056,0.10218978102189781,0.050387596899224806,0.025839793281653745,0.03281653746770025
4,0.5581395348837209,0.04202366381068951,0.3515417331206805,0.13295739348370927,0.18190032497511718,0.7894736842105263,0.24,0.36809815950920244,0.18604651162790697,0.11627906976744186,0.13543743078626796
5,0.5348837209302325,0.04814361485108119,0.15864661654135337,0.0740829346092504,0.09895589175367568,0.7058823529411765,0.096,0.16901408450704225,0.07751937984496124,0.05193798449612402,0.058656330749354
6,0.5426356589147286,0.044471644226846185,0.2631578947368421,0.10869218500797449,0.14905685265796068,0.8076923076923077,0.168,0.2781456953642384,0.12403100775193798,0.07881136950904392,0.09150978220745663
Promedio,0.47958656330749344,0.049150006799945606,0.16867561980442866,0.06352867892341577,0.08819191318016621,0.7465478378976832,0.10091994065599633,0.17088984032447538,0.08447459086993972,0.05282945736434108,0.06170604158976252
