Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.5193798449612403,0.0416156670746634,0.3555137844611529,0.19776638566112248,0.24235012819404833,0.8076923076923077,0.31343283582089554,0.45161290322580644,0.23255813953488372,0.15684754521963826,0.18006644518272424
2,0.49612403100775193,0.0416156670746634,0.33742690058479535,0.18878560036454772,0.2292214823120576,0.8076923076923077,0.31343283582089554,0.45161290322580644,0.24224806201550386,0.15594315245478035,0.1795127353266888
3,0.5038759689922481,0.04202366381068951,0.3142857142857143,0.188975468975469,0.21881647874856702,0.7818181818181819,0.3208955223880597,0.455026455026455,0.25775193798449614,0.16886304909560723,0.1926910299003322
4,0.5193798449612403,0.03998368013055895,0.3375807940904894,0.1942705247968406,0.22475702942595982,0.875,0.31343283582089554,0.46153846153846156,0.2441860465116279,0.15917312661498706,0.1823551125876707
5,0.5503875968992248,0.03875968992248062,0.4263157894736842,0.19750740487582594,0.24932920536635708,0.8979591836734694,0.3283582089552239,0.4808743169398907,0.24031007751937986,0.17235142118863048,0.1929863418235511
6,0.5736434108527132,0.03671970624235006,0.4333333333333333,0.218023088023088,0.2730457548044685,0.8928571428571429,0.373134328358209,0.5263157894736842,0.2713178294573643,0.1962532299741602,0.21882613510520488
1,0.5348837209302325,0.03998368013055895,0.34773391812865495,0.1690042413726624,0.21866581030641438,0.7551020408163265,0.3008130081300813,0.43023255813953487,0.24547803617571057,0.18281653746770024,0.2001845699520118
2,0.5271317829457365,0.03998368013055895,0.3570175438596491,0.17005494505494503,0.21913643758519105,0.7551020408163265,0.3008130081300813,0.43023255813953487,0.24806201550387597,0.17829457364341086,0.19870801033591728
3,0.5038759689922481,0.03835169318645451,0.3684210526315789,0.18671197223828803,0.23592584700617938,0.8222222222222222,0.3008130081300813,0.44047619047619047,0.2222222222222222,0.15826873385012918,0.1772609819121447
4,0.5426356589147286,0.039575683394532844,0.4025632262474368,0.20604395604395603,0.26422568851195666,0.76,0.3089430894308943,0.4393063583815029,0.25193798449612403,0.19509043927648578,0.20878552971576225
5,0.49612403100775193,0.04039167686658507,0.3684210526315789,0.16455561981877773,0.21435706491108147,0.8,0.2601626016260163,0.39263803680981596,0.20025839793281652,0.14599483204134367,0.16168327796234772
6,0.4806201550387597,0.0416156670746634,0.312280701754386,0.14089550800077116,0.18856208939311433,0.8,0.22764227642276422,0.35443037974683544,0.17571059431524547,0.12273901808785528,0.13765227021040974
1,0.5581395348837209,0.033047735618115054,0.5825910931174089,0.21030701754385964,0.28482172865112976,0.8888888888888888,0.3448275862068966,0.4968944099378882,0.2222222222222222,0.14534883720930233,0.1691768180140273
2,0.5503875968992248,0.03386372909016728,0.5119617224880383,0.2112468671679198,0.2889516721095668,0.8837209302325582,0.3275862068965517,0.4779874213836478,0.20671834625322996,0.13049095607235142,0.15367294204503507
3,0.5503875968992248,0.03671970624235006,0.5119617224880383,0.18192355889724307,0.2542884990253411,0.8421052631578947,0.27586206896551724,0.4155844155844156,0.16537467700258396,0.11757105943152453,0.13126614987080104
4,0.5581395348837209,0.03427172582619339,0.45187969924812027,0.16989348370927318,0.22611657348499453,0.9,0.3103448275862069,0.46153846153846156,0.2054263565891473,0.12919896640826872,0.1526393503137689
5,0.5581395348837209,0.0346797225622195,0.5404858299595142,0.19085213032581452,0.2665247235120194,0.8974358974358975,0.3017241379310345,0.45161290322580644,0.20671834625322996,0.1272609819121447,0.15012919896640828
6,0.5503875968992248,0.03590371277029784,0.4781954887218045,0.17127192982456138,0.2310055441634389,0.868421052631579,0.28448275862068967,0.42857142857142855,0.18992248062015504,0.12080103359173126,0.14112218530823184
1,0.4728682170542636,0.04569563443492452,0.5363408521303258,0.21953804966962864,0.298558344782601,0.84375,0.34615384615384615,0.4909090909090909,0.2695090439276486,0.1874677002583979,0.20929841046120115
