Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.0171990171990172,0.17792792792792791,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.12530712530712532,0.052397704670431935,0.06894366894366895
2,0.07616707616707617,0.15438165438165438,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.32186732186732187,0.16234971689517141,0.20099290553836008
3,0.0,0.18243243243243243,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.10073710073710074,0.025642614278977915,0.039842617115344384
4,0.05405405405405406,0.15376740376740378,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3095823095823096,0.149897004442459,0.19049750413386776
5,0.48157248157248156,0.06818181818181818,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8845208845208845,0.7074922620377166,0.7666111666111667
6,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.036855036855036855,0.15376740376740378,0.5,0.5,0.5,0.2751842751842752,0.13131951313769494,0.1686433124935799
8,0.5798525798525799,0.06060606060606061,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9017199017199017,0.7587284746375655,0.8054444054444053
9,0.04668304668304668,0.15294840294840295,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.3464373464373464,0.15368488323033777,0.20085485085485086
10,0.0171990171990172,0.17792792792792791,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.12530712530712532,0.052397704670431935,0.06894366894366895
Promedio,0.23095823095823093,0.1281941031941032,0.3666666666666666,0.3666666666666666,0.3666666666666666,0.4390663390663391,0.3193909878000787,0.3510774100078913
