Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.0,0.19308943089430894,0.041666666666666664,0.013888888888888888,0.020833333333333332,0.5,0.005263157894736842,0.010416666666666666,0.012195121951219513,0.004065040650406504,0.006097560975609756
2,0.0,0.19308943089430894,0.041666666666666664,0.013888888888888888,0.020833333333333332,0.5,0.005263157894736842,0.010416666666666666,0.012195121951219513,0.004065040650406504,0.006097560975609756
3,0.0,0.19308943089430894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.012195121951219513,0.19207317073170732,0.125,0.024999999999999998,0.041353383458646614,0.6,0.015789473684210527,0.03076923076923077,0.036585365853658534,0.019308943089430892,0.023170731707317073
5,0.2804878048780488,0.15447154471544716,0.19206349206349205,0.09903493593704941,0.1031328320802005,0.7209302325581395,0.3263157894736842,0.4492753623188406,0.6666666666666667,0.41941056910569113,0.47800038714672854
6,0.2804878048780488,0.15548780487804878,0.2552083333333333,0.12977588266798498,0.14431645881505628,0.6907216494845361,0.3526315789473684,0.46689895470383275,0.6920731707317073,0.4698170731707318,0.5093302361595045
1,0.0,0.17479674796747968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.23170731707317074,0.13617886178861788,0.3171420083184789,0.13103883326194046,0.14787827647023047,0.6764705882352942,0.40588235294117647,0.5073529411764706,0.6727642276422765,0.4621951219512195,0.5028068137824236
3,0.036585365853658534,0.16971544715447154,0.13888888888888887,0.034126984126984124,0.05257936507936508,0.7142857142857143,0.029411764705882353,0.05649717514124294,0.06097560975609756,0.043089430894308944,0.0467479674796748
4,0.036585365853658534,0.17073170731707318,0.13333333333333333,0.02857142857142857,0.04583333333333334,0.6666666666666666,0.023529411764705882,0.045454545454545456,0.04878048780487805,0.04065040650406504,0.042682926829268296
5,0.012195121951219513,0.16971544715447154,0.14583333333333334,0.029761904761904757,0.048611111111111105,0.8,0.023529411764705882,0.045714285714285714,0.04878048780487805,0.026422764227642274,0.03252032520325203
6,0.036585365853658534,0.16869918699186992,0.16666666666666666,0.02857142857142857,0.048611111111111105,1.0,0.023529411764705882,0.04597701149425287,0.04878048780487805,0.04065040650406504,0.042682926829268296
1,0.024691358024691357,0.19958847736625515,0.08333333333333333,0.017857142857142856,0.029411764705882356,0.75,0.015306122448979591,0.03,0.037037037037037035,0.027777777777777776,0.029629629629629627
2,0.024691358024691357,0.19855967078189302,0.08333333333333333,0.017857142857142856,0.029411764705882356,1.0,0.015306122448979591,0.03015075376884422,0.037037037037037035,0.027777777777777776,0.029629629629629627
3,0.0,0.20164609053497942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.24691358024691357,0.16358024691358025,0.21984649122807018,0.1306874596495915,0.13692676743365104,0.6697247706422018,0.37244897959183676,0.4786885245901639,0.691358024691358,0.4852840575062797,0.5122303622303622
5,0.2839506172839506,0.1522633744855967,0.24713675213675215,0.14072218882878068,0.16036013732092166,0.7352941176470589,0.3826530612244898,0.5033557046979866,0.7407407407407407,0.5088530810753032,0.5485409652076318
6,0.0,0.20473251028806586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.012345679012345678,0.18930041152263374,0.05555555555555555,0.013888888888888888,0.022222222222222223,0.6666666666666666,0.010810810810810811,0.02127659574468085,0.024691358024691357,0.016460905349794237,0.018518518518518517
2,0.0,0.19135802469135801,0.03333333333333333,0.013888888888888888,0.0196078431372549,0.4,0.010810810810810811,0.021052631578947368,0.024691358024691357,0.008230452674897118,0.012345679012345678
3,0.0,0.19032921810699588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.19032921810699588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.012345679012345678,0.19032921810699588,0.12037037037037036,0.03472222222222222,0.04456654456654457,0.5,0.02702702702702703,0.05128205128205128,0.06172839506172839,0.026748971193415638,0.0345679012345679
6,0.0,0.19032921810699588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.19650205761316872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2839506172839506,0.15432098765432098,0.17569444444444446,0.11860380116959064,0.12673611111111113,0.7204301075268817,0.3507853403141361,0.47183098591549294,0.7098765432098766,0.4728003135410543,0.5177836566725456
3,0.2839506172839506,0.15432098765432098,0.23262987012987013,0.1306050051599587,0.14534298553316366,0.7070707070707071,0.36649214659685864,0.4827586206896552,0.7078189300411522,0.47526944934352344,0.5174309229864785
4,0.0,0.19650205761316872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.2716049382716049,0.15946502057613168,0.23421052631578945,0.12416795665634674,0.1361934247383164,0.6836734693877551,0.3507853403141361,0.46366782006920415,0.668724279835391,0.4618263766411915,0.4934664101330768
6,0.0,0.19547325102880658,0.08333333333333333,0.005952380952380952,0.011111111111111112,1.0,0.005235602094240838,0.010416666666666666,0.012345679012345678,0.006172839506172839,0.008230452674897118
Promedio,0.07904245709123757,0.17966894175114595,0.10420822442616819,0.04275374179358112,0.05119577382372608,0.4900644896723874,0.1039602291506073,0.14110843983699095,0.20052820435611762,0.13489589330450516,0.14708371883394464
