Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.014150943396226415,0.3473719676549865,0.2814990160103357,0.16033420709712412,0.19328009890852257,0.5833333333333334,0.14325581395348838,0.23002240477968633,0.43309748427672956,0.13026950774592283,0.18945718851379226
2,0.014150943396226415,0.34535040431266845,0.28445380310891893,0.1779361629683711,0.21254179492931982,0.5880281690140845,0.15534883720930232,0.2457689477557027,0.4253930817610063,0.13824923765961503,0.1939423260177977
3,0.009433962264150943,0.34804582210242585,0.16657848324514993,0.11596077632504907,0.13391835138792543,0.6105263157894737,0.10790697674418605,0.183399209486166,0.39465408805031443,0.09506418633777124,0.1455507280978979
4,0.009433962264150943,0.34838274932614555,0.2712650165974974,0.16039876202257333,0.19644470693312696,0.5762081784386617,0.14418604651162792,0.23065476190476192,0.4346698113207547,0.1329667973535898,0.18847423540819766
5,0.009433962264150943,0.340633423180593,0.29542681364109935,0.19568151375587717,0.2312588667332567,0.6025641025641025,0.17488372093023255,0.27108868060562363,0.4492138364779874,0.1683422840262463,0.22900074244413865
6,0.018867924528301886,0.26819407008086255,0.6479263931380121,0.4508493722927271,0.5074397187765579,0.6707466340269278,0.5097674418604651,0.5792811839323467,0.652403414195867,0.5039634893408478,0.538735809448906
1,0.0,0.29548517520215634,0.3714336553737043,0.3413441836614467,0.34921566421713707,0.6409537166900421,0.42393320964749537,0.5103294249022893,0.6164195867026054,0.4176049579351466,0.46742921648582025
2,0.0047169811320754715,0.29076819407008087,0.3806395637866342,0.3290970510404007,0.345115442064616,0.6592592592592592,0.41280148423005564,0.5077010838562465,0.6295822102425876,0.4051912317242506,0.4638595157463082
3,0.0047169811320754715,0.3359164420485175,0.30262459459481905,0.2164053287186873,0.23972740911301532,0.5985401459854015,0.22820037105751392,0.3304231027535259,0.5058962264150944,0.2294552669552669,0.2916363510703134
4,0.018867924528301886,0.33153638814016173,0.32652595976243354,0.22178148908065112,0.25384543352663586,0.6129807692307693,0.23654916512059368,0.3413654618473896,0.5955188679245284,0.2511513381796401,0.3274871093267319
5,0.009433962264150943,0.33524258760107817,0.32364359033552753,0.21025727416399184,0.24354258812936283,0.6066838046272494,0.2189239332096475,0.321745057941377,0.49937106918239,0.22459415584415585,0.28467865991450897
6,0.0047169811320754715,0.3433288409703504,0.18874470831886328,0.14530641383625323,0.15822448796439023,0.5986622073578596,0.1660482374768089,0.2599854756717502,0.5082547169811321,0.16780694410411393,0.23673820937971882
1,0.0047169811320754715,0.3392857142857143,0.3076354954053936,0.1630629106018938,0.20179433880718076,0.608,0.14326107445805844,0.2318840579710145,0.45015723270440255,0.13780510631925727,0.19591234237460653
2,0.0047169811320754715,0.3335579514824798,0.3278116082651315,0.16901086728914977,0.21203671335648552,0.6437246963562753,0.14985862393967955,0.24311926605504589,0.4516509433962264,0.14395402815214137,0.20182173696324637
3,0.0047169811320754715,0.33524258760107817,0.32605922726482744,0.17101672996158926,0.2133038301870893,0.6309523809523809,0.14985862393967955,0.2421934501142422,0.46187106918238996,0.14061470500149745,0.20017011290596193
4,0.014150943396226415,0.33524258760107817,0.3039489489489489,0.17639826395537067,0.21394875635011842,0.6170212765957447,0.16399622997172478,0.25912137006701413,0.4740566037735849,0.16845425277029047,0.23014404358743978
5,0.0047169811320754715,0.3335579514824798,0.3171548067062716,0.18277656072138657,0.22352137873943462,0.6339622641509434,0.1583411875589067,0.25339366515837103,0.45652515723270437,0.14411500449236297,0.20268567910077342
6,0.0047169811320754715,0.34299191374663074,0.17819389006795303,0.10685129768408179,0.12868686868686868,0.6303030303030303,0.09802073515551367,0.16965742251223492,0.3742138364779874,0.08795485175202157,0.13507412398921834
1,0.014150943396226415,0.34097035040431267,0.1904848027188453,0.12124712167265358,0.1442289184976882,0.5728643216080402,0.10951008645533142,0.18387096774193548,0.36792452830188677,0.10173551553268534,0.1511463379387908
2,0.014150943396226415,0.33995956873315364,0.1899189689407081,0.1266056461269227,0.14959837194902617,0.58,0.11143131604226705,0.18694601128122482,0.3730345911949686,0.10245225162677994,0.15282270140760706
3,0.009433962264150943,0.3288409703504043,0.32241435106006416,0.22924999419086944,0.2662828180534021,0.5848563968668408,0.21517771373679154,0.3146067415730337,0.4715408805031447,0.22088608456532988,0.27730696975979996
4,0.009433962264150943,0.33962264150943394,0.29620381430164044,0.16302350805430313,0.19397360230727578,0.5657370517928287,0.13640730067243034,0.21981424148606812,0.43160377358490565,0.1301291214027063,0.18829053546034677
5,0.009433962264150943,0.3335579514824798,0.29298019117506696,0.18742748531382353,0.22299509661756461,0.5977011494252874,0.14985590778097982,0.23963133640552994,0.43954402515723273,0.14238391325655475,0.2003429222768845
6,0.009433962264150943,0.34029649595687333,0.1890599977061773,0.13364048284261051,0.1549653968162821,0.5727699530516432,0.11719500480307397,0.19457735247208932,0.3919025157232704,0.10499809414903753,0.15789009208820529
1,0.009433962264150943,0.3308625336927224,0.3553132362102905,0.22720757559103003,0.2624963165577811,0.6732673267326733,0.24242424242424243,0.3564875491480996,0.5776392632524707,0.2367587601078167,0.31290098790098786
2,0.0,0.3497304582210243,0.3041569688706486,0.18795463756363776,0.22922127918673232,0.6381578947368421,0.17290552584670232,0.2720897615708275,0.4669811320754717,0.1656652440850554,0.23125708149293053
3,0.018867924528301886,0.27088948787061995,0.6486465404279891,0.4393557392301612,0.5020839330721661,0.6939024390243902,0.5071301247771836,0.5859938208032955,0.6702249925127284,0.503414195867026,0.5452624789195266
4,0.014150943396226415,0.28402964959568733,0.3770924609721272,0.33667267556482644,0.34637792759892344,0.7007194244604317,0.43404634581105167,0.5360484314804623,0.6548124438454627,0.42133123689727464,0.48524890296532913
5,0.014150943396226415,0.28537735849056606,0.3833592290980225,0.3211646087626,0.3401702534382431,0.7105666156202144,0.41354723707664887,0.5228169014084507,0.6551437556154538,0.40180256064690023,0.47158251170459825
6,0.014150943396226415,0.3524258760107817,0.31459913560977393,0.16564998780169907,0.20445589759099816,0.6417910447761194,0.1532976827094474,0.2474820143884892,0.5011792452830188,0.14334194369571726,0.20949655690221727
Promedio,0.009748427672955974,0.3282232704402516,0.31552650905542917,0.21112228759639207,0.2424898753499042,0.6214927967590285,0.21826900670370433,0.30904997190247646,0.4938160127782769,0.21208187558423408,0.27021154031975336
