Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.43410852713178294,0.05467156262749898,0.07368421052631578,0.02711323763955343,0.039473684210526314,0.5,0.022388059701492536,0.04285714285714286,0.015503875968992248,0.00904392764857881,0.01136950904392765
2,0.4883720930232558,0.049367605059159526,0.15789473684210525,0.07309941520467836,0.09899749373433583,1.0,0.09701492537313433,0.17687074829931973,0.08527131782945736,0.05813953488372092,0.0669250645994832
3,0.4573643410852713,0.05426356589147287,0.05263157894736842,0.017543859649122806,0.02631578947368421,1.0,0.007462686567164179,0.014814814814814815,0.007751937984496124,0.0025839793281653744,0.003875968992248062
4,0.4573643410852713,0.05385556915544676,0.10526315789473684,0.022328548644338114,0.03508771929824561,1.0,0.014925373134328358,0.029411764705882353,0.007751937984496124,0.005167958656330749,0.006201550387596899
5,0.46511627906976744,0.04691962464300286,0.2172932330827068,0.08854408749145593,0.11802232854864432,0.8275862068965517,0.1791044776119403,0.294478527607362,0.13695090439276483,0.07997416020671834,0.09616094499815431
6,0.5348837209302325,0.03835169318645451,0.41754385964912283,0.1822799422799423,0.23472208372389858,0.9761904761904762,0.30597014925373134,0.4659090909090909,0.2248062015503876,0.14974160206718345,0.17290513104466593
1,0.4806201550387597,0.04732762137902897,0.0733652312599681,0.0543859649122807,0.06246385193753615,0.7058823529411765,0.0975609756097561,0.17142857142857143,0.09302325581395349,0.07428940568475452,0.07932816537467699
2,0.4728682170542636,0.04814361485108119,0.07017543859649122,0.04736842105263158,0.05639097744360902,0.6666666666666666,0.08130081300813008,0.14492753623188406,0.07751937984496124,0.06395348837209303,0.06770025839793281
3,0.4418604651162791,0.046511627906976744,0.16691729323308271,0.07961731251204936,0.09972850246515354,0.6666666666666666,0.14634146341463414,0.24,0.11369509043927647,0.0710594315245478,0.08242894056847545
4,0.46511627906976744,0.04773561811505508,0.1236842105263158,0.05131578947368421,0.06929531185824092,0.7142857142857143,0.08130081300813008,0.145985401459854,0.07751937984496124,0.05813953488372093,0.06304909560723514
5,0.46511627906976744,0.04773561811505508,0.14035087719298245,0.044360902255639094,0.06077694235588972,0.8,0.06504065040650407,0.12030075187969924,0.06201550387596899,0.05426356589147287,0.05684754521963823
6,0.4186046511627907,0.049775601795185635,0.07894736842105263,0.017105263157894738,0.028070175438596492,0.6666666666666666,0.016260162601626018,0.031746031746031744,0.015503875968992248,0.005813953488372093,0.008268733850129198
1,0.5193798449612403,0.04528763769889841,0.09473684210526316,0.045112781954887216,0.058479532163742694,0.8571428571428571,0.05172413793103448,0.0975609756097561,0.046511627906976744,0.026485788113695088,0.03152454780361757
2,0.5348837209302325,0.04079967360261118,0.2982456140350877,0.10119047619047618,0.14341839447102603,0.8636363636363636,0.16379310344827586,0.2753623188405797,0.11369509043927647,0.07170542635658915,0.08397932816537468
3,0.5193798449612403,0.04528763769889841,0.13157894736842105,0.05513784461152881,0.07628920786815523,0.8571428571428571,0.05172413793103448,0.0975609756097561,0.046511627906976744,0.026485788113695088,0.03152454780361757
4,0.5193798449612403,0.04243166054671563,0.23684210526315788,0.0837092731829574,0.11572112098427888,0.9285714285714286,0.11206896551724138,0.2,0.08527131782945736,0.050387596899224806,0.059948320413436694
