Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.0,0.19308943089430894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.19308943089430894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.19308943089430894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.012195121951219513,0.19207317073170732,0.125,0.024999999999999998,0.041353383458646614,0.6,0.015789473684210527,0.03076923076923077,0.036585365853658534,0.019308943089430892,0.023170731707317073
5,0.25609756097560976,0.15345528455284552,0.1898989898989899,0.10441128002307092,0.1093984962406015,0.7191011235955056,0.3368421052631579,0.45878136200716846,0.6666666666666667,0.4309959349593496,0.4832268679829656
6,0.2926829268292683,0.15447154471544716,0.2881944444444445,0.12358622062923137,0.13841801817345295,0.6979166666666666,0.3526315789473684,0.46853146853146854,0.7052845528455285,0.47083333333333344,0.5183313975996903
1,0.0,0.17276422764227642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.23170731707317074,0.13211382113821138,0.16968201754385967,0.12419961894052974,0.131916024715134,0.7,0.4117647058823529,0.5185185185185185,0.6646341463414634,0.466260162601626,0.5028068137824236
3,0.0,0.17276422764227642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.17276422764227642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.17276422764227642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.17276422764227642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.20164609053497942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.20164609053497942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.20164609053497942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.24691358024691357,0.16358024691358025,0.21984649122807018,0.1306874596495915,0.13692676743365104,0.6697247706422018,0.37244897959183676,0.4786885245901639,0.691358024691358,0.4852840575062797,0.5122303622303622
5,0.2839506172839506,0.1522633744855967,0.24713675213675215,0.14072218882878068,0.16036013732092166,0.7352941176470589,0.3826530612244898,0.5033557046979866,0.7407407407407407,0.5088530810753032,0.5485409652076318
6,0.0,0.20164609053497942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.19032921810699588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.19032921810699588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.19032921810699588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.19032921810699588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.19032921810699588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.19032921810699588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.19650205761316872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2839506172839506,0.15432098765432098,0.17569444444444446,0.11860380116959064,0.12673611111111113,0.7204301075268817,0.3507853403141361,0.47183098591549294,0.7098765432098766,0.4728003135410543,0.5177836566725456
3,0.25925925925925924,0.1574074074074074,0.2183441558441558,0.1306050051599587,0.14307025826043637,0.6862745098039216,0.36649214659685864,0.4778156996587031,0.6995884773662551,0.4715657456398197,0.5093474426807759
4,0.0,0.19650205761316872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.2716049382716049,0.16255144032921812,0.15895800106326421,0.10741959064327485,0.11170711331173461,0.6774193548387096,0.3298429319371728,0.44366197183098594,0.6790123456790124,0.4450225357632765,0.4883891828336273
6,0.0,0.19650205761316872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Promedio,0.07127873130583158,0.18011308508146812,0.059758509886799364,0.03350783883480095,0.03666287700085633,0.20687202169069824,0.09730834411471947,0.12839844888399063,0.18645822877981869,0.1256974702503158,0.136794247356578
