Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.009433962264150943,0.3578167115902965,0.20075131198579352,0.09089014910156748,0.11285991025371069,0.5474452554744526,0.06976744186046512,0.12376237623762376,0.19732704402515722,0.062395518527594,0.0909216569593928
2,0.009433962264150943,0.3561320754716981,0.1975301484230056,0.10302446301892747,0.12961880121896302,0.56,0.07813953488372093,0.13714285714285715,0.2134433962264151,0.07179578806937298,0.10115539596671672
3,0.009433962264150943,0.3621967654986523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.014150943396226415,0.3611859838274933,0.18598170037245668,0.0991468001116593,0.12441407270623236,0.5094339622641509,0.07534883720930233,0.1312803889789303,0.19614779874213834,0.073798463067331,0.09980237267973117
5,0.014150943396226415,0.3477088948787062,0.1842178388519852,0.10182644023691192,0.126489625584193,0.6524822695035462,0.08558139534883721,0.1513157894736842,0.2688679245283019,0.09454007732309619,0.13033570203381523
6,0.018867924528301886,0.26549865229110514,0.6368305553162495,0.4102135529810246,0.46255361440365145,0.6900662251655629,0.4846511627906977,0.5693989071038251,0.6659703504043126,0.4742429347382178,0.5283777966699721
1,0.0,0.29683288409703507,0.27090807559929936,0.2736800570176555,0.2665957787661147,0.6617405582922824,0.3738404452690167,0.47777119146413755,0.6187106918238994,0.37221337362846796,0.4357194953893067
2,0.0047169811320754715,0.2941374663072776,0.27558195577661027,0.2661064206431979,0.26504264904547004,0.6770293609671848,0.36363636363636365,0.4731442365721183,0.6336477987421383,0.3591125200795011,0.43105667916988666
3,0.0047169811320754715,0.35377358490566035,0.20666535845107273,0.10185981976509353,0.13095131274742927,0.5933333333333334,0.08256029684601113,0.1449511400651466,0.26375786163522014,0.08250820196574914,0.11701380380625663
4,0.009433962264150943,0.3524258760107817,0.1840439569208496,0.07575470157388153,0.10178442086216637,0.6428571428571429,0.06679035250463822,0.12100840336134454,0.21265723270440248,0.0804282719377059,0.10709963516567289
5,0.0047169811320754715,0.3564690026954178,0.19199444744638433,0.0879658074937364,0.11389725441323284,0.5757575757575758,0.07050092764378478,0.1256198347107438,0.2169811320754717,0.07289437501701652,0.10213701392946677
6,0.0,0.3632075471698113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.009433962264150943,0.3497304582210243,0.25791521140358353,0.06912072212006849,0.0966696187359938,0.6210526315789474,0.05560791705937795,0.10207612456747404,0.17295597484276728,0.06303908355795149,0.08438699665114759
2,0.009433962264150943,0.34602425876010784,0.2521581732108048,0.07546592364141047,0.10863320254624602,0.6808510638297872,0.060320452403393024,0.11082251082251082,0.1761006289308176,0.06360437256663672,0.08419774669774668
3,0.009433962264150943,0.3466981132075472,0.2548577665361561,0.07752716235897486,0.10997704046157472,0.66,0.06220546654099906,0.11369509043927649,0.1761006289308176,0.06331424079065588,0.08680740119419364
4,0.014150943396226415,0.34535040431266845,0.18354479949874686,0.07534248328151154,0.10419035144755785,0.6730769230769231,0.06597549481621112,0.12017167381974249,0.19339622641509435,0.07825883498053308,0.10423949739987474
5,0.009433962264150943,0.34299191374663074,0.24479210193495907,0.10371399541119673,0.14283266899307334,0.6666666666666666,0.08105560791705937,0.14453781512605043,0.23113207547169812,0.07909740940401318,0.10717853948986025
6,0.0047169811320754715,0.35747978436657685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0047169811320754715,0.3507412398921833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0047169811320754715,0.3507412398921833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.009433962264150943,0.340633423180593,0.16250850340136053,0.10373957011677168,0.12542031004065385,0.5824175824175825,0.10182516810758886,0.1733442354865086,0.3018867924528302,0.11585991314764901,0.1506258416635775
4,0.0047169811320754715,0.34535040431266845,0.17605605460575033,0.0918084994512766,0.11599433714216446,0.5727272727272728,0.06051873198847262,0.10947002606429192,0.16981132075471697,0.056643081761006284,0.08163984862098068
5,0.0047169811320754715,0.34535040431266845,0.18794307196562834,0.09336173137964851,0.11860212466050127,0.5727272727272728,0.06051873198847262,0.10947002606429192,0.17059748427672958,0.05924303683737645,0.08493322715020828
6,0.0047169811320754715,0.3507412398921833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.014150943396226415,0.3692722371967655,0.2632898351648351,0.09789922331338217,0.1369803476946334,0.589041095890411,0.0766488413547237,0.13564668769716087,0.26297169811320753,0.07685309973045823,0.1093032753410112
2,0.0,0.35714285714285715,0.21743160414208673,0.1526560930868396,0.1778105784938316,0.62109375,0.14171122994652408,0.23076923076923078,0.3867924528301887,0.1370750973345313,0.19071523340391264
