Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.036585365853658534,0.18902439024390244,0.1898148148148148,0.04660493827160494,0.07376079086605403,0.625,0.05263157894736842,0.0970873786407767,0.12195121951219512,0.06016260162601626,0.07276422764227643
2,0.024390243902439025,0.1951219512195122,0.125,0.03734567901234568,0.057424812030075184,0.4375,0.03684210526315789,0.06796116504854369,0.07926829268292683,0.043089430894308944,0.051858304297328676
3,0.036585365853658534,0.18800813008130082,0.19886363636363635,0.04660493827160494,0.07216905901116427,0.6470588235294118,0.05789473684210526,0.10628019323671498,0.10975609756097561,0.06260162601626015,0.07378048780487804
4,0.024390243902439025,0.19004065040650406,0.14102564102564102,0.05277777777777778,0.07587719298245614,0.5714285714285714,0.06315789473684211,0.11374407582938388,0.1402439024390244,0.05914634146341463,0.07706155632984901
5,0.2804878048780488,0.15447154471544716,0.3111111111111111,0.1194949120421868,0.13806352490563015,0.7159090909090909,0.33157894736842103,0.45323741007194246,0.6788617886178863,0.42103658536585375,0.4806716995741386
6,0.2682926829268293,0.15447154471544716,0.26506410256410257,0.14489933945810846,0.16517994110873369,0.6826923076923077,0.3736842105263158,0.48299319727891155,0.6900406504065041,0.496239837398374,0.5243708865660085
1,0.036585365853658534,0.17378048780487804,0.16666666666666666,0.04642857142857143,0.06964285714285713,0.4666666666666667,0.041176470588235294,0.07567567567567568,0.07317073170731707,0.06300813008130081,0.06300813008130081
2,0.2926829268292683,0.125,0.3993055555555556,0.15987965838509316,0.19317497747550208,0.7281553398058253,0.4411764705882353,0.5494505494505495,0.7520325203252032,0.5434959349593496,0.5762098335269067
3,0.06097560975609756,0.1717479674796748,0.2236111111111111,0.07010006901311248,0.10270467836257309,0.52,0.07647058823529412,0.13333333333333333,0.1524390243902439,0.09186991869918698,0.1059233449477352
4,0.06097560975609756,0.16869918699186992,0.22708333333333333,0.06816770186335404,0.1008186705767351,0.5909090909090909,0.07647058823529412,0.13541666666666666,0.15853658536585366,0.09247967479674796,0.10795586527293843
5,0.07317073170731707,0.1676829268292683,0.23434343434343433,0.07372325741890959,0.10830691925893166,0.6086956521739131,0.08235294117647059,0.14507772020725387,0.17073170731707318,0.10365853658536585,0.11875725900116144
6,0.07317073170731707,0.16666666666666666,0.2523809523809524,0.07903726708074535,0.11189431913116121,0.6153846153846154,0.09411764705882353,0.16326530612244897,0.1951219512195122,0.11077235772357723,0.129732868757259
1,0.037037037037037035,0.19958847736625515,0.17777777777777778,0.05610190936277892,0.07807017543859648,0.5454545454545454,0.061224489795918366,0.11009174311926606,0.13580246913580246,0.06922933034044144,0.08290310512532735
2,0.037037037037037035,0.19650205761316872,0.21296296296296294,0.05739590522199217,0.07815040650406503,0.6190476190476191,0.0663265306122449,0.11981566820276497,0.15432098765432098,0.07540216984661428,0.09236812570145903
3,0.04938271604938271,0.19547325102880658,0.13095238095238096,0.06133540372670807,0.07486631016042782,0.625,0.07653061224489796,0.13636363636363635,0.18518518518518517,0.08980546202768425,0.10965207631874298
4,0.25925925925925924,0.15329218106995884,0.23924115100585688,0.1698078763997418,0.18664148205062533,0.7008547008547008,0.41836734693877553,0.5239616613418531,0.7006172839506173,0.5401100956656512,0.54782480893592
5,0.25925925925925924,0.1574074074074074,0.3116666666666667,0.1599159969426449,0.18106486259221036,0.6869565217391305,0.4030612244897959,0.5080385852090032,0.6995884773662552,0.5224333279888835,0.5422398589065256
6,0.04938271604938271,0.20164609053497942,0.2041666666666667,0.06567747872095699,0.08858742463393626,0.5,0.07142857142857142,0.125,0.16666666666666666,0.08959970071081183,0.1074074074074074
1,0.037037037037037035,0.18930041152263374,0.09375,0.06370772946859904,0.07585470085470085,0.52,0.07027027027027027,0.12380952380952381,0.16049382716049382,0.07818930041152262,0.09794238683127572
2,0.037037037037037035,0.18930041152263374,0.09375,0.06008454106280194,0.0731981981981982,0.5217391304347826,0.06486486486486487,0.11538461538461539,0.14814814814814814,0.0751028806584362,0.09300411522633745
3,0.037037037037037035,0.19032921810699588,0.08947368421052632,0.07427536231884058,0.08116883116883117,0.5,0.08108108108108109,0.13953488372093023,0.18518518518518517,0.08641975308641975,0.1102880658436214
4,0.037037037037037035,0.19135802469135801,0.09502923976608187,0.06038647342995169,0.07275132275132275,0.48148148148148145,0.07027027027027027,0.12264150943396226,0.15432098765432098,0.08436213991769546,0.09794238683127572
5,0.037037037037037035,0.19547325102880658,0.15107212475633527,0.06008454106280193,0.07234432234432235,0.41379310344827586,0.06486486486486487,0.11214953271028037,0.14814814814814814,0.0751028806584362,0.09300411522633743
6,0.012345679012345678,0.1934156378600823,0.03125,0.020833333333333332,0.024999999999999998,0.3333333333333333,0.016216216216216217,0.030927835051546393,0.037037037037037035,0.020576131687242795,0.024691358024691357
1,0.06172839506172839,0.18621399176954734,0.2023809523809524,0.0651844070961718,0.08969298245614034,0.7272727272727273,0.08376963350785341,0.15023474178403756,0.19753086419753085,0.1054673721340388,0.12613168724279836
2,0.25925925925925924,0.1522633744855967,0.22872474747474747,0.1473619711042312,0.16145833333333334,0.7128712871287128,0.3769633507853403,0.4931506849315068,0.7150205761316871,0.5123064863805605,0.535949441504997
3,0.19753086419753085,0.15432098765432098,0.21319872504083034,0.18062220502235982,0.19007754129654833,0.6666666666666666,0.4293193717277487,0.5222929936305732,0.6604938271604939,0.5368214775622183,0.5274936311973348
4,0.0,0.1934156378600823,0.1011904761904762,0.030462184873949583,0.045138888888888895,0.6666666666666666,0.031413612565445025,0.06,0.07407407407407407,0.028189300411522632,0.03991769547325103
5,0.24691358024691357,0.16152263374485595,0.18371971595655803,0.11525412796697627,0.12316092855142091,0.6808510638297872,0.33507853403141363,0.44912280701754387,0.6728395061728395,0.43980991573584166,0.47932766821655703
6,0.25925925925925924,0.15637860082304528,0.2058333333333333,0.13045880632954934,0.14209956709956711,0.7010309278350515,0.35602094240837695,0.4722222222222222,0.6810699588477366,0.4632667058592984,0.503813264924376
Promedio,0.1060624309946803,0.1767305697748336,0.19001369881375044,0.08413381211559347,0.10361146737250032,0.5937473311230992,0.16015419892235047,0.22794217718318224,0.3066232560473753,0.2013251802231025,0.21979985542466723
