Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.014150943396226415,0.2668463611859838,0.6220936923541179,0.4950125760738643,0.5408142164355347,0.6581005586592179,0.5479069767441861,0.5979695431472081,0.6501478736148548,0.5369525783440877,0.5567434138188856
2,0.02358490566037736,0.2601078167115903,0.6185551286955367,0.5138482074217675,0.5519202047010016,0.6644951140065146,0.5693023255813954,0.6132264529058116,0.6579795597484277,0.5588174535108498,0.5747986976935806
3,0.014150943396226415,0.2702156334231806,0.61016375840592,0.48881602553687536,0.5329512047305712,0.6531986531986532,0.5413953488372093,0.5920651068158698,0.6414166938931091,0.529090943123962,0.5491311592587952
4,0.0047169811320754715,0.2722371967654987,0.6286026813861053,0.462726549162562,0.5096112414265482,0.6546929316338355,0.5255813953488372,0.5830753353973168,0.6419942348008386,0.5075669089820033,0.537079299107601
5,0.02358490566037736,0.2671832884097035,0.6221046091640823,0.4810832877158487,0.5311140305777179,0.6613272311212814,0.5376744186046511,0.5931246793227296,0.6459362833183587,0.5241456002069209,0.5515634853800782
6,0.02358490566037736,0.26819407008086255,0.6168193933803321,0.5097870638464317,0.5476191931827328,0.6501614639397201,0.5618604651162791,0.6027944111776448,0.6467299341120096,0.5502351683955458,0.5643711403284101
1,0.0,0.28402964959568733,0.5524138754961305,0.43215065803117214,0.4723729542591523,0.6403823178016727,0.4972170686456401,0.5597911227154047,0.6147686433063793,0.49586379291567967,0.5189376314584416
2,0.014150943396226415,0.2779649595687331,0.5716307372139272,0.42251496210586703,0.4690945778041219,0.6575342465753424,0.4897959183673469,0.5614035087719298,0.6325864779874213,0.4875869544501619,0.5209765277884034
3,0.0,0.3130053908355795,0.48149326948860144,0.3811772346008307,0.41570520593561494,0.6033287101248266,0.4035250463821892,0.48360200111172874,0.5804245283018868,0.4024565057583926,0.44263709299086657
4,0.03773584905660377,0.28470350404312667,0.6075524626543359,0.4372717019837006,0.48112166434559744,0.638196915776987,0.49907235621521334,0.5601249349297241,0.6356412848158133,0.5084407076152359,0.5316898730751759
5,0.02358490566037736,0.2803234501347709,0.5620205469350565,0.43027987901203363,0.4716291300540307,0.648910411622276,0.4972170686456401,0.5630252100840336,0.62487458820006,0.4981569400201475,0.5230551102728945
6,0.0047169811320754715,0.2830188679245283,0.5599606011200453,0.41544731234933197,0.46164608373325017,0.6491228070175439,0.4805194805194805,0.5522388059701493,0.6055480682839173,0.47160520297312747,0.4993672862776637
1,0.04245283018867924,0.2661725067385445,0.6320441471784489,0.476607598864179,0.5299126665168934,0.6611177170035671,0.5240339302544769,0.5846477392218717,0.6483060047918539,0.5345537586103624,0.5523929563468963
2,0.0330188679245283,0.2668463611859838,0.6266095988029593,0.4949160053227324,0.5399776980115324,0.652321630804077,0.5428840716305372,0.5925925925925926,0.6244403264450435,0.5482816711590296,0.5538021056819614
3,0.03773584905660377,0.2661725067385445,0.6391418799123602,0.4732530698824956,0.5285021905568141,0.6615017878426699,0.5230914231856739,0.5842105263157895,0.6366969901168015,0.5300146001796945,0.5451785774344042
4,0.05188679245283019,0.2671832884097035,0.6316699174786015,0.4796846632939033,0.5290479812017999,0.6558139534883721,0.5315739868049011,0.5871941697032795,0.6465427523210542,0.546690625935909,0.5602172144971812
5,0.03773584905660377,0.27324797843665766,0.6273426992504855,0.4492361773045602,0.5024458590748602,0.6531862745098039,0.5023562676720076,0.5679275439531166,0.6219283468104222,0.5050932165318958,0.5274532826280883
6,0.0330188679245283,0.2671832884097035,0.6245845678352328,0.4795555033234273,0.5293333640300077,0.6561771561771562,0.530631479736098,0.5867639395518499,0.6288877657981432,0.5342243186582809,0.5451546572800734
1,0.014150943396226415,0.2887466307277628,0.527786647979314,0.3857440094948535,0.43454865746351584,0.6377245508982036,0.4092219020172911,0.49853715623171446,0.600662623539982,0.391871715810395,0.4422647652323014
2,0.018867924528301886,0.2887466307277628,0.5175228092554116,0.38962252902616007,0.43609604825047377,0.6377245508982036,0.4092219020172911,0.49853715623171446,0.5993935309973045,0.39851088377031774,0.44557907716897727
3,0.014150943396226415,0.2941374663072776,0.536895421173923,0.4111025792114628,0.4596272213305211,0.6160220994475138,0.42843419788664744,0.5053824362606232,0.6042565139263252,0.4317599852977212,0.4717552494675136
4,0.014150943396226415,0.2961590296495957,0.49928176747512826,0.3815937858692679,0.4270889487976198,0.6216216216216216,0.3976945244956772,0.4850615114235501,0.5655660377358491,0.3821942470527375,0.424928850899994
5,0.014150943396226415,0.29110512129380056,0.5109961946178748,0.4075658862249652,0.4461818240040011,0.625531914893617,0.42363112391930835,0.5051546391752577,0.5812275381850854,0.40618176372893355,0.4464663088483843
6,0.018867924528301886,0.3002021563342318,0.4879510736474565,0.3899762783287182,0.4281059748125858,0.6080691642651297,0.4053794428434198,0.48645533141210373,0.5657738095238095,0.39020392605298265,0.4330332041555682
1,0.02830188679245283,0.2863881401617251,0.5446773967323234,0.4036887500805825,0.447694717612416,0.679419525065963,0.4590017825311943,0.5478723404255319,0.6447720125786164,0.4461421832884097,0.4978548612566371
2,0.018867924528301886,0.29076819407008087,0.5663268595272453,0.4283817355371307,0.47857714319236483,0.6620775969962454,0.4714795008912656,0.5507548152004165,0.6442890835579516,0.4672488020365379,0.5090020897526447
3,0.014150943396226415,0.27088948787061995,0.6342601247051494,0.486308349473462,0.5397349649715822,0.6774553571428571,0.5409982174688057,0.6015857284440039,0.6435908954776879,0.5350610212638515,0.5552599324139718
4,0.0047169811320754715,0.2806603773584906,0.614180425467741,0.4679862884060283,0.5192652067304236,0.6625421822272216,0.5249554367201426,0.5857782197911486,0.6464379305181192,0.5212675950883497,0.5466752326458647
5,0.0047169811320754715,0.26785714285714285,0.6233734326071537,0.4944333339236223,0.5369805992307125,0.6767567567567567,0.5579322638146168,0.6116267708842208,0.6588742887091944,0.5488039083557952,0.5704088819968837
6,0.009433962264150943,0.28369272237196763,0.5830718889502917,0.4369429268244493,0.48828421654400767,0.6763224181360201,0.4786096256684492,0.5605427974947808,0.6561320754716979,0.47893830488170114,0.5232189710338988
Promedio,0.019811320754716987,0.27913297394429465,0.5827042536297097,0.4468904976077429,0.4929001663172669,0.6500279206550956,0.4937399649521958,0.5601022175554372,0.626527556562934,0.4889320427999673,0.5173665645397346
