Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.5271317829457365,0.039575683394532844,0.3651315789473684,0.14705703653072075,0.19771574168236555,0.9743589743589743,0.2835820895522388,0.4393063583815029,0.21705426356589147,0.1355297157622739,0.15946843853820597
2,0.5271317829457365,0.03998368013055895,0.31203007518796994,0.14117566643882434,0.18564593301435406,0.9736842105263158,0.27611940298507465,0.43023255813953487,0.21705426356589147,0.1387596899224806,0.1625692137320044
3,0.5193798449612403,0.0416156670746634,0.28571428571428575,0.12049897470950101,0.16423751686909582,0.9444444444444444,0.2537313432835821,0.4,0.20930232558139536,0.13100775193798447,0.1535252860834256
4,0.5271317829457365,0.03998368013055895,0.3649122807017544,0.13471785524417101,0.18434526755760874,0.9736842105263158,0.27611940298507465,0.43023255813953487,0.20930232558139536,0.13359173126614987,0.1558508674787744
5,0.5271317829457365,0.04039167686658507,0.3912280701754386,0.15057188425609477,0.20868196131354025,0.9487179487179487,0.27611940298507465,0.4277456647398844,0.20155038759689922,0.13617571059431524,0.15577703949796973
6,0.5271317829457365,0.03998368013055895,0.3912280701754386,0.157483101693628,0.21745389113810165,0.95,0.2835820895522388,0.4367816091954023,0.20155038759689922,0.1361757105943152,0.15577703949796973
1,0.5193798449612403,0.04243166054671563,0.3127714390872286,0.12569404279930596,0.16492872452624777,0.7435897435897436,0.23577235772357724,0.35802469135802467,0.2054263565891473,0.15051679586563305,0.16589147286821704
2,0.5116279069767442,0.044063647490820076,0.3072874493927125,0.11556776556776556,0.15567423460612315,0.7027027027027027,0.21138211382113822,0.325,0.17829457364341086,0.1350129198966408,0.14651162790697672
3,0.5038759689922481,0.04324765401876785,0.3568010936431989,0.1326103720840563,0.1785690170712056,0.717948717948718,0.22764227642276422,0.345679012345679,0.18733850129198965,0.13953488372093023,0.1532299741602067
4,0.5271317829457365,0.04079967360261118,0.3639676113360324,0.14023038365143628,0.19118322121092204,0.7804878048780488,0.2601626016260163,0.3902439024390244,0.22093023255813954,0.16149870801033592,0.17829457364341084
5,0.5116279069767442,0.042839657282741736,0.3096491228070175,0.11560632350106033,0.15669189313152163,0.75,0.21951219512195122,0.33962264150943394,0.18604651162790697,0.14599483204134367,0.15633074935400515
6,0.49612403100775193,0.044471644226846185,0.333502024291498,0.1089647194910353,0.1540082089281174,0.7058823529411765,0.1951219512195122,0.3057324840764331,0.16020671834625322,0.12015503875968993,0.13126614987080104
1,0.5426356589147286,0.037943696450428395,0.4593301435406698,0.1418546365914787,0.2083934583934584,0.8709677419354839,0.23275862068965517,0.3673469387755102,0.15633074935400515,0.09366925064599482,0.11188630490956072
2,0.5503875968992248,0.03835169318645451,0.40350877192982454,0.12647243107769424,0.18300599984810512,0.8928571428571429,0.21551724137931033,0.3472222222222222,0.1511627906976744,0.09302325581395349,0.10956072351421188
3,0.5503875968992248,0.03671970624235006,0.5105263157894736,0.14812030075187968,0.21893976859651917,0.90625,0.25,0.3918918918918919,0.1511627906976744,0.1020671834625323,0.11775562938353636
4,0.5426356589147286,0.03875968992248062,0.40789473684210525,0.11143483709273182,0.16917293233082706,0.92,0.19827586206896552,0.3262411347517731,0.12015503875968993,0.07881136950904392,0.09173126614987079
5,0.5503875968992248,0.037943696450428395,0.5087719298245613,0.14526942355889724,0.21766081871345028,0.896551724137931,0.22413793103448276,0.3586206896551724,0.14470284237726097,0.09366925064599482,0.10852713178294573
6,0.5426356589147286,0.03875968992248062,0.35406698564593303,0.11350250626566416,0.1652742968532442,0.8888888888888888,0.20689655172413793,0.3356643356643357,0.13565891472868216,0.08397932816537466,0.09915097822074567
1,0.46511627906976744,0.04773561811505508,0.5146198830409358,0.17950216450216452,0.25014764557208213,0.8979591836734694,0.28205128205128205,0.4292682926829268,0.23578811369509042,0.1512919896640827,0.1746031746031746
2,0.4496124031007752,0.049775601795185635,0.4335180055401662,0.13473209538999012,0.18611457342107496,0.8541666666666666,0.26282051282051283,0.4019607843137255,0.2338501291989664,0.14612403100775195,0.17048726467331116
3,0.4573643410852713,0.0485516115871073,0.4619883040935673,0.14358946608946607,0.20167351907937983,0.8936170212765957,0.2692307692307692,0.41379310344827586,0.2338501291989664,0.148062015503876,0.17177925433739386
4,0.4573643410852713,0.0485516115871073,0.5098833055489402,0.15003683451051872,0.21393077167070976,0.8775510204081632,0.27564102564102566,0.4195121951219512,0.23126614987080102,0.15064599483204133,0.17422788236741726
5,0.4573643410852713,0.04814361485108119,0.4853801169590643,0.15785847193741928,0.2235021392556132,0.88,0.28205128205128205,0.42718446601941745,0.24160206718346253,0.15645994832041343,0.18030638612033958
6,0.4496124031007752,0.04773561811505508,0.5415512465373962,0.1742035011771854,0.24217584960619018,0.8979591836734694,0.28205128205128205,0.4292682926829268,0.24547803617571057,0.1545219638242894,0.18074935400516795
1,0.5658914728682171,0.04039167686658507,0.4385964912280701,0.127779676463887,0.18743163576958588,0.90625,0.232,0.36942675159235666,0.1718346253229974,0.10852713178294573,0.12583979328165376
2,0.5581395348837209,0.04324765401876785,0.38736044657097285,0.12863408521303257,0.18545577229787757,0.7714285714285715,0.216,0.3375,0.15503875968992248,0.09883720930232558,0.11410114433370247
3,0.5426356589147286,0.0416156670746634,0.3771929824561403,0.11661540214171792,0.16974157729005374,0.896551724137931,0.208,0.33766233766233766,0.148578811369509,0.09043927648578812,0.10568475452196383
4,0.5658914728682171,0.04039167686658507,0.48205741626794263,0.13942241968557756,0.20514024295187727,0.90625,0.232,0.36942675159235666,0.18992248062015504,0.11498708010335916,0.1359173126614987
5,0.5581395348837209,0.03998368013055895,0.40789473684210525,0.13962178172704487,0.19788726201468584,0.9354838709677419,0.232,0.3717948717948718,0.1821705426356589,0.10981912144702843,0.13049095607235142
6,0.5658914728682171,0.0416156670746634,0.298582995951417,0.11435976304397356,0.15883128874818622,0.8709677419354839,0.216,0.34615384615384615,0.17054263565891473,0.1065891472868217,0.12428940568475451
Promedio,0.5198966408268733,0.04218686250509996,0.40256493053564096,0.1361062641062641,0.19145383878207087,0.870973386420731,0.243875986267365,0.38028467954501183,0.18977174849267878,0.1248492678725237,0.14338603830851893
