Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.18018018018018017,0.2882882882882883,0.5164983164983165,0.5197220958109026,0.5052578428765555,0.6567656765676567,0.6933797909407665,0.6745762711864407,0.6696696696696698,0.6921921921921922,0.6509438009438011
2,0.1891891891891892,0.2912912912912913,0.5115979365426427,0.5168080736497438,0.500036793407884,0.6524590163934426,0.6933797909407665,0.6722972972972973,0.6636636636636636,0.6876876876876877,0.6463534963534965
3,0.15315315315315314,0.2912912912912913,0.5144811207311207,0.5283152188807175,0.5100476269383544,0.6504854368932039,0.7003484320557491,0.674496644295302,0.6621621621621621,0.692942942942943,0.644873444873445
4,0.14414414414414414,0.2897897897897898,0.5193653933785513,0.5123985380289638,0.4965533004030907,0.6556291390728477,0.6898954703832753,0.6723259762308998,0.6644144144144143,0.6846846846846847,0.6444873444873446
5,0.2072072072072072,0.2897897897897898,0.5182706198900867,0.51237296627346,0.49748695844795915,0.6556291390728477,0.6898954703832753,0.6723259762308998,0.6606606606606605,0.6734234234234234,0.6411840411840414
6,0.1891891891891892,0.3003003003003003,0.5007129599027573,0.5034315365942436,0.48567700362219157,0.6435643564356436,0.6794425087108014,0.6610169491525424,0.6569069069069068,0.6794294294294293,0.6382239382239382
1,0.15315315315315314,0.3138138138138138,0.5005449918371266,0.4791339402105448,0.446500782349839,0.6082474226804123,0.6507352941176471,0.6287744227353463,0.6193693693693693,0.6292792792792794,0.5929214929214931
2,0.13513513513513514,0.3153153153153153,0.49415329133466385,0.4603349874571407,0.44256500161829754,0.6115107913669064,0.625,0.6181818181818182,0.6216216216216215,0.6108108108108108,0.5829329329329329
3,0.12612612612612611,0.31981981981981983,0.47275581849084564,0.47188756339895055,0.4396044274876094,0.6013745704467354,0.6433823529411765,0.6216696269982238,0.6051051051051052,0.6195195195195196,0.5827541827541828
4,0.13513513513513514,0.32432432432432434,0.4879528774690065,0.4697508807239656,0.4469552559544012,0.5972222222222222,0.6323529411764706,0.6142857142857143,0.6111111111111109,0.6217717717717718,0.5826683826683826
5,0.12612612612612611,0.3258258258258258,0.4614457328846864,0.4744372144993263,0.4410589410589411,0.5932203389830508,0.6433823529411765,0.6172839506172839,0.6036036036036034,0.6262762762762762,0.5823251823251824
6,0.16216216216216217,0.3123123123123123,0.49452861952861954,0.4604587728811331,0.43057063710087046,0.6126760563380281,0.6397058823529411,0.6258992805755396,0.6231231231231231,0.6105105105105105,0.5895323895323896
1,0.17117117117117117,0.2897897897897898,0.48249691842369186,0.5489850074595838,0.4965085232021504,0.620253164556962,0.7286245353159851,0.67008547008547,0.6246246246246248,0.6951951951951952,0.6353067353067353
2,0.14414414414414414,0.3033033033033033,0.4598963794833632,0.5020874605620368,0.4613158847195867,0.6105610561056105,0.6877323420074349,0.6468531468531469,0.6201201201201202,0.6704204204204205,0.6182754182754183
3,0.18018018018018017,0.2882882882882883,0.4896295632144689,0.5361282314672146,0.49337181612042613,0.6237942122186495,0.7211895910780669,0.6689655172413793,0.638888888888889,0.6974474474474475,0.640883740883741
4,0.18018018018018017,0.2927927927927928,0.4873200110313513,0.5143822587568935,0.47332372493215374,0.6225165562913907,0.6988847583643123,0.658493870402802,0.6298798798798799,0.668918918918919,0.625997425997426
5,0.17117117117117117,0.2912912912912913,0.48731114198007236,0.5234621619045933,0.4842821296184469,0.6229508196721312,0.7063197026022305,0.662020905923345,0.6276276276276276,0.6779279279279279,0.6287001287001287
6,0.14414414414414414,0.29429429429429427,0.47890529305970486,0.5169974564042361,0.4795132686620916,0.6196721311475409,0.7026022304832714,0.6585365853658537,0.6231231231231233,0.6906906906906909,0.6300300300300301
1,0.1891891891891892,0.2777777777777778,0.5525273546846374,0.5283248716153127,0.5175916566934352,0.6938110749185668,0.7006578947368421,0.6972176759410802,0.6936936936936938,0.6974474474474474,0.6744315744315746
2,0.1981981981981982,0.27177177177177175,0.5674495924495924,0.5176601890756302,0.5214279972260057,0.7098976109215017,0.6842105263157895,0.6968174204355109,0.7222222222222222,0.6839339339339339,0.6804590304590303
3,0.24324324324324326,0.26126126126126126,0.5928100785243643,0.5528361344537815,0.5389295457167931,0.7083333333333334,0.7269736842105263,0.7175324675324676,0.710960960960961,0.7207207207207207,0.6971471471471473
4,0.23423423423423423,0.2672672672672673,0.575734581279313,0.5383021390374332,0.5315574535559744,0.7058823529411765,0.7105263157894737,0.7081967213114754,0.7154654654654655,0.7102102102102102,0.6904547404547406
5,0.24324324324324326,0.2672672672672673,0.5686281676413255,0.5441191059757237,0.532433151668396,0.7032258064516129,0.7171052631578947,0.7100977198697068,0.7117117117117119,0.7087087087087087,0.6891462891462893
6,0.22522522522522523,0.26576576576576577,0.5693038549698652,0.5315242763772176,0.5306183923899879,0.7109634551495017,0.7039473684210527,0.7074380165289256,0.7139639639639641,0.7012012012012011,0.6863577863577865
1,0.11711711711711711,0.2897897897897898,0.5046005491657666,0.44117190369106013,0.4409865116946477,0.6988847583643123,0.6266666666666667,0.6608084358523726,0.7124624624624626,0.6268768768768769,0.6417846417846418
2,0.08108108108108109,0.2912912912912913,0.528398590898591,0.42281275917665195,0.4289280312606727,0.7022900763358778,0.6133333333333333,0.6548042704626335,0.7072072072072072,0.5990990990990991,0.6224367224367223
3,0.09009009009009009,0.29429429429429427,0.5166108416108416,0.44317215270008115,0.4469897657341164,0.6897810218978102,0.63,0.6585365853658537,0.707957957957958,0.6313813813813813,0.6396396396396398
4,0.11711711711711711,0.28378378378378377,0.5201021201021201,0.44305514125278883,0.4519594406797822,0.7094339622641509,0.6266666666666667,0.6654867256637168,0.7237237237237238,0.6313813813813814,0.6467181467181469
5,0.14414414414414414,0.2852852852852853,0.53848855540032,0.4445521584153225,0.4535856625258799,0.7037037037037037,0.6333333333333333,0.6666666666666666,0.7139639639639641,0.6373873873873874,0.6405834405834406
6,0.12612612612612611,0.2882882882882883,0.5087594139166282,0.42225545191575975,0.4313158875023282,0.7093023255813954,0.61,0.6559139784946236,0.7207207207207207,0.611111111111111,0.6317460317460317
Promedio,0.16336336336336335,0.2921921921921922,0.5140426895441481,0.4960293549550138,0.47856511383896233,0.6568013862776074,0.673655816647564,0.6639202035928115,0.665990990990991,0.662952952952953,0.6366433099766433
