Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.2682926829268293,0.15853658536585366,0.2847661744022503,0.1343327290954284,0.15364393178007166,0.6634615384615384,0.3631578947368421,0.46938775510204084,0.676829268292683,0.48760162601626017,0.5188734030197444
2,0.2804878048780488,0.1524390243902439,0.30706018518518513,0.14502876996388306,0.16758550403646458,0.6886792452830188,0.38421052631578945,0.49324324324324326,0.7154471544715447,0.5174796747967481,0.5447154471544715
3,0.2804878048780488,0.15345528455284552,0.29930555555555555,0.13143170051772202,0.14946984744174563,0.696969696969697,0.3631578947368421,0.47750865051903113,0.7032520325203253,0.4775406504065041,0.5222222222222223
4,0.25609756097560976,0.15345528455284552,0.2662050912050912,0.15125207706779822,0.17521043771043773,0.6822429906542056,0.38421052631578945,0.49158249158249157,0.6682926829268292,0.48058943089430894,0.514963221060782
5,0.2926829268292683,0.15447154471544716,0.2723290598290598,0.13949003694090828,0.1598657210742314,0.6862745098039216,0.3684210526315789,0.4794520547945205,0.682520325203252,0.4859756097560976,0.5248548199767712
6,0.2804878048780488,0.15345528455284552,0.29617871840094057,0.1390979689366786,0.15712703646606527,0.6857142857142857,0.37894736842105264,0.488135593220339,0.7012195121951219,0.49065040650406516,0.5282810685249709
1,0.2682926829268293,0.12398373983739837,0.4259469696969697,0.15782543995859213,0.18916037886283163,0.7307692307692307,0.4470588235294118,0.5547445255474452,0.7378048780487805,0.5331300813008131,0.5723480449090205
2,0.2682926829268293,0.12601626016260162,0.3969321378340365,0.1561136842293139,0.18944374037190417,0.7254901960784313,0.43529411764705883,0.5441176470588235,0.7276422764227642,0.5245934959349593,0.5608207510646535
3,0.23170731707317074,0.133130081300813,0.3517932489451477,0.1449529699435996,0.17029003539040036,0.6893203883495146,0.4176470588235294,0.5201465201465202,0.6971544715447155,0.5109756097560976,0.5351529229578009
4,0.25609756097560976,0.12398373983739837,0.36169871794871794,0.17028015010351968,0.1987420447803743,0.7142857142857143,0.47058823529411764,0.5673758865248227,0.7317073170731707,0.5463414634146341,0.574845141308556
5,0.2682926829268293,0.12703252032520326,0.4114267676767677,0.15561809868875087,0.1858286329361539,0.7142857142857143,0.4411764705882353,0.5454545454545454,0.7215447154471545,0.5266260162601626,0.5638404955478126
6,0.2682926829268293,0.125,0.4215277777777778,0.15487405106970326,0.1831536270634736,0.7238095238095238,0.4470588235294118,0.5527272727272727,0.7378048780487805,0.5331300813008131,0.5699090205187766
1,0.24691358024691357,0.1574074074074074,0.31566440805571244,0.1547764680127934,0.16812250206410786,0.6837606837606838,0.40816326530612246,0.5111821086261981,0.6893004115226337,0.5263427930094596,0.539840200951312
