Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.003,0.009505347593582888,0.038288968903942164,0.004684699159561512,0.008031677915260431,0.47593582887700536,0.025098702763677382,0.04768282882400214,0.06541666666666665,0.026166666666666664,0.03470476190476191
2,0.002,0.009387700534759359,0.05325303085221006,0.004880137504756427,0.00856494304159562,0.583732057416268,0.03440496333897349,0.06498002663115846,0.09133333333333332,0.03475,0.04754047619047619
3,0.004,0.009564171122994652,0.03651483320600968,0.0038513342039586127,0.006442465033372576,0.4311111111111111,0.027354765933446136,0.05144523998939273,0.073,0.027916666666666666,0.03848095238095238
4,0.004,0.009526737967914438,0.03605302907653753,0.004089969156926287,0.007026879369988149,0.457286432160804,0.02566271855611957,0.048598130841121495,0.066,0.027,0.035938095238095234
5,0.003,0.009497326203208556,0.039058808096241245,0.004268154358711815,0.0071416045123378225,0.48514851485148514,0.02763677382966723,0.052294557097118465,0.07133333333333333,0.028416666666666663,0.03797380952380952
6,0.006,0.00941711229946524,0.04830535749653397,0.004559747250325377,0.007931310724246927,0.5769230769230769,0.025380710659898477,0.04862236628849271,0.06266666666666666,0.02725,0.03552380952380953
1,0.003,0.009393048128342246,0.04057117256236476,0.004854647066826536,0.007901070666329463,0.4789473684210526,0.025962910128388018,0.04925575101488498,0.06558333333333334,0.026366666666666667,0.035064285714285715
2,0.003,0.009371657754010694,0.05144659262306322,0.004310332100929935,0.00753838483484395,0.5,0.02282453637660485,0.04365620736698499,0.061916666666666655,0.022783333333333333,0.03187857142857143
3,0.004,0.009387700534759359,0.03812470871580693,0.0053378758586181616,0.008808631544997864,0.48404255319148937,0.025962910128388018,0.04928242621175196,0.06033333333333333,0.02565,0.03392857142857143
4,0.005,0.009379679144385027,0.03954517704517704,0.004924113009003152,0.008261172625815515,0.49206349206349204,0.02653352353780314,0.050351922035733625,0.06758333333333333,0.02665,0.03595
5,0.004,0.009481283422459894,0.02624487811653587,0.0037918663539547688,0.006314189861491928,0.39267015706806285,0.021398002853067047,0.040584415584415584,0.05925,0.02125,0.029773809523809522
6,0.003,0.009366310160427807,0.0404157445546166,0.004263643775824266,0.007300827831653491,0.5053191489361702,0.02710413694721826,0.051448686704576224,0.07375,0.027083333333333327,0.03776904761904762
1,0.003,0.009446524064171123,0.03661397327916567,0.005276327289104783,0.008455422388524527,0.5,0.03141805830738749,0.059121171770972036,0.08658333333333333,0.03225,0.04410952380952381
2,0.006,0.009462566844919786,0.04507094212976565,0.0061197251999099474,0.009804471116104673,0.48854961832061067,0.0362298330031135,0.06745718050065876,0.0905,0.03675,0.04872857142857143
3,0.001,0.009467914438502674,0.04833947353045902,0.005885896416709272,0.009931296332096247,0.4823008849557522,0.03085196716671384,0.05799414737962224,0.08635,0.030916666666666665,0.043109523809523806
4,0.001,0.009545454545454546,0.025021125314276527,0.004231668070291949,0.006626401484844129,0.4031413612565445,0.021794508915935467,0.041353383458646614,0.06033333333333333,0.02258333333333333,0.03140476190476191
5,0.004,0.009451871657754012,0.04013470619507771,0.005337646660119058,0.009029857076461157,0.49489795918367346,0.02745542032267195,0.05202467149369804,0.06983333333333333,0.027083333333333327,0.03673809523809524
6,0.003,0.009435828877005347,0.04224725144563668,0.004818321441246653,0.008270993298269169,0.5114942528735632,0.025191055759977356,0.048017264634475317,0.06708333333333334,0.025,0.03428571428571429
1,0.002,0.009489304812834224,0.035971262119038304,0.00464688794284222,0.007835901172460805,0.4558139534883721,0.027762039660056657,0.052336448598130844,0.06975,0.027166666666666665,0.03723571428571428
2,0.002,0.009483957219251337,0.027285867727044194,0.0030381677803184705,0.005124325072746036,0.445859872611465,0.019830028328611898,0.03797125033902902,0.056416666666666664,0.020416666666666663,0.02877380952380952
3,0.002,0.009494652406417113,0.03209021182678635,0.003448385726319137,0.005849970263682788,0.4472361809045226,0.025212464589235126,0.04773397693751676,0.06708333333333333,0.024583333333333336,0.034254761904761906
4,0.002,0.009473262032085561,0.03458518605577429,0.003979155217480684,0.006746297333932993,0.46524064171123,0.024645892351274786,0.046811945117029866,0.05999999999999999,0.02475,0.03316190476190477
5,0.001,0.00949197860962567,0.0353358888107465,0.0027421510643303084,0.004906127398335082,0.4397590361445783,0.020679886685552408,0.039502164502164504,0.056833333333333326,0.020666666666666663,0.029133333333333334
6,0.0,0.009513368983957219,0.034036089621953,0.0034398270465617674,0.005763721528636201,0.43137254901960786,0.024929178470254956,0.04713444027852169,0.06691666666666665,0.02425,0.034095238095238095
1,0.005,0.009323529411764706,0.04602789979628215,0.005140617515813296,0.008562339418370988,0.5235602094240838,0.028604118993135013,0.05424464334147003,0.06875,0.02836666666666667,0.03789285714285714
2,0.005,0.009379679144385027,0.05033202092025622,0.004874646085650854,0.008488674631997761,0.47297297297297297,0.030034324942791762,0.056481979558902634,0.07073333333333331,0.02965,0.03938095238095238
3,0.003,0.00931283422459893,0.04109902914333777,0.0035715930740414996,0.006266566675247435,0.5488721804511278,0.020881006864988557,0.040231468724166435,0.051,0.020833333333333332,0.02801904761904762
4,0.003,0.00931283422459893,0.048624789282228735,0.004656060653516627,0.008052046363706135,0.5326633165829145,0.03032036613272311,0.05737483085250338,0.07725,0.029916666666666664,0.041035714285714286
5,0.003,0.009339572192513369,0.054626011243658304,0.005215594501620417,0.008993115135471295,0.5076923076923077,0.02831807780320366,0.05364399891628285,0.06666666666666665,0.028133333333333333,0.0376452380952381
6,0.005,0.009307486631016043,0.036903050912417336,0.004134839257582511,0.007105912065565914,0.5396825396825397,0.02917620137299771,0.055359565807327,0.07815000000000001,0.02983333333333333,0.04087380952380952
Promedio,0.0031666666666666675,0.009433689839572192,0.040072236020098115,0.004479134358095211,0.007569219890612902,0.4851429859431961,0.026621969490795892,0.050433236360025044,0.06894666666666667,0.026814444444444443,0.03648015873015874
