Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.2605042016806723,0.19187675070028012,0.7153508259311204,0.5779328254654182,0.6235667700855817,0.7272727272727273,0.5898617511520737,0.6513994910941476,0.6358543417366946,0.5882352941176471,0.5834733893557423
2,0.24369747899159663,0.21988795518207283,0.6404123840746648,0.522344550617635,0.5581840960217609,0.6785714285714286,0.5253456221198156,0.5922077922077922,0.630952380952381,0.5266106442577031,0.5462184873949579
3,0.2857142857142857,0.18907563025210083,0.7336837679228984,0.5675275377361544,0.6226444062844719,0.7411764705882353,0.5806451612903226,0.6511627906976745,0.6512605042016808,0.5700280112044818,0.5801120448179272
4,0.3025210084033613,0.18487394957983194,0.7235989257158613,0.5985327617875386,0.6373851993417211,0.7374301675977654,0.6082949308755761,0.6666666666666666,0.6876750700280112,0.6120448179271708,0.6170868347338936
5,0.24369747899159663,0.21428571428571427,0.6891572732152443,0.528567135320762,0.5897800232870093,0.6904761904761905,0.5345622119815668,0.6025974025974026,0.6092436974789915,0.5266106442577031,0.5358543417366947
6,0.2689075630252101,0.20448179271708683,0.670340909090909,0.5580430864160515,0.5904240039514012,0.7005649717514124,0.5714285714285714,0.6294416243654822,0.6470588235294118,0.5784313725490196,0.580672268907563
1,0.20168067226890757,0.22128851540616246,0.713369687210267,0.5230038251589976,0.5964235133487864,0.7109826589595376,0.5324675324675324,0.6089108910891089,0.6092436974789915,0.5056022408963586,0.52296918767507
2,0.21008403361344538,0.21428571428571427,0.7145457737520197,0.5313360632326148,0.5993350548687245,0.7267441860465116,0.5411255411255411,0.6203473945409429,0.6512605042016807,0.5070028011204482,0.5403361344537815
3,0.2605042016806723,0.2030812324929972,0.7484804385176779,0.5653998921240301,0.6367773825391877,0.7471264367816092,0.5627705627705628,0.6419753086419753,0.6078431372549019,0.5196078431372549,0.5361344537815125
4,0.19327731092436976,0.22549019607843138,0.7030351827453276,0.5220074659729832,0.593787509304219,0.6988636363636364,0.5324675324675324,0.6044226044226044,0.5994397759103642,0.5098039215686274,0.5218487394957984
5,0.2857142857142857,0.19747899159663865,0.7537904044996244,0.5478421249972975,0.6323909076492749,0.7678571428571429,0.5584415584415584,0.6466165413533834,0.6316526610644256,0.5364145658263305,0.5549019607843138
6,0.226890756302521,0.21288515406162464,0.7208153927531739,0.5532256678808403,0.6175805458445892,0.7182320441988951,0.5627705627705628,0.6310679611650486,0.6526610644257702,0.5448179271708684,0.5649859943977592
1,0.31932773109243695,0.20168067226890757,0.6748812647060244,0.5502466987317393,0.5983285712154218,0.7032967032967034,0.5871559633027523,0.64,0.6414565826330532,0.5868347338935574,0.5882352941176472
2,0.2605042016806723,0.2030812324929972,0.6940078641165597,0.5475115776311686,0.6081390144034153,0.7062146892655368,0.573394495412844,0.6329113924050633,0.6162464985994397,0.5434173669467787,0.5476190476190477
3,0.2773109243697479,0.18907563025210083,0.7656926406926408,0.543431447959423,0.6207088941094896,0.7485029940119761,0.573394495412844,0.6493506493506493,0.6736694677871149,0.57703081232493,0.5969187675070029
4,0.31932773109243695,0.19187675070028012,0.7249756559941251,0.5604779340622815,0.6232811956368088,0.7314285714285714,0.5871559633027523,0.6513994910941476,0.6442577030812324,0.5700280112044818,0.5820728291316527
5,0.31932773109243695,0.1792717086834734,0.7461051022171565,0.5886455693969217,0.6478979136961972,0.75,0.6192660550458715,0.678391959798995,0.6512605042016807,0.6008403361344538,0.6008403361344538
6,0.31092436974789917,0.19747899159663865,0.7098992852501625,0.562917958603388,0.6149669291249239,0.7175141242937854,0.5825688073394495,0.6430379746835443,0.6148459383753501,0.5756302521008403,0.5733893557422969
1,0.211864406779661,0.2231638418079096,0.7001133786848072,0.5158290619221634,0.573764499259227,0.6863905325443787,0.5248868778280543,0.5948717948717949,0.6045197740112994,0.5423728813559321,0.5406779661016949
2,0.211864406779661,0.2231638418079096,0.686239367615063,0.5484740348049336,0.6026716092364673,0.6759776536312849,0.5475113122171946,0.605,0.6257062146892656,0.559322033898305,0.5573446327683615
3,0.23728813559322035,0.23022598870056496,0.6640500329103741,0.5400561681786811,0.5834925276153347,0.6593406593406593,0.5429864253393665,0.5955334987593052,0.5960451977401131,0.5621468926553672,0.5466101694915254
4,0.2627118644067797,0.2076271186440678,0.7245863892205356,0.5714301725057953,0.6200136022601604,0.7032967032967034,0.579185520361991,0.6352357320099256,0.6638418079096046,0.5988700564971752,0.596045197740113
5,0.1864406779661017,0.20903954802259886,0.7250322435224782,0.5330504516638849,0.5963106478673565,0.718562874251497,0.5429864253393665,0.6185567010309279,0.6398305084745762,0.5861581920903955,0.5734463276836158
6,0.23728813559322035,0.2076271186440678,0.7246820711091483,0.539540872227681,0.6051016616234007,0.7228915662650602,0.5429864253393665,0.6201550387596899,0.6483050847457628,0.5635593220338984,0.5723163841807909
1,0.2711864406779661,0.2019774011299435,0.7490216456953153,0.5043054490397462,0.5888618976838514,0.75,0.5294117647058824,0.6206896551724138,0.6694915254237288,0.5466101694915253,0.5709039548022599
2,0.2711864406779661,0.19915254237288135,0.7526315381154092,0.5443126545858975,0.6249715129754323,0.7409638554216867,0.5565610859728507,0.6356589147286822,0.673728813559322,0.557909604519774,0.5827683615819209
