Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.2804878048780488,0.15548780487804878,0.3569094304388422,0.12015648388470042,0.14739608305784777,0.7126436781609196,0.3263157894736842,0.44765342960288806,0.6483739837398375,0.4303861788617886,0.47791327913279125
2,0.21951219512195122,0.15853658536585366,0.27650966183574877,0.13306897924992103,0.1581716843115116,0.6847826086956522,0.33157894736842103,0.44680851063829785,0.641260162601626,0.42916666666666664,0.46188540456833127
3,0.24390243902439024,0.15040650406504066,0.31111111111111106,0.1321269174253972,0.1619387838900034,0.7333333333333333,0.3473684210526316,0.4714285714285714,0.6138211382113822,0.4243902439024389,0.4594947735191637
4,0.24390243902439024,0.15955284552845528,0.36952861952861954,0.14000535574506656,0.17033903349692825,0.6633663366336634,0.3526315789473684,0.46048109965635736,0.6483739837398373,0.45294715447154477,0.4768679829655439
5,0.23170731707317074,0.15853658536585366,0.24379160266257038,0.11301789368159408,0.13616427432216907,0.6976744186046512,0.3157894736842105,0.43478260869565216,0.6585365853658537,0.41615853658536583,0.46025938830816876
6,0.25609756097560976,0.15345528455284552,0.3192821067821068,0.1563970255015861,0.19293703123827222,0.696969696969697,0.3631578947368421,0.47750865051903113,0.6666666666666666,0.4886178861788618,0.50801393728223
1,0.21951219512195122,0.13211382113821138,0.3255772005772006,0.14733734323314532,0.17244519335511985,0.6923076923076923,0.4235294117647059,0.5255474452554745,0.6565040650406504,0.4987804878048781,0.5169279907084785
2,0.18292682926829268,0.133130081300813,0.3125,0.1608833232193427,0.19074287421061611,0.6788990825688074,0.43529411764705883,0.5304659498207885,0.6697154471544715,0.5148373983739838,0.5186895083236547
3,0.25609756097560976,0.13414634146341464,0.26560802724845806,0.15106486935103877,0.17610794141476183,0.6759259259259259,0.4294117647058823,0.5251798561151079,0.6707317073170732,0.5280487804878048,0.5397986837011227
4,0.25609756097560976,0.133130081300813,0.37195512820512816,0.14318264974655528,0.182861524275765,0.7142857142857143,0.38235294117647056,0.49808429118773945,0.6473577235772358,0.44796747967479666,0.49067944250871076
5,0.21951219512195122,0.133130081300813,0.2787902661064426,0.14950281555650743,0.17440776815776815,0.6893203883495146,0.4176470588235294,0.5201465201465202,0.6504065040650406,0.48699186991869914,0.5051296941540844
6,0.1951219512195122,0.14329268292682926,0.3112847222222222,0.136613650020228,0.16862006003530242,0.6464646464646465,0.3764705882352941,0.4758364312267658,0.5965447154471545,0.42357723577235773,0.4449090205187766
1,0.16049382716049382,0.1697530864197531,0.14754660087719298,0.12225923328658252,0.13018859873698582,0.6504854368932039,0.34183673469387754,0.44816053511705684,0.6491769547325102,0.42449094115760777,0.45730051841162955
2,0.24691358024691357,0.1574074074074074,0.3277207764912683,0.14357575116691526,0.16855880127749767,0.7171717171717171,0.3622448979591837,0.48135593220338985,0.6152263374485596,0.4294532627865962,0.4734763864393494
3,0.20987654320987653,0.16563786008230452,0.3691813711975002,0.14410594162084345,0.1750697344353999,0.6767676767676768,0.34183673469387754,0.4542372881355932,0.6337448559670781,0.4227566672011116,0.4635659265288894
4,0.20987654320987653,0.16358024691358025,0.26558779761904766,0.13928272278991072,0.16413019556058606,0.6831683168316832,0.3520408163265306,0.46464646464646464,0.6018518518518519,0.4393992838437284,0.4618928396706174
5,0.25925925925925924,0.15843621399176955,0.32560047479402315,0.1445107675297016,0.1684895535808001,0.71,0.3622448979591837,0.4797297297297297,0.6172839506172839,0.46728929506707284,0.4857249746138635
6,0.18518518518518517,0.17592592592592593,0.21906702898550723,0.14333893601074527,0.16495726495726495,0.6126126126126126,0.3469387755102041,0.44299674267100975,0.5565843621399177,0.43375020041686707,0.42784725562503334
1,0.24691358024691357,0.1574074074074074,0.19887506284565107,0.1249649368863955,0.14389765596160944,0.6568627450980392,0.3621621621621622,0.46689895470383275,0.6265432098765432,0.4616255144032922,0.4886341367822849
2,0.20987654320987653,0.16255144032921812,0.1727465613110916,0.11891070593735392,0.13220984232126143,0.6336633663366337,0.34594594594594597,0.44755244755244755,0.6018518518518519,0.4447530864197531,0.4629433666470703
