Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.16351628330676385,0.02775930063969731,0.5265580265760479,0.10524551739171113,0.15390105093655174,0.8128587830080367,0.4627813946191858,0.5897837459598148,0.7414888876401061,0.48694520989271617,0.5523446655324467
2,0.15884764290594397,0.027825818336786993,0.5533422992489737,0.10953661079704953,0.16039261688360176,0.8148440401039733,0.45899024760111906,0.587212122225753,0.7336707840351656,0.4810979513666828,0.5447352358387401
3,0.16647688453655204,0.028364724425072887,0.5440756355135864,0.10453098164062631,0.1535190852102463,0.8152215799614644,0.44249222161215257,0.5736268578304269,0.7037161887936197,0.4672474995208997,0.527769158352199
4,0.16294693691641995,0.027956598893776875,0.5496186112946374,0.09953148572700479,0.14639341142893286,0.8338131639035045,0.43919784558266006,0.575342934940832,0.72515611839513,0.4638758253310747,0.5297184603969415
5,0.16647688453655204,0.02779425061613426,0.5429171193357715,0.10175504892792371,0.14966011797919812,0.8276294225392847,0.44892409862211413,0.582102961368298,0.7341196639591082,0.4748523841982052,0.5414711898126116
6,0.15736734229104987,0.02815164231066696,0.555383992201893,0.100284286216628,0.1493898873925342,0.8379919556030752,0.430334405312835,0.5686498065229408,0.724842300087119,0.45488259652743823,0.5237898378293734
1,0.15793668868139377,0.028052429474329805,0.5313157614685214,0.10504014130501428,0.1538873317096937,0.8297799005367079,0.44026438853619665,0.5752910251595944,0.729644363076383,0.4670135653966216,0.5329115326258723
2,0.154748348895468,0.027922776335934665,0.5778120996629125,0.10757283982371774,0.15884465231284473,0.8276581296080714,0.4457768372651984,0.579457660502946,0.7403356161412413,0.4755473843067785,0.5436720599542034
3,0.1606695513550444,0.02788218926652401,0.5223497090765403,0.10438635286728629,0.15236406600206057,0.829041974349009,0.4458290879640515,0.5798406415113573,0.73827130826106,0.4752080354676575,0.5417160115292743
4,0.16032794352083807,0.027564257222807226,0.5100656972730461,0.11353581488105963,0.16334772434084352,0.8097392706746708,0.4722156908848656,0.5965444974339511,0.7546799369561838,0.5000064232371794,0.5661381719567418
5,0.16055568207697563,0.02785738605743972,0.5488435209299691,0.11135685608566454,0.16332723997413642,0.8298006806028196,0.4459335893617577,0.5801145343008139,0.737953304065807,0.4731242940363869,0.5406908433823087
6,0.15463447961739923,0.027864150569008164,0.5245098798209875,0.10599792332094318,0.15353968444233204,0.8235827447986257,0.45089740575280196,0.5827494808637077,0.7442553688625199,0.4803326249081772,0.5483419869756907
1,0.15692973465436738,0.027527932157752844,0.5120009233113704,0.10196825981346493,0.1475604510654024,0.8147895645850377,0.4684837714942769,0.594909404659189,0.7527786816051251,0.4946113080380248,0.5614426165725004
2,0.1594351440610409,0.028260837699759043,0.5511367616584376,0.10319443229158066,0.15318059852587915,0.8233248432601881,0.4392672346208122,0.5728843597696057,0.7262788212053672,0.46704758343808567,0.5319428010598664
3,0.16034620202710398,0.027912425680559173,0.5112959504422163,0.10474638473253545,0.1533042296775486,0.825927534134221,0.4473684210526316,0.5803739426711644,0.737942988378588,0.47445312061813594,0.5417698952420257
4,0.16114337774740917,0.028079302634739046,0.5500800161810997,0.0964057589358922,0.1432574524712537,0.8338913597521364,0.4360790257669994,0.572678758343772,0.7290186875342325,0.4654090022897676,0.53297468892709
5,0.15647420567133583,0.027526804610765142,0.5117475631489811,0.10678548915254744,0.15569806054091098,0.8110098334156527,0.47201170752103694,0.5967259692419512,0.7500634774379222,0.4968739712248425,0.5614935104028058
6,0.16068784876437764,0.02801503245644004,0.49069601905333504,0.09836646219485193,0.14455903270278694,0.8333333333333334,0.4383787173992578,0.5745256524419481,0.7215705627048299,0.46278395837671543,0.5283046178921932
1,0.16399043389135634,0.02786055851912489,0.5506141964876623,0.1147930724125911,0.16549127155666873,0.8113065103472777,0.4717137029099641,0.5965679951671102,0.7480551443141126,0.500239494384021,0.5634162495515005
2,0.1627377291880196,0.028211225632300163,0.5964974177362286,0.10903574973883742,0.16103913272594805,0.8167367496880921,0.45637635880089855,0.5855557396057645,0.7481587229281114,0.488289606054734,0.5544794000206192
3,0.1592073795695251,0.028199950162423142,0.5136685949922978,0.1011727218611237,0.14609977068370808,0.8112437043423023,0.4616437295050221,0.5884347024749869,0.7472660578485655,0.4923387905212802,0.5574094552595665
4,0.15875185058649358,0.028009394721501532,0.554192798234887,0.1176330085983087,0.172700866996857,0.8185613359023763,0.46071419349841203,0.589588117699539,0.7437401369840727,0.4885785825693682,0.5545177668516371
5,0.1676346657556087,0.027774864948059547,0.5601799636666147,0.10899434751547633,0.15951042213192287,0.8302408396588886,0.457512458364533,0.5899352432954338,0.7549607919696748,0.48730966111766577,0.5544755025530784
6,0.16615419656075617,0.02828338863951308,0.5554992345159111,0.1026428952534839,0.15094038182609465,0.8300198326319354,0.4430530093728214,0.5777246557354971,0.7280014668296184,0.472616567559191,0.5380341698594096
1,0.15784079262043046,0.02809508829256687,0.5684324672118904,0.10435588765630656,0.1545039646554677,0.8397397695669447,0.4380683437394751,0.5757725376691921,0.7345643461803353,0.46553759969800285,0.5342235390814277
2,0.15875185058649358,0.02797105812391967,0.5516855316339855,0.1083352001132978,0.1594389799154437,0.8304264494489698,0.44900126946293945,0.582858295918882,0.743901272966869,0.47767861164256786,0.5456700850672425
3,0.15624644117982006,0.028098470933529976,0.5777760783761902,0.10556080471913488,0.15776145186297788,0.8453769630864011,0.4337158993756315,0.5733022841683504,0.7397966930765018,0.4608771204816644,0.5328986736345204
4,0.1592073795695251,0.02831947014311954,0.5240196537391437,0.105609011010902,0.15368510853688766,0.8350812664645361,0.4352703437912899,0.5722606355802309,0.7241497162064295,0.46215975577523233,0.5282939686578648
5,0.15886573283225144,0.02814131771906265,0.5241680149977479,0.10140011430380111,0.14881510251164737,0.8289683113876429,0.4452706028653592,0.5793500977550057,0.7444473366919557,0.4759269645373164,0.544316131790548
6,0.16399043389135634,0.0279913539696983,0.5564161762122156,0.10372114250918572,0.15204379546211724,0.8360823736092133,0.4438716028912666,0.579885261714982,0.7433216197309126,0.47256319898957416,0.5411387406650099
Promedio,0.16043000225992243,0.027975800039767122,0.5415633238001034,0.10544982005993168,0.1546052314154166,0.8256007406768132,0.44938125351825225,0.5818016640844347,0.7375383454955557,0.4768476230502003,0.543336698909177
