Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.7857142857142857,0.051587301587301584,0.7845394736842106,0.7071293429652563,0.7414748993696362,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.8809523809523809,0.8730158730158729,0.8682539682539682
2,0.7857142857142857,0.05555555555555555,0.7859477124183006,0.6499828001375989,0.6966169043374926,0.9302325581395349,0.7843137254901961,0.851063829787234,0.8571428571428571,0.8174603174603173,0.8293650793650793
3,0.7619047619047619,0.051587301587301584,0.7777777777777778,0.6865325077399381,0.7135642135642136,0.9130434782608695,0.8235294117647058,0.865979381443299,0.8809523809523809,0.853174603174603,0.853174603174603
4,0.7380952380952381,0.05952380952380952,0.7944444444444446,0.6587547299621603,0.7094049741108565,0.8913043478260869,0.803921568627451,0.845360824742268,0.8809523809523809,0.8412698412698412,0.8452380952380952
5,0.7857142857142857,0.05952380952380952,0.7722222222222223,0.6669246646026833,0.7019644979203803,0.9090909090909091,0.7843137254901961,0.8421052631578947,0.8571428571428571,0.8174603174603173,0.8293650793650793
6,0.7857142857142857,0.05555555555555555,0.75,0.7004213966288271,0.7175324675324676,0.8936170212765957,0.8235294117647058,0.8571428571428571,0.8928571428571429,0.853174603174603,0.861111111111111
1,0.7619047619047619,0.05555555555555555,0.9814814814814815,0.7605664488017428,0.8430918245434375,0.9545454545454546,0.7777777777777778,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8253968253968254
2,0.7380952380952381,0.05952380952380952,0.9618055555555557,0.7748366013071895,0.8362122626828509,0.9148936170212766,0.7962962962962963,0.8514851485148515,0.8809523809523809,0.8134920634920635,0.8365079365079365
3,0.7142857142857143,0.06746031746031746,0.9398148148148149,0.7179738562091504,0.7996031746031745,0.9302325581395349,0.7407407407407407,0.8247422680412371,0.8333333333333334,0.7698412698412698,0.7896825396825398
4,0.7619047619047619,0.051587301587301584,0.9791666666666666,0.7928104575163398,0.8670033670033671,0.9555555555555556,0.7962962962962963,0.8686868686868687,0.8809523809523809,0.8174603174603173,0.8373015873015874
5,0.7142857142857143,0.05952380952380952,0.9814814814814815,0.7142701525054466,0.7856481481481481,0.9534883720930233,0.7592592592592593,0.845360824742268,0.7857142857142857,0.753968253968254,0.765079365079365
6,0.7380952380952381,0.05555555555555555,0.9791666666666666,0.7594771241830065,0.8438552188552189,0.9545454545454546,0.7777777777777778,0.8571428571428571,0.8809523809523809,0.8055555555555555,0.8293650793650793
1,0.7317073170731707,0.06910569105691057,0.9063180827886711,0.8502334267040149,0.8671442936148819,0.86,0.8113207547169812,0.8349514563106796,0.8536585365853658,0.8292682926829268,0.8292682926829268
2,0.7317073170731707,0.06910569105691057,0.8638888888888889,0.8563025210084033,0.8542663000159414,0.8461538461538461,0.8301886792452831,0.8380952380952381,0.8333333333333333,0.8414634146341463,0.8284552845528456
3,0.7560975609756098,0.07317073170731707,0.8032407407407408,0.8147525676937443,0.7897435897435897,0.8723404255319149,0.7735849056603774,0.82,0.8292682926829268,0.7926829268292683,0.8048780487804879
4,0.7804878048780488,0.06097560975609756,0.7412280701754387,0.7827731092436975,0.7451388888888889,0.88,0.8301886792452831,0.8543689320388349,0.8699186991869918,0.8414634146341463,0.848780487804878
5,0.7073170731707317,0.07317073170731707,0.8820593149540518,0.7412231559290383,0.795436507936508,0.8723404255319149,0.7735849056603774,0.82,0.8292682926829268,0.7926829268292683,0.8008130081300812
6,0.7073170731707317,0.08536585365853659,0.7898148148148149,0.7472922502334267,0.732176973353444,0.8333333333333334,0.7547169811320755,0.7920792079207921,0.8170731707317073,0.7804878048780488,0.7886178861788616
1,0.8048780487804879,0.052845528455284556,0.9465811965811967,0.7980963480963482,0.8486975986975986,0.9069767441860465,0.8125,0.8571428571428571,0.8658536585365854,0.8536585365853658,0.8536585365853658
2,0.7317073170731707,0.06910569105691057,0.9209401709401709,0.7895687645687647,0.8319047619047618,0.8604651162790697,0.7708333333333334,0.8131868131868132,0.8292682926829268,0.8048780487804879,0.8089430894308942
3,0.8048780487804879,0.06097560975609756,0.9258241758241758,0.8162781662781664,0.8477072310405643,0.8666666666666667,0.8125,0.8387096774193549,0.8658536585365854,0.8414634146341463,0.8495934959349593
4,0.8292682926829268,0.044715447154471545,0.9309523809523809,0.8732905982905984,0.8791208791208791,0.8775510204081632,0.8958333333333334,0.8865979381443299,0.9024390243902439,0.926829268292683,0.9065040650406504
5,0.7804878048780488,0.06910569105691057,0.8563797313797314,0.8344599844599845,0.8387796089550476,0.8297872340425532,0.8125,0.8210526315789474,0.8089430894308942,0.8170731707317073,0.8121951219512195
6,0.7317073170731707,0.06504065040650407,0.9212121212121213,0.7831390831390833,0.8275822406257188,0.8636363636363636,0.7916666666666666,0.8260869565217391,0.8170731707317073,0.8292682926829268,0.8130081300813007
1,0.7560975609756098,0.06910569105691057,0.6979166666666666,0.6502976190476191,0.6516384031089913,0.8372093023255814,0.782608695652174,0.8089887640449438,0.8048780487804879,0.8170731707317073,0.8048780487804879
2,0.8048780487804879,0.052845528455284556,0.7952069716775599,0.658234126984127,0.708902208902209,0.9024390243902439,0.8043478260869565,0.8505747126436781,0.8414634146341463,0.8414634146341463,0.8373983739837398
3,0.7073170731707317,0.07723577235772358,0.7720588235294118,0.6502976190476191,0.6911027568922306,0.8,0.782608695652174,0.7912087912087912,0.7804878048780488,0.8170731707317073,0.7886178861788616
4,0.8536585365853658,0.04065040650406504,0.80625,0.7574404761904763,0.7787819396051102,0.9090909090909091,0.8695652173913043,0.8888888888888888,0.8902439024390244,0.8861788617886178,0.8821138211382115
5,0.8292682926829268,0.04878048780487805,0.7972222222222222,0.7390873015873015,0.7649394927128995,0.9047619047619048,0.8260869565217391,0.8636363636363636,0.8536585365853658,0.8373983739837397,0.8414634146341463
6,0.7560975609756098,0.06910569105691057,0.6887254901960785,0.6502976190476191,0.6480822153422773,0.8372093023255814,0.782608695652174,0.8089887640449438,0.8048780487804879,0.8170731707317073,0.8048780487804879
Promedio,0.7625435540069687,0.06109820622015744,0.8511222720252647,0.7460914940036456,0.7785705947710929,0.8885448092830576,0.8009379190712533,0.8416485947352853,0.8488869531552459,0.826429216673119,0.8291302103497225
