Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.20307281229124916,0.05480191151533837,0.44994838901609424,0.10583716127540224,0.15970823962958353,0.7463087248322148,0.2224,0.34268104776579356,0.32381429525718103,0.2707971498552661,0.28279203910466433
2,0.21376085504342018,0.05472483428395252,0.4705193871401707,0.1113052241284879,0.16586399833424645,0.7377892030848329,0.2296,0.3502135448444173,0.3383433533734135,0.282314629258517,0.29573644643784924
3,0.20307281229124916,0.055392836955963205,0.4084608445351989,0.10256525538784,0.15507709193355584,0.7382271468144044,0.2132,0.3308504034761018,0.3152415942997105,0.2649298597194389,0.2769995016488002
4,0.20841683366733466,0.055495606597811005,0.43221673042084513,0.11430989619282896,0.17064429954787858,0.7151898734177216,0.226,0.3434650455927052,0.3292585170340681,0.2830438655087954,0.29115850749117284
5,0.21376085504342018,0.05536714454550126,0.40822358532757375,0.10967403703258093,0.16251502220199265,0.7137546468401487,0.2304,0.3483519806471122,0.34326589687311126,0.28430829913795846,0.2978448961414893
6,0.20507682030728122,0.055418529366425155,0.3789956443660382,0.10762466367388358,0.15956342894054798,0.7218628719275549,0.2232,0.34097158570119157,0.32465300972315,0.2766755733689601,0.28629958329357125
1,0.20908483633934535,0.05654899542675094,0.41762588364502456,0.11276406406023394,0.16711409467766453,0.7070457354758962,0.22555205047318613,0.34200298953662184,0.3243439259471324,0.2790756115405414,0.28712222980760055
2,0.20507682030728122,0.05742253738245722,0.38989385767576024,0.10811754930089133,0.16014871950657916,0.6874221668742216,0.21766561514195584,0.3306379155435759,0.3275662435983077,0.27148423831790564,0.28429692107046817
3,0.19973279893119572,0.05654899542675094,0.43131215134910134,0.10766386772749037,0.16129046121526797,0.710691823899371,0.22279179810725552,0.3392374662263585,0.33217069058752424,0.2766517161306741,0.2878927166502317
4,0.21710086840347362,0.055726838291968554,0.42882460653614046,0.11667405122346007,0.1724529029390751,0.7290886392009988,0.2302839116719243,0.35001498351813004,0.34083014513876236,0.2829738842764895,0.29639596653624706
5,0.21643286573146292,0.05688299676275628,0.39122496945520907,0.11028448528179337,0.16203813241749077,0.6949152542372882,0.22634069400630916,0.34146341463414637,0.33493282862020335,0.2859830772656424,0.2958014930960822
6,0.21175684702738812,0.05593237757566415,0.36479370268961697,0.11180919936838128,0.1650305525992771,0.7235367372353674,0.22910094637223974,0.3480083857442348,0.33731537148370816,0.28350828641409803,0.2940964957999026
1,0.20975283901135605,0.05364575304455064,0.5061317872232352,0.10872820981215964,0.16458867274533004,0.7211413748378729,0.22890078221490326,0.3475,0.3203295479848586,0.27754347077994374,0.2861309921430162
2,0.19906479625918505,0.05415960125378963,0.3980333564665791,0.11199654925929416,0.16789159225657962,0.7060333761232349,0.22643062988884313,0.3428927680798005,0.3207637497216655,0.2716589745146859,0.2824223538652396
3,0.1903807615230461,0.05475052669441447,0.3715761104959792,0.09998743016327988,0.15209990628208167,0.7024456521739131,0.21284479209551255,0.32669826224328596,0.3012493240449152,0.25662385376814234,0.26540965528941485
4,0.19973279893119572,0.05446791017933302,0.36635386338856796,0.10530285358253402,0.15667658623388964,0.704635761589404,0.21902017291066284,0.3341708542713568,0.31111111111111106,0.2670563348920062,0.27599325635397776
