Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.5862683905483728,0.023762817654926438,0.43475767681289157,0.12142084885858426,0.16881167965428615,0.889102810935695,0.6378453038674033,0.7428019945311244,0.8805914697577648,0.7473731648051755,0.7810912746044266
2,0.5938475256353098,0.023376430375984546,0.4304969200459735,0.1274529097740343,0.17762227149752327,0.8959381044487428,0.6397790055248619,0.746494762288477,0.8833779164809035,0.7489229599349974,0.7843125839336272
3,0.5898350423539902,0.023629068212215783,0.4785781197743083,0.13063235043223728,0.18423989563321114,0.8912875867386276,0.6386740331491713,0.744126166720309,0.8823376430375984,0.74947281875503,0.783610930111153
4,0.5769059295586269,0.024045177589537822,0.4106753662394494,0.12299617154644525,0.17247709444096937,0.8901013250194856,0.630939226519337,0.7384416424183641,0.8699063753901025,0.7419977110124234,0.7738270522265172
5,0.5831475702184574,0.023643929261405856,0.45659561104782065,0.129975639810449,0.18415258866981246,0.8939805825242718,0.6359116022099448,0.7431799838579499,0.8825234061524744,0.7486106849013671,0.7825697040364896
6,0.5835934016941596,0.024060038638727896,0.43480463907943945,0.11905180302005897,0.16758171522861162,0.8981297254277756,0.6234806629834254,0.7360182618620578,0.8771362758210729,0.7374203148612423,0.774319698728972
1,0.5746767721801159,0.02468420270471095,0.43038104762335344,0.11448766816599946,0.16156648461783973,0.8812623274161736,0.6215915414579856,0.7289933104911078,0.8664065983058403,0.7319843553682164,0.7664781050425278
2,0.5662059741417744,0.025234061524743646,0.4141803936140421,0.11377521071228366,0.15878049981228687,0.8688715953307393,0.6213132999443517,0.7245295262816352,0.8667335413880219,0.7320215079911914,0.7661554079744004
3,0.5769059295586269,0.024550453262000296,0.42797594279827417,0.12038845743717795,0.1684343124099609,0.8746141975308642,0.630773511407902,0.7329453604914322,0.8746470500817358,0.7402322376687066,0.7747213874944593
4,0.57958091841284,0.024654480606330808,0.37581237242281157,0.11910507024488037,0.16373478210707682,0.8685714285714285,0.6343906510851419,0.733236854799807,0.8642071630257095,0.7415845931450034,0.7721659947027758
5,0.5675434685688809,0.024907118442562045,0.47707688946067106,0.11363903797568489,0.1616910039017916,0.8763736263736264,0.6213132999443517,0.7271247150765223,0.8666963887650468,0.7333218497953228,0.7671319912068909
6,0.5666518056174766,0.02514489522960321,0.40639165223086365,0.11198862789155134,0.15711929489011964,0.8720657276995305,0.6202003338898163,0.7248780487804878,0.8529424877396344,0.7286034666774748,0.7590900405880343
1,0.5889433794025858,0.023227819884083817,0.3565819731231164,0.10644070218743487,0.14565767416547046,0.8713900654601463,0.6480526918671249,0.7433076038758417,0.8618665477782732,0.7520372021598057,0.7769862821579273
2,0.5880517164511815,0.023376430375984546,0.3603202928567223,0.10770808685208526,0.14856602773566366,0.8770137524557957,0.6391752577319587,0.7394401192645353,0.8554762966265419,0.7436704314657949,0.7705111107251099
3,0.5844850646455639,0.023391291425174616,0.43762962249752857,0.11460538240867248,0.16037587735883385,0.8763736263736264,0.6394616265750286,0.7394039735099338,0.854287412691336,0.7393062366869768,0.7680392550432675
4,0.5902808738296924,0.023599346113835636,0.3647385311937706,0.10562161485516429,0.14301973050709468,0.8678516228748068,0.643184421534937,0.7388157894736842,0.8613835636795959,0.7470067370089661,0.7749842865313218
5,0.5983058403923317,0.023287264080844108,0.3537582305258968,0.10646675580416384,0.1435623625947147,0.8706199460916442,0.6474799541809851,0.742650681556906,0.871823450735622,0.75289914301283,0.7815178406573859
6,0.5840392331698618,0.023569624015455492,0.4074556639440496,0.10574372191663998,0.14703276345518793,0.8746069182389937,0.6371706758304696,0.7372432074221339,0.8683831178481201,0.7415007182840442,0.7734351669037358
1,0.5613018279090504,0.02651211175508991,0.48524767533331586,0.12060705520879607,0.17017896352282785,0.8657640232108317,0.6089795918367347,0.7150159744408946,0.8579283697429038,0.7207966230034888,0.7552586884062585
2,0.555506018724922,0.027180858968643185,0.39189758412543263,0.11150972231499469,0.15398152032275447,0.8563706563706563,0.6035374149659863,0.7080606544293695,0.8504235399019171,0.7165760850335081,0.7493383938100835
3,0.5684351315202854,0.0264080844107594,0.4569252571394351,0.12166993427855519,0.1717174579261266,0.8684006211180124,0.6087074829931973,0.7157254839225724,0.8495393074751078,0.72001641792101,0.7530832371670535
4,0.5644226482389657,0.026645861197800564,0.4713414197969456,0.11508023566582279,0.15952903834387067,0.8627602158828065,0.6089795918367347,0.7139894720051044,0.8491231980977858,0.7194219759534072,0.7520515967907855
5,0.5572893446277307,0.026853915886461584,0.4880448882526677,0.11377445844879729,0.16113742545472215,0.8651290070367474,0.6021768707482993,0.7100914487405744,0.8541759548224104,0.7164720576891777,0.7518898622554441
6,0.5630851538118591,0.02646752860751969,0.43552369295432836,0.1169056532825732,0.16379686564227683,0.8622800306044377,0.6133333333333333,0.7168071235490538,0.8563976816763263,0.7237985549398834,0.756451175020056
