Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.5503875968992248,0.03916768665850673,0.46710526315789475,0.1511984506721349,0.20943406187308625,0.9523809523809523,0.29850746268656714,0.45454545454545453,0.21705426356589147,0.15297157622739016,0.17290513104466593
2,0.5116279069767442,0.04324765401876785,0.2766531713900135,0.11400774663932559,0.15546321945213912,0.9117647058823529,0.23134328358208955,0.36904761904761907,0.1937984496124031,0.12325581395348836,0.1431893687707641
3,0.5193798449612403,0.04039167686658507,0.3359133126934985,0.16036682615629982,0.20338345864661656,0.9069767441860465,0.291044776119403,0.4406779661016949,0.2248062015503876,0.14586563307493539,0.16954595791805094
4,0.5116279069767442,0.0416156670746634,0.3117408906882591,0.12361509835194047,0.16715336435462524,0.9444444444444444,0.2537313432835821,0.4,0.1937984496124031,0.1251937984496124,0.146031746031746
5,0.5348837209302325,0.03998368013055895,0.3640350877192982,0.15889496468443837,0.2069153227047964,0.9736842105263158,0.27611940298507465,0.43023255813953487,0.21705426356589147,0.14392764857881138,0.16618678479143595
6,0.5038759689922481,0.04243166054671563,0.28571428571428575,0.11504974557606136,0.1562174667437825,0.9166666666666666,0.2462686567164179,0.38823529411764707,0.18604651162790697,0.12131782945736434,0.1416389811738649
1,0.4728682170542636,0.04569563443492452,0.22807017543859653,0.07590611143242722,0.10437200560366532,0.7037037037037037,0.15447154471544716,0.25333333333333335,0.12532299741602065,0.0904392764857881,0.09896640826873385
2,0.49612403100775193,0.042839657282741736,0.260233918128655,0.10906593406593405,0.13952754693751923,0.75,0.21951219512195122,0.33962264150943394,0.17958656330749354,0.12919896640826872,0.14263565891472868
3,0.49612403100775193,0.04324765401876785,0.3083466241360978,0.09745999614420667,0.13646467052039807,0.7741935483870968,0.1951219512195122,0.3116883116883117,0.17054263565891473,0.11950904392764858,0.13359173126614987
4,0.4883720930232558,0.042839657282741736,0.3260233918128655,0.10160979371505686,0.14343619867225793,0.8,0.1951219512195122,0.3137254901960784,0.16279069767441862,0.11498708010335916,0.12816537467700256
5,0.5271317829457365,0.04365565075479396,0.30409356725146197,0.10414015808752651,0.14834881320949436,0.75,0.1951219512195122,0.3096774193548387,0.16279069767441862,0.1350129198966408,0.14315245478036173
6,0.49612403100775193,0.042839657282741736,0.31871345029239767,0.10501735106998265,0.1447425753927302,0.7647058823529411,0.21138211382113822,0.33121019108280253,0.16020671834625322,0.12209302325581393,0.13170911775562938
1,0.5503875968992248,0.037943696450428395,0.40350877192982454,0.12678571428571428,0.18516109113363116,0.896551724137931,0.22413793103448276,0.3586206896551724,0.16666666666666666,0.09560723514211886,0.11498708010335916
2,0.5348837209302325,0.03835169318645451,0.30827067669172936,0.11071428571428572,0.16095277719991677,0.9583333333333334,0.19827586206896552,0.32857142857142857,0.15503875968992248,0.08527131782945736,0.10516795865633075
3,0.5426356589147286,0.03835169318645451,0.40669856459330145,0.1137844611528822,0.16745778587883853,0.8928571428571429,0.21551724137931033,0.3472222222222222,0.13565891472868216,0.0859173126614987,0.10103359173126615
4,0.5503875968992248,0.037943696450428395,0.4593301435406698,0.13555764411027568,0.20036201615148985,0.896551724137931,0.22413793103448276,0.3586206896551724,0.14470284237726097,0.09496124031007752,0.10981912144702842
