Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.15315315315315314,0.30930930930930933,0.484677446941598,0.4424235520307061,0.4452044193170264,0.6528301886792452,0.6027874564459931,0.6268115942028986,0.6493993993993994,0.6066066066066067,0.5993135993135993
2,0.15315315315315314,0.3108108108108108,0.48925341454411214,0.46533652044254387,0.46926523004954374,0.644927536231884,0.6202090592334495,0.6323268206039077,0.6328828828828827,0.6133633633633635,0.5958386958386959
3,0.13513513513513514,0.2897897897897898,0.5023042758205359,0.4842915600855197,0.4826293103448276,0.6654929577464789,0.6585365853658537,0.6619964973730298,0.6756756756756757,0.6524024024024024,0.6308880308880311
4,0.16216216216216217,0.29429429429429427,0.5023622491167523,0.48277047487039465,0.4758555613049387,0.657439446366782,0.662020905923345,0.6597222222222222,0.6599099099099098,0.6666666666666666,0.6339768339768342
5,0.16216216216216217,0.3003003003003003,0.5117451992451992,0.4658877123951413,0.46688826810583106,0.6570397111913358,0.6341463414634146,0.6453900709219859,0.6636636636636636,0.6261261261261262,0.612827112827113
6,0.15315315315315314,0.2957957957957958,0.5121317963868582,0.4958063285945493,0.4922647297959391,0.6551724137931034,0.662020905923345,0.658578856152513,0.6537537537537538,0.6666666666666666,0.6268554268554268
1,0.18018018018018017,0.3063063063063063,0.48431521183015125,0.5305930449822789,0.492617348531327,0.6125827814569537,0.6801470588235294,0.6445993031358885,0.6193693693693693,0.6641141141141143,0.6109466609466612
2,0.14414414414414414,0.3303303303303303,0.46137426223904204,0.4981913886675791,0.4648174440956876,0.5878378378378378,0.6397058823529411,0.6126760563380281,0.6058558558558559,0.6460960960960961,0.5929286429286429
3,0.15315315315315314,0.3183183183183183,0.47728443945598026,0.5111165587356062,0.47948853703887256,0.6006711409395973,0.6580882352941176,0.6280701754385964,0.6156156156156156,0.6310810810810812,0.592907192907193
4,0.11711711711711711,0.31981981981981983,0.4688780355447022,0.4803662432026821,0.4552809861649016,0.6006825938566553,0.6470588235294118,0.6230088495575221,0.6088588588588588,0.6273273273273272,0.5826326326326324
5,0.2072072072072072,0.30180180180180183,0.4969664899716199,0.547185798635074,0.509321598340647,0.6148867313915858,0.6985294117647058,0.6540447504302926,0.6238738738738738,0.6843843843843845,0.6210710710710712
6,0.16216216216216217,0.31981981981981983,0.4832546459021012,0.5168588730700532,0.4808709285124379,0.5967213114754099,0.6691176470588235,0.6308492201039861,0.6175675675675676,0.648048048048048,0.6044473044473045
1,0.17117117117117117,0.2777777777777778,0.5073514860692631,0.5070073491026149,0.49404628545429213,0.648936170212766,0.6802973977695167,0.6642468239564429,0.6403903903903905,0.6741741741741741,0.6306306306306306
