Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.005,0.009451871657754012,0.038467394533571,0.003105285760371374,0.005458175726446055,0.5462184873949579,0.01833051325437112,0.03547066848567531,0.049333333333333326,0.01958333333333333,0.026376190476190473
2,0.003,0.00939572192513369,0.033038293687380905,0.0027083925270640877,0.004732181838332251,0.6632653061224489,0.01833051325437112,0.03567508232711306,0.051416666666666666,0.019333333333333327,0.026523809523809526
3,0.003,0.009419786096256684,0.03725490196078431,0.0026695652069518186,0.004761181978173079,0.6074766355140186,0.01833051325437112,0.03558718861209965,0.05233333333333333,0.018999999999999996,0.02650952380952381
4,0.003,0.009406417112299465,0.032836771072065195,0.0028878659167018207,0.005066271748711478,0.64,0.01804850535815003,0.03510696653867252,0.052833333333333336,0.018249999999999995,0.025885714285714283
5,0.006,0.009387700534759359,0.03234201056065651,0.003485096101973587,0.006035486642431108,0.6666666666666666,0.019740552735476594,0.03834565872363736,0.05025,0.02108333333333333,0.02750952380952381
6,0.004,0.009403743315508022,0.03239750445632799,0.002957045592798397,0.005166962477858664,0.6355140186915887,0.019176536943034405,0.0372296742403504,0.052,0.019833333333333328,0.02729047619047619
1,0.004,0.009347593582887701,0.03238878555374719,0.003454486566267724,0.005783843386487095,0.5365853658536586,0.018830242510699,0.03638368246968027,0.049416666666666664,0.0189,0.025507142857142857
2,0.006,0.009262032085561497,0.03582600598171532,0.00426907820557528,0.007089837816537182,0.6666666666666666,0.023395149786019972,0.04520396912899669,0.06125,0.023483333333333335,0.0320452380952381
3,0.004,0.009310160427807487,0.0365043185679637,0.0045196127155049835,0.007608155900274319,0.5966386554621849,0.020256776034236805,0.039183222958057394,0.05058333333333333,0.020399999999999998,0.027402380952380952
4,0.003,0.009304812834224598,0.027442727932924012,0.0035267885492244002,0.005786471881290062,0.6033057851239669,0.020827389443651926,0.04026475455046884,0.058416666666666665,0.0209,0.02930238095238095
5,0.002,0.00931283422459893,0.028287620033350586,0.0027475690116590145,0.00478434028280187,0.5948275862068966,0.019686162624821684,0.03811101905550953,0.05725,0.019816666666666666,0.028521428571428573
6,0.005,0.009304812834224598,0.03468858131487889,0.003536790063758279,0.006002313695180092,0.6068376068376068,0.020256776034236805,0.03920485919381557,0.05441666666666666,0.020233333333333336,0.0278547619047619
1,0.002,0.009366310160427807,0.04616755793226381,0.004102893067767479,0.006863637172483604,0.6027397260273972,0.024908010189640534,0.04783908670834466,0.07125,0.024,0.03438333333333334
2,0.003,0.009385026737967914,0.04062937416941669,0.004127174068917356,0.006976195718107429,0.5804195804195804,0.02349278233795641,0.04515778019586507,0.0635,0.02275,0.031900000000000005
3,0.002,0.00938235294117647,0.03584286672521967,0.0035144230064720265,0.006133724243692904,0.5923076923076923,0.021794508915935467,0.042042042042042045,0.06108333333333333,0.021583333333333333,0.02986190476190476
4,0.003,0.009379679144385027,0.040263839034991325,0.004338272663612737,0.007393915509965817,0.5939849624060151,0.022360600056609115,0.0430987452264048,0.0605,0.022083333333333337,0.030833333333333334
5,0.002,0.009401069518716578,0.04925833969951617,0.0039442192549788155,0.006754722332235991,0.562962962962963,0.02151146334559864,0.04143947655398037,0.05725,0.021083333333333332,0.029373809523809528
6,0.002,0.009342245989304812,0.05225299342946401,0.0037163735230637263,0.006619543943674179,0.6585365853658537,0.022926691197282762,0.04431072210065645,0.0615,0.022083333333333333,0.031138095238095236
1,0.0,0.009406417112299465,0.02904985157201112,0.003197033602570203,0.005448563766223488,0.5422535211267606,0.02181303116147309,0.041938997821350764,0.06116666666666666,0.021083333333333332,0.03032857142857143
2,0.001,0.009403743315508022,0.03514663441134029,0.002412846160837924,0.004274855551291941,0.5546218487394958,0.018696883852691217,0.03617429432721293,0.05183333333333333,0.018416666666666665,0.02607619047619048
3,0.0,0.009385026737967914,0.026954418130888717,0.0028725822062537166,0.004852546265135087,0.5909090909090909,0.018413597733711047,0.03571428571428571,0.0535,0.01775,0.025880952380952383
4,0.0,0.009414438502673797,0.018600113842328375,0.0018536396796034324,0.0031400611030093293,0.5384615384615384,0.017847025495750707,0.0345489443378119,0.05266666666666667,0.017166666666666663,0.02511904761904762
5,0.0,0.009422459893048128,0.02138201871657754,0.0019245350331059752,0.0033098237709941604,0.5277777777777778,0.01614730878186969,0.031335898845519516,0.048583333333333326,0.01575,0.02312619047619048
6,0.0,0.009425133689839571,0.023885043434290428,0.0025525092731925065,0.004254886458237285,0.5206611570247934,0.017847025495750707,0.03451109285127362,0.053,0.017333333333333333,0.025414285714285716
1,0.003,0.009254010695187167,0.03601561836855954,0.0035345881729473725,0.005836421476055661,0.6521739130434783,0.02145308924485126,0.04153973968429798,0.056833333333333326,0.021666666666666664,0.030066666666666665
2,0.002,0.009296791443850268,0.03386056902099683,0.0028210675561875747,0.005021054295679977,0.5798319327731093,0.019736842105263157,0.038174273858921165,0.05186666666666666,0.019416666666666665,0.02700714285714285
3,0.002,0.009280748663101605,0.03362051891463656,0.002595540678185329,0.004629718143530913,0.6373626373626373,0.016590389016018305,0.032339001951491496,0.045,0.016833333333333332,0.023566666666666663
4,0.001,0.009245989304812834,0.03183444139326492,0.0029647071794775505,0.004982226404953652,0.6532258064516129,0.02316933638443936,0.044751381215469614,0.0645,0.022416666666666665,0.03218095238095238
5,0.001,0.00927807486631016,0.02674500422178441,0.0026855892043092505,0.004538865725878508,0.6065573770491803,0.02116704805491991,0.04090657822001106,0.05933333333333333,0.021333333333333333,0.030357142857142853
6,0.002,0.009280748663101605,0.030700774203847078,0.003230170074935012,0.005487714136958863,0.6,0.02145308924485126,0.041425020712510356,0.0595,0.0215,0.030457142857142856
Promedio,0.002466666666666667,0.009355258467023172,0.03378949642922544,0.003208524687475625,0.0054931233130877345,0.598626363024988,0.020217945128268435,0.03910047028838422,0.055745555555555555,0.020168888888888886,0.028260000000000004
