Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.2605042016806723,0.18347338935574228,0.7319789128999655,0.5781064975713825,0.6319191882080651,0.7529411764705882,0.5898617511520737,0.661498708010336,0.680672268907563,0.5798319327731093,0.5957983193277311
2,0.35294117647058826,0.1722689075630252,0.7528562636089519,0.6191676525102855,0.6650937231867712,0.7611111111111111,0.631336405529954,0.690176322418136,0.6988795518207283,0.630252100840336,0.6361344537815128
3,0.3277310924369748,0.18207282913165265,0.7196003513394817,0.5941556070471505,0.6338377249719546,0.7430167597765364,0.6129032258064516,0.6717171717171717,0.6778711484593837,0.6092436974789914,0.6123249299719888
4,0.3445378151260504,0.17647058823529413,0.765542328042328,0.5896559660303337,0.6461238575482365,0.7692307692307693,0.5990783410138248,0.6735751295336787,0.6722689075630253,0.6022408963585434,0.6089635854341737
5,0.2857142857142857,0.19607843137254902,0.7025853716176297,0.5722006837962637,0.6145435295172926,0.7175141242937854,0.5852534562211982,0.6446700507614214,0.6526610644257702,0.5798319327731093,0.5840336134453782
6,0.25210084033613445,0.19187675070028012,0.7130754653001595,0.5860338120548699,0.616029571088678,0.7247191011235955,0.5944700460829493,0.6531645569620254,0.6708683473389355,0.6008403361344538,0.6028011204481792
1,0.2773109243697479,0.19747899159663865,0.7464585414585415,0.5816849959091338,0.6459902382099179,0.7472527472527473,0.5887445887445888,0.6585956416464891,0.6540616246498601,0.5532212885154062,0.5736694677871149
2,0.2689075630252101,0.19187675070028012,0.7468605671933846,0.5914035767484043,0.6504485979423268,0.7554347826086957,0.6017316017316018,0.6698795180722892,0.680672268907563,0.57703081232493,0.5949579831932774
3,0.2857142857142857,0.1792717086834734,0.8011205504995685,0.6041251890389822,0.6685045588700248,0.7877094972067039,0.6103896103896104,0.6878048780487804,0.6876750700280112,0.5826330532212886,0.6022408963585436
4,0.31932773109243695,0.18907563025210083,0.7547878581388466,0.6069670466222191,0.6627726154082189,0.7553191489361702,0.6147186147186147,0.6778042959427207,0.65406162464986,0.5882352941176471,0.592717086834734
5,0.2857142857142857,0.19327731092436976,0.7607594694797997,0.5935355495700323,0.6565141121062174,0.7569060773480663,0.5930735930735931,0.6650485436893204,0.6554621848739496,0.5658263305322129,0.5815126050420169
6,0.2689075630252101,0.19887955182072828,0.7392666986929282,0.5778962507410784,0.6331132619165073,0.7405405405405405,0.5930735930735931,0.6586538461538461,0.6764705882352942,0.5700280112044819,0.592156862745098
1,0.3277310924369748,0.1722689075630252,0.7619016434055635,0.6030365777449956,0.6585986001706249,0.7624309392265194,0.6330275229357798,0.6917293233082706,0.6890756302521008,0.6386554621848739,0.634733893557423
2,0.3865546218487395,0.16106442577030813,0.7835406835406836,0.6157463253791009,0.6745118254231826,0.7877094972067039,0.6467889908256881,0.7103274559193955,0.6862745098039215,0.6386554621848738,0.6380952380952383
3,0.3445378151260504,0.1722689075630252,0.761268126327549,0.5954491528992881,0.6495336348219333,0.7653631284916201,0.6284403669724771,0.690176322418136,0.6890756302521008,0.6148459383753501,0.6249299719887956
4,0.3697478991596639,0.16806722689075632,0.79015094101301,0.5992735274767053,0.6444902030685232,0.7752808988764045,0.6330275229357798,0.696969696969697,0.6792717086834733,0.623249299719888,0.6268907563025211
5,0.42016806722689076,0.16666666666666666,0.7569601184379656,0.6171317069728158,0.6689210365538066,0.7704918032786885,0.6467889908256881,0.7032418952618454,0.6890756302521008,0.645658263305322,0.6459383753501401
6,0.33613445378151263,0.17507002801120447,0.7456325387820616,0.6018894859116293,0.6522206439911516,0.7569060773480663,0.6284403669724771,0.6867167919799498,0.6988795518207283,0.6330532212885154,0.6358543417366948
1,0.2457627118644068,0.2019774011299435,0.7466707895279324,0.5727860339993289,0.6273065057025438,0.7191011235955056,0.579185520361991,0.6416040100250626,0.6412429378531073,0.5932203389830508,0.5827683615819209
2,0.2288135593220339,0.2062146892655367,0.7469361051964306,0.552333025209606,0.6085756318204772,0.7167630057803468,0.5610859728506787,0.6294416243654822,0.6313559322033898,0.5903954802259888,0.5757062146892655
3,0.211864406779661,0.2019774011299435,0.7433084459400249,0.5704041807137297,0.6241743731939811,0.7191011235955056,0.579185520361991,0.6416040100250626,0.6765536723163842,0.6016949152542372,0.5968926553672316
4,0.2288135593220339,0.1963276836158192,0.7565484721575153,0.5940796083315852,0.6467965681640669,0.7252747252747253,0.5972850678733032,0.6550868486352357,0.6680790960451978,0.6186440677966102,0.6045197740112994
5,0.2457627118644068,0.19350282485875706,0.75045488578005,0.576332133290109,0.6328637267298258,0.7413793103448276,0.583710407239819,0.6531645569620254,0.6567796610169492,0.6059322033898306,0.5957627118644068
6,0.2796610169491525,0.18926553672316385,0.771928916494134,0.5808678416852929,0.6397248504701737,0.7514450867052023,0.5882352941176471,0.6598984771573604,0.690677966101695,0.615819209039548,0.6177966101694917
1,0.3135593220338983,0.19491525423728814,0.7369417268373626,0.562284973279433,0.6158139648223296,0.7318435754189944,0.5927601809954751,0.655,0.675141242937853,0.5932203389830509,0.6056497175141242
2,0.2711864406779661,0.21045197740112995,0.7105500061659885,0.526702525517435,0.5970863462531449,0.711764705882353,0.5475113122171946,0.618925831202046,0.614406779661017,0.5437853107344633,0.5516949152542372
3,0.3050847457627119,0.2033898305084746,0.7131571755118267,0.5438888706763412,0.6064877835758029,0.72,0.5701357466063348,0.6363636363636364,0.6327683615819208,0.5692090395480227,0.5740112994350282
4,0.3559322033898305,0.18220338983050846,0.765087397982135,0.5743286854911561,0.6412418757574284,0.764367816091954,0.6018099547511312,0.6734177215189874,0.7062146892655368,0.6101694915254239,0.6290960451977401
5,0.3050847457627119,0.192090395480226,0.743667447485817,0.5616701756175267,0.6277280190542106,0.7428571428571429,0.5882352941176471,0.6565656565656566,0.67090395480226,0.6059322033898307,0.6127118644067795
6,0.3728813559322034,0.1864406779661017,0.7390354425961623,0.5984270567595705,0.6463995590820681,0.7354497354497355,0.6289592760180995,0.6780487804878049,0.6864406779661016,0.6440677966101694,0.6409604519774011
Promedio,0.30262308313155767,0.1875421354982671,0.74862110804846,0.5847188238198594,0.6395788709209829,0.7469741843774536,0.6016416045505754,0.6663623767373957,0.6714614094225261,0.6008474576271186,0.6057108040956496
