Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.3170731707317073,0.15447154471544716,0.3525641025641026,0.10711558796467956,0.11508201765554706,0.7261904761904762,0.32105263157894737,0.44525547445255476,0.7073170731707317,0.4425813008130081,0.502942315137437
2,0.2682926829268293,0.15548780487804878,0.298048048048048,0.120948516183963,0.139977614977615,0.7032967032967034,0.3368421052631579,0.4555160142348754,0.6747967479674796,0.45050813008130075,0.4916763453348819
3,0.3170731707317073,0.1524390243902439,0.3258258258258258,0.1186585918510279,0.13796296296296298,0.7325581395348837,0.33157894736842103,0.45652173913043476,0.7012195121951219,0.45376016260162594,0.5070073557878436
4,0.24390243902439024,0.1565040650406504,0.2891666666666666,0.11704259877229843,0.13488500627719643,0.7,0.33157894736842103,0.45,0.6463414634146342,0.4226626016260163,0.466298877274487
5,0.24390243902439024,0.16158536585365854,0.2608108108108108,0.11259218061220284,0.12680311890838208,0.6666666666666666,0.3263157894736842,0.4381625441696113,0.6707317073170732,0.4364837398373984,0.47814556716995743
6,0.24390243902439024,0.16158536585365854,0.2736772486772487,0.11908430492041912,0.1413454920445052,0.6703296703296703,0.32105263157894737,0.43416370106761565,0.6524390243902439,0.445630081300813,0.47530003871467286
1,0.25609756097560976,0.13008130081300814,0.3986111111111111,0.15616328740391708,0.18517860667270844,0.6944444444444444,0.4411764705882353,0.539568345323741,0.6788617886178862,0.515040650406504,0.531262098335269
2,0.2804878048780488,0.12804878048780488,0.3685573685573686,0.16467023184836152,0.19795329137366904,0.7037037037037037,0.4470588235294118,0.5467625899280576,0.7276422764227642,0.5337398373983739,0.5649438637243516
3,0.2682926829268293,0.12703252032520326,0.28594054580896683,0.15941616245448703,0.1834920405711381,0.7027027027027027,0.4588235294117647,0.5551601423487544,0.7012195121951219,0.5398373983739837,0.5607046070460704
4,0.2682926829268293,0.1290650406504065,0.40902255639097745,0.13666663691963543,0.16587741104861384,0.7311827956989247,0.4,0.5171102661596958,0.7154471544715447,0.4849593495934959,0.5316202090592335
5,0.25609756097560976,0.12703252032520326,0.30284992784992787,0.14088379917184266,0.1631248118036736,0.7272727272727273,0.4235294117647059,0.5353159851301115,0.7073170731707317,0.506910569105691,0.5408439798683701
6,0.2926829268292683,0.125,0.4204545454545454,0.1488673074177197,0.18211429930451103,0.7422680412371134,0.4235294117647059,0.5393258426966292,0.733739837398374,0.5140243902439025,0.5575106465350368
1,0.2716049382716049,0.15637860082304528,0.16261574074074073,0.12769791179678977,0.1370229652144546,0.72,0.3673469387755102,0.4864864864864865,0.7098765432098766,0.4755197477419699,0.5266126877237988
2,0.2345679012345679,0.16049382716049382,0.23786630036630038,0.12688505977426032,0.14040404040404042,0.7,0.35714285714285715,0.47297297297297297,0.6707818930041153,0.45041686708353373,0.492092886537331
3,0.2839506172839506,0.1522633744855967,0.17945298050931854,0.12500973975377902,0.1381460093357421,0.7553191489361702,0.3622448979591837,0.4896551724137931,0.691358024691358,0.46193950082838975,0.5157215212770767
4,0.2716049382716049,0.15534979423868311,0.15764486076986076,0.12648823437743492,0.13346596180549067,0.7227722772277227,0.37244897959183676,0.49158249158249157,0.7098765432098766,0.48848271070493293,0.5314921703810592
5,0.2345679012345679,0.15432098765432098,0.24218556955769702,0.14824322669694337,0.16795774798469007,0.7169811320754716,0.3877551020408163,0.5033112582781457,0.691358024691358,0.4965074020629576,0.5245550745550746
6,0.25925925925925924,0.1574074074074074,0.31346153846153846,0.13085758068226513,0.15087135087135087,0.7216494845360825,0.35714285714285715,0.4778156996587031,0.6790123456790124,0.47551974774197003,0.5081529581529581
1,0.24691358024691357,0.147119341563786,0.24346449570330167,0.12218715910861773,0.1456862605472929,0.7333333333333333,0.3567567567567568,0.48,0.6563786008230453,0.4437242798353909,0.49233784048598866
2,0.2716049382716049,0.15020576131687244,0.19460978835978837,0.11009622876733675,0.12358326537431015,0.7142857142857143,0.35135135135135137,0.47101449275362317,0.6604938271604939,0.45606995884773666,0.496864589457182
3,0.25925925925925924,0.14094650205761317,0.25050125313283206,0.13858500857098333,0.15825177238220714,0.7352941176470589,0.40540540540540543,0.5226480836236934,0.6995884773662551,0.5208847736625514,0.5458945718204977
4,0.30864197530864196,0.1388888888888889,0.26174463937621834,0.1399738974598722,0.1635992027296375,0.7551020408163265,0.4,0.5229681978798587,0.7057613168724279,0.5105967078189301,0.5487752302567117
5,0.19753086419753085,0.1522633744855967,0.18838028169014084,0.11515310892940626,0.1289786967418546,0.6947368421052632,0.3567567567567568,0.4714285714285714,0.639917695473251,0.45401234567901244,0.47423084460121495
6,0.2716049382716049,0.147119341563786,0.2157126549249837,0.12170601527193392,0.14015188434048084,0.7282608695652174,0.3621621621621622,0.48375451263537905,0.6604938271604939,0.4570987654320988,0.4989222026259063
1,0.2716049382716049,0.15637860082304528,0.24586866710154384,0.11777175782593739,0.1346846846846847,0.7191011235955056,0.33507853403141363,0.45714285714285713,0.6810699588477365,0.4409073094258279,0.48938859494415055
2,0.25925925925925924,0.15637860082304528,0.24682271557271554,0.11791795665634675,0.13166210897842984,0.7142857142857143,0.3403141361256545,0.46099290780141844,0.691358024691358,0.46354105428179504,0.5036449147560259
3,0.25925925925925924,0.16049382716049382,0.21313057186344855,0.11499398004815962,0.12809684684684686,0.6923076923076923,0.3298429319371728,0.44680851063829785,0.6666666666666666,0.4306192435822065,0.473750734861846
4,0.25925925925925924,0.15843621399176955,0.20198412698412696,0.11447798417612659,0.1232949516056477,0.6989247311827957,0.3403141361256545,0.45774647887323944,0.6934156378600822,0.4631295316480502,0.5011757789535567
5,0.2839506172839506,0.1574074074074074,0.23452380952380955,0.10753353973168216,0.11527512811880448,0.7159090909090909,0.3298429319371728,0.45161290322580644,0.7078189300411522,0.446257103664511,0.49823633156966496
6,0.2716049382716049,0.15432098765432098,0.32448830409356727,0.13363340950415253,0.15536758563074352,0.711340206185567,0.3612565445026178,0.4791666666666667,0.6934156378600822,0.4701254164217127,0.5141387419165198
Promedio,0.2657382314563887,0.14881687242798353,0.26999956854991775,0.12804403348841942,0.1463432379065744,0.7150073196690916,0.3678567326478527,0.4846656969568029,0.6875238382013449,0.4717163559281897,0.5114747859621391
