Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.8095238095238095,0.04365079365079365,0.7972136222910217,0.6861025111799105,0.7255892255892255,0.9166666666666666,0.8627450980392157,0.8888888888888888,0.9166666666666666,0.9126984126984126,0.9007936507936507
2,0.7857142857142857,0.051587301587301584,0.7761437908496731,0.6993894048847609,0.730201171377642,0.9130434782608695,0.8235294117647058,0.865979381443299,0.9047619047619048,0.8809523809523809,0.8809523809523809
3,0.8333333333333334,0.03968253968253968,0.7777777777777778,0.7457430340557275,0.7562770562770562,0.9183673469387755,0.8823529411764706,0.9,0.9523809523809523,0.9246031746031745,0.9246031746031745
4,0.7857142857142857,0.047619047619047616,0.7966008771929824,0.6773305813553492,0.7202982202982202,0.9148936170212766,0.8431372549019608,0.8775510204081632,0.8928571428571429,0.8888888888888887,0.8769841269841269
5,0.8333333333333334,0.047619047619047616,0.7847222222222222,0.685500515995872,0.7177658942364825,0.9333333333333333,0.8235294117647058,0.875,0.9047619047619048,0.865079365079365,0.8769841269841269
6,0.8095238095238095,0.051587301587301584,0.7761437908496731,0.6993894048847609,0.730201171377642,0.9130434782608695,0.8235294117647058,0.865979381443299,0.8928571428571429,0.8690476190476191,0.8730158730158729
1,0.7380952380952381,0.05952380952380952,0.9803921568627452,0.7081699346405229,0.7919602184308067,0.9534883720930233,0.7592592592592593,0.845360824742268,0.8333333333333334,0.7817460317460316,0.7976190476190477
2,0.7619047619047619,0.051587301587301584,0.9803921568627452,0.7692810457516339,0.8494999009704892,0.9555555555555556,0.7962962962962963,0.8686868686868687,0.8809523809523809,0.8174603174603173,0.8373015873015872
3,0.7619047619047619,0.05555555555555555,0.9803921568627452,0.7359477124183007,0.8197379962085845,0.9545454545454546,0.7777777777777778,0.8571428571428571,0.8571428571428571,0.8055555555555555,0.8214285714285714
4,0.8095238095238095,0.047619047619047616,0.9803921568627452,0.8026143790849672,0.8726480491186374,0.9565217391304348,0.8148148148148148,0.88,0.8809523809523809,0.8412698412698412,0.853174603174603
5,0.7380952380952381,0.051587301587301584,0.9814814814814815,0.7698257080610021,0.8491402116402117,0.9555555555555556,0.7962962962962963,0.8686868686868687,0.8571428571428571,0.8015873015873015,0.8206349206349207
6,0.7857142857142857,0.047619047619047616,0.9803921568627452,0.8026143790849672,0.8680184194890077,0.9565217391304348,0.8148148148148148,0.88,0.8809523809523809,0.8293650793650793,0.8452380952380952
1,0.7317073170731707,0.07317073170731707,0.8229847494553377,0.8502334267040149,0.8115887380593262,0.8431372549019608,0.8113207547169812,0.8269230769230769,0.8292682926829268,0.8170731707317073,0.8130081300813007
2,0.7073170731707317,0.06910569105691057,0.8331505847953217,0.7748366013071896,0.7654040404040404,0.86,0.8113207547169812,0.8349514563106796,0.8414634146341463,0.8170731707317073,0.8170731707317073
3,0.6829268292682927,0.07317073170731707,0.8463450292397661,0.7316993464052287,0.7382936507936507,0.8723404255319149,0.7735849056603774,0.82,0.8170731707317073,0.7926829268292683,0.7926829268292683
4,0.7073170731707317,0.06910569105691057,0.8507625272331154,0.8264239028944912,0.8147938662644546,0.875,0.7924528301886793,0.8316831683168316,0.8292682926829268,0.8048780487804879,0.8048780487804879
5,0.7560975609756098,0.06504065040650407,0.8289772727272727,0.8065826330532212,0.7747084667816376,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.8536585365853658,0.8536585365853658,0.8455284552845528
6,0.7317073170731707,0.07723577235772358,0.8375420875420875,0.7711017740429504,0.7580484330484332,0.8541666666666666,0.7735849056603774,0.8118811881188119,0.8414634146341463,0.8048780487804879,0.8130081300813007
1,0.8292682926829268,0.04878048780487805,0.9465811965811967,0.8314296814296815,0.8672161172161172,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.8902439024390244,0.8780487804878049,0.8780487804878049
2,0.8536585365853658,0.04878048780487805,0.9386446886446888,0.8453185703185704,0.8693528693528694,0.8913043478260869,0.8541666666666666,0.8723404255319149,0.8780487804878049,0.8902439024390244,0.8821138211382114
3,0.8292682926829268,0.04878048780487805,0.935897435897436,0.8465811965811967,0.8695970695970696,0.8913043478260869,0.8541666666666666,0.8723404255319149,0.9024390243902439,0.8902439024390244,0.8902439024390244
4,0.8292682926829268,0.04878048780487805,0.935897435897436,0.8465811965811967,0.8695970695970696,0.8913043478260869,0.8541666666666666,0.8723404255319149,0.9024390243902439,0.8902439024390244,0.8902439024390244
5,0.8292682926829268,0.052845528455284556,0.8942307692307693,0.8647630147630148,0.8775335775335776,0.8723404255319149,0.8541666666666666,0.8631578947368421,0.8780487804878049,0.8780487804878049,0.8739837398373983
6,0.8048780487804879,0.044715447154471545,0.9377289377289378,0.8594017094017095,0.8767195767195767,0.8936170212765957,0.875,0.8842105263157894,0.9146341463414634,0.9146341463414634,0.9024390243902439
1,0.7560975609756098,0.056910569105691054,0.7540763673890609,0.7023809523809524,0.7098858256752992,0.8636363636363636,0.8260869565217391,0.8444444444444444,0.8414634146341463,0.8495934959349593,0.8333333333333335
2,0.8292682926829268,0.044715447154471545,0.7961816305469557,0.7078373015873015,0.7376262626262626,0.9069767441860465,0.8478260869565217,0.8764044943820225,0.8658536585365854,0.8617886178861788,0.8577235772357725
3,0.7560975609756098,0.06097560975609756,0.7303921568627452,0.6919642857142857,0.6897488820089439,0.8604651162790697,0.8043478260869565,0.8314606741573034,0.8292682926829268,0.8252032520325202,0.8170731707317073
4,0.8780487804878049,0.04065040650406504,0.80625,0.6741071428571429,0.7232263840495547,0.9285714285714286,0.8478260869565217,0.8863636363636364,0.8780487804878049,0.8780487804878049,0.8780487804878049
5,0.8292682926829268,0.04065040650406504,0.7961816305469557,0.7911706349206349,0.7931818181818183,0.9090909090909091,0.8695652173913043,0.8888888888888888,0.8658536585365854,0.8699186991869918,0.8650406504065041
6,0.8048780487804879,0.04878048780487805,0.7406260749914001,0.7078373015873015,0.7042929292929293,0.8863636363636364,0.8478260869565217,0.8666666666666667,0.8780487804878049,0.8739837398373983,0.8658536585365854
Promedio,0.7866240805265197,0.053581107239643815,0.8608164974096345,0.7637386427975953,0.7894051037405544,0.9033100961623837,0.8265960601419191,0.8625318434942714,0.8730449090205188,0.8536165956897663,0.8543018453994063
