Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.018867924528301886,0.27088948787061995,0.6379103499206217,0.39855544554074557,0.46782429315128565,0.6874135546334716,0.46232558139534885,0.5528364849833148,0.6556060946391135,0.4560784734133791,0.5076699767737504
2,0.014150943396226415,0.2692048517520216,0.647362345018343,0.4068862630190132,0.4801987935433421,0.6900826446280992,0.466046511627907,0.5563575791227096,0.6659478885893979,0.4588377031773258,0.5160232456223023
3,0.02358490566037736,0.2756064690026954,0.6365849270316859,0.3728141988147325,0.4463721677346156,0.689807976366322,0.4344186046511628,0.5331050228310502,0.6428234501347708,0.4227005567807455,0.48412928790287274
4,0.018867924528301886,0.2692048517520216,0.6509736129442013,0.39774250991516846,0.46768482186046195,0.6943661971830986,0.4586046511627907,0.5523809523809524,0.6720181940700809,0.45322037763075496,0.5128853326966535
5,0.02830188679245283,0.27088948787061995,0.6437758133960981,0.3906182188339163,0.45889829804303284,0.691114245416079,0.4558139534883721,0.5493273542600897,0.6581480233602875,0.44450689509651775,0.5042183676478904
6,0.02358490566037736,0.2722371967654987,0.6410294435452333,0.4002249488492537,0.4717265841697563,0.6851595006934813,0.4595348837209302,0.5501113585746102,0.6563061545372866,0.4517096504124806,0.5022736304575928
1,0.02830188679245283,0.28200808625336926,0.5944044828858174,0.38160245917399255,0.4455460514307987,0.6662068965517242,0.44805194805194803,0.5357737104825291,0.6566262353998203,0.4649153257643823,0.5115451896112273
2,0.0330188679245283,0.2806603773584906,0.6088638549921992,0.3915077079586175,0.4584633377007797,0.6666666666666666,0.45454545454545453,0.5405405405405406,0.6497360736747531,0.4638820822783087,0.5096045856659064
3,0.0330188679245283,0.28672506738544473,0.614376766680907,0.37029554021329464,0.4407044167122791,0.6614509246088194,0.4313543599257885,0.5221785513756316,0.6260500898472596,0.44363632960331073,0.49161441284082796
4,0.03773584905660377,0.27695417789757415,0.6214056189137366,0.3831765295236015,0.453948359889833,0.680281690140845,0.44805194805194803,0.540268456375839,0.6549303683737646,0.4604438931089875,0.508409721367546
5,0.02830188679245283,0.2799865229110512,0.6087885914018786,0.37781961753625026,0.4478183019906647,0.6766809728183119,0.4387755102040816,0.5323579065841305,0.6604335130278527,0.4533832257888862,0.5047155612915879
6,0.04245283018867924,0.28099730458221023,0.6280548277847533,0.3847751966793402,0.4573599355343857,0.6708683473389355,0.44434137291280146,0.5345982142857143,0.6445024707996405,0.4586428639494677,0.5034298600274271
1,0.03773584905660377,0.2715633423180593,0.6589866831013934,0.3922844403483917,0.45993584036539775,0.6829268292682927,0.44863336475023563,0.5415244596131968,0.6648135669362085,0.46657307577118895,0.5120631464971087
2,0.04245283018867924,0.27358490566037735,0.6648203990010912,0.38561738053162176,0.4525753832655308,0.6796536796536796,0.4439208294062206,0.5370581527936146,0.6447327044025157,0.46194219826295296,0.5025512454619003
3,0.04716981132075472,0.2685309973045822,0.6566435880469447,0.402734266377525,0.4684636169927345,0.6843575418994413,0.46182846371347785,0.5514912774338773,0.6480121293800539,0.47247866127583105,0.5168307329308993
4,0.0330188679245283,0.2695417789757412,0.6738957056213188,0.39843251055688267,0.46800722657974575,0.6835443037974683,0.4580584354382658,0.5485327313769752,0.6632973944294698,0.4735156483977238,0.5194601366077504
5,0.02830188679245283,0.2702156334231806,0.6621025602402525,0.4055897487449665,0.47650498448550144,0.6806136680613668,0.4599434495758718,0.5489313835770528,0.6549584456424079,0.4751328990715783,0.5160560351598088
6,0.0330188679245283,0.2688679245283019,0.667608549316964,0.4080280646004898,0.4782684268239983,0.6823855755894591,0.4637134778510839,0.5521885521885522,0.6591812668463611,0.4739499101527403,0.5169272397352308
1,0.014150943396226415,0.27324797843665766,0.6223762064013608,0.39575339328009745,0.4642380402625274,0.6615168539325843,0.45244956772334294,0.5373645179691957,0.6403676250374364,0.45380251300062624,0.49825127394494767
2,0.014150943396226415,0.2644878706199461,0.6556791619767072,0.41417968446209485,0.48601985445967777,0.6777777777777778,0.4687800192122959,0.5542305508233958,0.6577661725067385,0.4665570802363255,0.5123609195404423
3,0.02830188679245283,0.2644878706199461,0.6291934582681896,0.41804201861891654,0.4853927794271011,0.6753424657534246,0.473583093179635,0.5567476002258611,0.6529050613956273,0.4826865351629503,0.5231354206590055
4,0.018867924528301886,0.2749326145552561,0.6214305536014002,0.40080234909766876,0.4705636389607232,0.6560332871012483,0.4543707973102786,0.5368898978433598,0.6130634171907756,0.445437188597566,0.48696116591510596
5,0.018867924528301886,0.271900269541779,0.6228714230028476,0.3923397525552849,0.4634065878413664,0.6666666666666666,0.4495677233429395,0.5370051635111877,0.6372941000299491,0.45351799667837406,0.4992406017031433
6,0.018867924528301886,0.2685309973045822,0.6374026600433967,0.4032274607620188,0.47313871422527753,0.6708683473389355,0.4601344860710855,0.5458689458689459,0.6498596136567835,0.45282933785292273,0.5019165682942042
1,0.0047169811320754715,0.2776280323450135,0.6797720661844447,0.3951007516317872,0.468061195432423,0.7029972752043597,0.45989304812834225,0.5560344827586207,0.6755615453728661,0.461333857442348,0.5190753375062476
2,0.014150943396226415,0.27661725067385445,0.6585806508093366,0.3992361272919219,0.4687151645649887,0.702557200538358,0.46524064171123,0.5597855227882037,0.6763757861635219,0.46870507637017067,0.5224347748071388
3,0.0047169811320754715,0.2749326145552561,0.6647624281638757,0.4192204252734433,0.4901367806812906,0.6997389033942559,0.47771836007130125,0.5677966101694916,0.6696147798742137,0.47292415393830495,0.5252736443463851
4,0.0047169811320754715,0.27122641509433965,0.6916616614671341,0.41790790473960904,0.4937812351982898,0.7104913678618858,0.4768270944741533,0.5706666666666667,0.6863843965259061,0.47465745732255166,0.5308456558839905
5,0.009433962264150943,0.2756064690026954,0.655763620516886,0.3998225581090776,0.47184892166296233,0.7054054054054054,0.46524064171123,0.560687432867884,0.691035864031147,0.4722446840371369,0.5297381239736956
6,0.009433962264150943,0.27358490566037735,0.6670502957508909,0.40013130814676867,0.4731061910656947,0.7129120879120879,0.4625668449197861,0.5610810810810811,0.6847708894878707,0.4582210242587601,0.5246149260161469
Promedio,0.023742138364779883,0.2734950584007188,0.6441377435343303,0.39681562603954973,0.46695699813521546,0.6831962951400851,0.456811170610977,0.5474573720451424,0.6571041105121294,0.46061555582782,0.5104752040296245
