Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.22444889779559118,0.05200143877498587,0.4643286685017594,0.10116498161317397,0.15488172408029327,0.8672839506172839,0.2248,0.3570520965692503,0.3358049432197729,0.2780895123580494,0.2934949263606578
2,0.22244488977955912,0.05187297672267612,0.4621638798887781,0.10208492458237875,0.15541508274249355,0.8728682170542635,0.2252,0.35802861685214626,0.33878868848808724,0.2788688488087286,0.2950535992620161
3,0.22578490313961255,0.05184728431221417,0.5017186613751089,0.10213752501974331,0.15729286299959164,0.8789308176100629,0.2236,0.3565051020408163,0.33586220059165944,0.2782008461367179,0.29378121322009093
4,0.23714094856379425,0.05164174502851857,0.4938251624632742,0.10802608338084885,0.16570940064200207,0.8645833333333334,0.2324,0.36633039092055486,0.3470719216210198,0.29059229570251616,0.30569392753761493
5,0.23647294589178355,0.052104208416833664,0.4546023320478812,0.1059068283403428,0.16047934210685577,0.8420289855072464,0.2324,0.36426332288401253,0.35174794032509465,0.2911489645958584,0.307697935553647
6,0.22778891115564462,0.05197574636452392,0.43420932337143753,0.10037598936280351,0.15281163938016668,0.8641221374045801,0.2264,0.35879556259904916,0.3371186818080606,0.2829659318637275,0.29778922925215506
1,0.23179692718770875,0.053337444119007246,0.37994404178227703,0.10734535866749176,0.1610734882195325,0.8185595567867036,0.23304416403785488,0.36279926335174956,0.3460577721098763,0.2892801475967809,0.30347361389445554
2,0.2237808951235805,0.05372283027593649,0.4134780846108883,0.10587151170675763,0.15852187689051023,0.8219971056439942,0.22397476340694006,0.35202974899287265,0.3401284049580643,0.2794382415624901,0.2952190094474664
3,0.21376085504342018,0.05405683161194183,0.4332749739051057,0.09940069355198225,0.15188216873361673,0.8204747774480712,0.21805993690851735,0.3445482866043614,0.3363717333657213,0.2704488341762891,0.28789483729363485
4,0.23046092184368738,0.053337444119007246,0.4273782261740875,0.10812660070681532,0.16361349476974646,0.8285714285714286,0.22870662460567823,0.3584672435105068,0.3394830064168741,0.2833969526354296,0.29768584788624863
5,0.23112892451569805,0.05354298340270284,0.40463840515332106,0.10779031129874866,0.162261427226893,0.8237822349570201,0.22673501577287067,0.3555967841682127,0.34138175340580146,0.2862407354391322,0.3006489168813818
6,0.21643286573146292,0.05392836955963209,0.4229785397604219,0.10713103993919766,0.16157490972082533,0.8134863701578192,0.22358044164037855,0.35075781008351375,0.33923301147750046,0.27916626904602854,0.2935293052527521
1,0.2177688710754843,0.05184728431221417,0.43751542700480417,0.10050577241570141,0.15550271404203653,0.8147013782542113,0.21902017291066284,0.34523036988968203,0.31686706746826987,0.26835843403979676,0.28096250220498714
2,0.21977287909151635,0.05130774369251323,0.4833014765281614,0.10488711157985307,0.1607222932011414,0.8312883435582822,0.22313709345409632,0.35183382018825055,0.3255240640010179,0.2738805894617518,0.2881588573973344
3,0.21643286573146292,0.05182159190175222,0.4561824259480885,0.10363158775810478,0.15902559630657367,0.8093093093093093,0.2219020172910663,0.34830371567043616,0.31447418646817443,0.2702571810287241,0.2813696175419622
4,0.20641282565130262,0.05202713118544782,0.46934163159526776,0.10173450903712254,0.15756429088760868,0.8146417445482866,0.21531494442157267,0.34060566590687075,0.3073607532525368,0.2620407481629926,0.2734325794446035
5,0.21175684702738812,0.05179589949129027,0.4520929014769451,0.1040959320514424,0.15959248361234302,0.8095952023988006,0.22231370934540964,0.3488372093023256,0.315364856697522,0.267623631100585,0.27914612293369806
6,0.22177688710754842,0.05156466779713273,0.4956182957904382,0.101481112264181,0.1557740712481935,0.8216463414634146,0.2219020172910663,0.3494327390599676,0.32123771352228264,0.27376925568308336,0.28610713490473005
1,0.23313293253173012,0.05248959457376291,0.41420691811012483,0.10681861598358512,0.16077439836085466,0.8258992805755395,0.2299679487179487,0.35976183014728924,0.3421138573443182,0.28878905552252243,0.302919564619435
2,0.22845691382765532,0.052592364215610705,0.5081097928700575,0.11218052749061135,0.1697111018433111,0.8258345428156749,0.22796474358974358,0.3572998430141287,0.3386884880872857,0.2827436313408257,0.29775319532480915
3,0.22177688710754842,0.05246390216330096,0.4370313812283459,0.10485935017856211,0.15890516406768215,0.8408408408408409,0.22435897435897437,0.35420619860847563,0.3316256444512957,0.27682067431566426,0.2911643080745992
4,0.23313293253173012,0.05246390216330096,0.4323733584657697,0.10741150583077534,0.1613559242035239,0.8261494252873564,0.23036858974358973,0.36027568922305764,0.3405082893058845,0.28878905552252243,0.30220755859680765
5,0.23513694054776219,0.05236113252145316,0.4597901280685397,0.10874282560816682,0.16464134098145425,0.8338192419825073,0.22916666666666666,0.3595223130106851,0.34059229570251615,0.2863397123918166,0.30116425023887
6,0.23112892451569805,0.05236113252145316,0.43153306307161005,0.10847417090922258,0.16243793401047352,0.8328488372093024,0.22956730769230768,0.3599246231155779,0.33908557856453647,0.2863397123918166,0.30008214374594194
1,0.23128342245989306,0.05108494446729741,0.4539715174766697,0.10453647945189294,0.16004560794932,0.8237951807228916,0.22631361191559785,0.35507951963648166,0.3312302893185246,0.2823659387997623,0.2950174008997538
2,0.2252673796791444,0.05149629781982723,0.39642068099642275,0.10324478521913984,0.15644989450435048,0.8174846625766872,0.22052130740587506,0.3473444118605409,0.321078431372549,0.2747567587641117,0.2867413632119514
