Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.6130182790905038,0.022648238965670975,0.48320430577863044,0.1238718647910632,0.17390057638828932,0.9080996884735203,0.6441988950276243,0.7537168713639302,0.8986476445237034,0.7564870409721056,0.7958554820124146
2,0.613464110566206,0.022603655818100758,0.5320457700259025,0.13365055180471855,0.19037901007618546,0.9088430074016361,0.644475138121547,0.7541619524810086,0.8980532025561004,0.7556995983656706,0.7951197512053508
3,0.6156932679447169,0.02235101798186952,0.569750189801321,0.13914151779697362,0.19946322508726683,0.9103956555469356,0.6483425414364641,0.7573410777670216,0.9012854807549413,0.7590804870564121,0.7988583665801676
4,0.6045474810521623,0.02282657155595185,0.4665395688264585,0.1269615418882001,0.17906374340241332,0.9073494917904613,0.6411602209944751,0.751375849789576,0.8969386238668451,0.754068935968178,0.7931971233799143
5,0.6130182790905038,0.02235101798186952,0.5127519162165851,0.13225811103119242,0.18856288773733526,0.911353032659409,0.6475138121546962,0.7571059431524548,0.9006538861643633,0.7585973099570958,0.7981292225384958
6,0.6161390994204191,0.022588794768910684,0.3986644250961516,0.12388987870733943,0.1730215934417484,0.9057187017001546,0.6475138121546962,0.7551546391752577,0.8969014712438698,0.7586749927142259,0.7963939092561473
1,0.6009808292465448,0.02324268093327389,0.44484350398295547,0.11477261465154405,0.16078977586869864,0.8974158183241974,0.6377295492487479,0.745608327911516,0.8858671422202408,0.7459983247544549,0.7839716829462706
2,0.596522514489523,0.023584485064645565,0.3927505322098367,0.11505210423905213,0.1603588440572895,0.8930669800235017,0.6343906510851419,0.741825280624695,0.8838609005795809,0.7439029168186546,0.7821023752588621
3,0.5983058403923317,0.023569624015455492,0.41163132963578214,0.1148248501765738,0.16051839330811563,0.889751552795031,0.6377295492487479,0.7429497568881686,0.8841209689404073,0.7463104067874464,0.7840739411180784
4,0.6009808292465448,0.023168375687323526,0.3352028029114836,0.1115780384211908,0.1521785288523805,0.8933127174333204,0.6430161380077908,0.7477754408671736,0.8832293059890028,0.7489110903957091,0.7853792366052732
5,0.5929558626839054,0.023629068212215783,0.44681255233895717,0.11139645234440948,0.15675597900408703,0.8938679245283019,0.6327212020033389,0.7409579667644184,0.8818546589389211,0.7421195909158459,0.7804793363866034
6,0.5974141774409273,0.023421013523554763,0.39061377468870534,0.11289801768553333,0.1558607937817152,0.8904798761609907,0.6402337228714524,0.7449012625445128,0.8823004904146232,0.7473655412799416,0.7840558955583476
