Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.5116279069767442,0.044879640962872294,0.3763157894736842,0.16372750056960583,0.212069502644778,0.7222222222222222,0.291044776119403,0.4148936170212766,0.21447028423772607,0.14883720930232558,0.1684754521963824
2,0.49612403100775193,0.042839657282741736,0.3666150670794634,0.17526011999696212,0.22739607639789128,0.7843137254901961,0.29850746268656714,0.43243243243243246,0.22286821705426357,0.15400516795865632,0.17194536729420448
3,0.5116279069767442,0.03998368013055895,0.43080068592533965,0.21395078605604922,0.2633515607199818,0.8103448275862069,0.35074626865671643,0.4895833333333333,0.22093023255813954,0.16718346253229974,0.18309339239571798
4,0.5271317829457365,0.0416156670746634,0.4144736842105263,0.17561555403660667,0.2253985873657424,0.82,0.30597014925373134,0.44565217391304346,0.20930232558139536,0.15361757105943155,0.17050572166851236
5,0.49612403100775193,0.04324765401876785,0.4360902255639097,0.14298397508923824,0.20456014040406056,0.8181818181818182,0.26865671641791045,0.4044943820224719,0.19509043927648578,0.14095607235142116,0.15516795865633073
6,0.49612403100775193,0.04202366381068951,0.3191520467836257,0.19566567934988988,0.23467800176233508,0.7540983606557377,0.34328358208955223,0.4717948717948718,0.20930232558139536,0.16072351421188633,0.17495385751199702
1,0.5193798449612403,0.03916768665850673,0.38960636886333483,0.20601021785232312,0.25540100250626563,0.7288135593220338,0.34959349593495936,0.4725274725274725,0.24547803617571057,0.1970284237726098,0.20594315245478034
2,0.5038759689922481,0.044471644226846185,0.36536416799574695,0.2016242529400424,0.24138215585584008,0.6458333333333334,0.25203252032520324,0.36257309941520466,0.17829457364341086,0.148578811369509,0.1547065337763012
3,0.5193798449612403,0.044063647490820076,0.33535762483130904,0.15388953152111046,0.20419345465112057,0.6595744680851063,0.25203252032520324,0.36470588235294116,0.1744186046511628,0.14534883720930233,0.15142118863049095
4,0.4883720930232558,0.04243166054671563,0.3796992481203007,0.1633024869866975,0.2135567497636463,0.7021276595744681,0.2682926829268293,0.38823529411764707,0.20930232558139536,0.15439276485788112,0.16511627906976742
