Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.226890756302521,0.20448179271708683,0.6922551789077214,0.5294782875278781,0.5844465112652459,0.7151515151515152,0.543778801843318,0.6178010471204188,0.6064425770308123,0.5322128851540616,0.5380952380952381
2,0.2689075630252101,0.19887955182072828,0.7199415440488521,0.5380012695372244,0.603890080964835,0.7419354838709677,0.5299539170506913,0.6182795698924731,0.5994397759103642,0.5168067226890756,0.5310924369747899
3,0.3025210084033613,0.20448179271708683,0.7181119036441376,0.5346101040182071,0.6003671299300796,0.7177914110429447,0.5391705069124424,0.6157894736842106,0.603641456582633,0.5336134453781513,0.5425770308123249
4,0.2773109243697479,0.19467787114845939,0.7351136363636365,0.5523237208307842,0.6177625489701924,0.7349397590361446,0.5622119815668203,0.6370757180156658,0.6470588235294118,0.557422969187675,0.5703081232492997
5,0.2184873949579832,0.20728291316526612,0.7140123378513472,0.4983711365029422,0.5716914827775,0.7254901960784313,0.511520737327189,0.6,0.5980392156862745,0.5126050420168067,0.5254901960784313
6,0.2184873949579832,0.21568627450980393,0.6917104589430565,0.5221404138863989,0.5718892830624536,0.6909090909090909,0.5253456221198156,0.5968586387434555,0.6134453781512605,0.5266106442577031,0.5352941176470587
1,0.24369747899159663,0.22408963585434175,0.7088946767518197,0.5101642377504446,0.5876375628287223,0.7125748502994012,0.5151515151515151,0.5979899497487438,0.5854341736694678,0.4831932773109244,0.5044817927170867
2,0.226890756302521,0.20588235294117646,0.7445297392665814,0.5387921077576251,0.6115150715510361,0.7470588235294118,0.5497835497835498,0.6334164588528678,0.6183473389355744,0.5084033613445378,0.5312925170068027
3,0.24369747899159663,0.19887955182072828,0.7620244821092279,0.5613254548599376,0.629637484477029,0.7542857142857143,0.5714285714285714,0.6502463054187192,0.6484593837535014,0.5476190476190476,0.5630252100840335
4,0.25210084033613445,0.20168067226890757,0.7432254314438222,0.5583912398567571,0.6283609282599929,0.7485714285714286,0.5670995670995671,0.645320197044335,0.6288515406162466,0.5266106442577031,0.5495798319327732
5,0.2184873949579832,0.211484593837535,0.7599168705690444,0.5009026077991595,0.593739889926654,0.75,0.5194805194805194,0.6138107416879796,0.6176470588235294,0.4971988795518207,0.5263305322128852
6,0.2605042016806723,0.19607843137254902,0.7603831371470577,0.5414755936307661,0.6272587366337367,0.7724550898203593,0.5584415584415584,0.6482412060301508,0.6470588235294118,0.542016806722689,0.5616246498599441
1,0.3025210084033613,0.17647058823529413,0.7831954432765791,0.5577037560641347,0.6387468375408831,0.7839506172839507,0.5825688073394495,0.6684210526315789,0.669467787114846,0.5868347338935573,0.5983193277310924
2,0.2605042016806723,0.18487394957983194,0.7559978000082689,0.5613626190346103,0.6396619202444446,0.7590361445783133,0.5779816513761468,0.65625,0.6218487394957983,0.561624649859944,0.5641456582633054
3,0.2773109243697479,0.19607843137254902,0.7121510885055776,0.5326245324554993,0.6030048337201211,0.7321428571428571,0.5642201834862385,0.6373056994818653,0.6260504201680672,0.5434173669467788,0.5588235294117648
4,0.3277310924369748,0.19047619047619047,0.7468494468494469,0.5699700051563642,0.627579736956636,0.7329545454545454,0.591743119266055,0.6548223350253807,0.6190476190476191,0.5840336134453782,0.5817927170868348
5,0.3445378151260504,0.16946778711484595,0.7642063800397133,0.620534743707073,0.6824370409517012,0.7679558011049724,0.6376146788990825,0.6967418546365914,0.6722689075630253,0.6316526610644256,0.6268907563025211
6,0.2773109243697479,0.19327731092436976,0.7486812570145904,0.5213822997270428,0.6036004666162699,0.7597402597402597,0.536697247706422,0.6290322580645161,0.6414565826330532,0.5378151260504201,0.5621848739495798
1,0.23728813559322035,0.22033898305084745,0.7187217859875114,0.5143565249130245,0.5804649809376866,0.7018633540372671,0.5113122171945701,0.5916230366492147,0.5692090395480226,0.5395480225988701,0.5242937853107345
2,0.19491525423728814,0.2189265536723164,0.7238644616095596,0.5261954514782078,0.5912500265806806,0.6964285714285714,0.5294117647058824,0.6015424164524421,0.5889830508474576,0.5437853107344632,0.5322033898305084
3,0.2033898305084746,0.2231638418079096,0.6942145593869732,0.5285517114249,0.5889466986366211,0.6863905325443787,0.5248868778280543,0.5948717948717949,0.5677966101694916,0.5338983050847458,0.5186440677966101
4,0.2288135593220339,0.211864406779661,0.7602241339083444,0.5062275451906436,0.5873540790524653,0.7320261437908496,0.5067873303167421,0.5989304812834224,0.6115819209039548,0.5225988700564972,0.5327683615819209
5,0.22033898305084745,0.2175141242937853,0.708021118071931,0.5515673996398197,0.6065571757677021,0.6936416184971098,0.5429864253393665,0.6091370558375635,0.5903954802259888,0.5635593220338981,0.546045197740113
6,0.22033898305084745,0.21610169491525424,0.7267490418261806,0.5312844276409397,0.6042244951419169,0.7048192771084337,0.5294117647058824,0.6046511627906976,0.5833333333333333,0.5437853107344633,0.5364406779661016
1,0.2457627118644068,0.2231638418079096,0.6812942612942612,0.4706493617661005,0.5479640158885828,0.7032258064516129,0.49321266968325794,0.5797872340425532,0.5833333333333334,0.5,0.5112994350282485
2,0.288135593220339,0.21045197740112995,0.7204577918932203,0.5060028115758511,0.58754541587659,0.725,0.5248868778280543,0.6089238845144357,0.6341807909604521,0.5310734463276835,0.5519774011299434
3,0.2796610169491525,0.211864406779661,0.715409767133905,0.5221430445507615,0.5978093636671543,0.7125748502994012,0.5384615384615384,0.6134020618556701,0.6242937853107344,0.53954802259887,0.5542372881355931
4,0.3050847457627119,0.19491525423728814,0.7517084354778153,0.5382275002185506,0.6202147222497155,0.754601226993865,0.5565610859728507,0.640625,0.6483050847457628,0.5649717514124294,0.581638418079096
5,0.2627118644067797,0.2132768361581921,0.7017063173839437,0.4865455272852663,0.5656646893751472,0.7243589743589743,0.5113122171945701,0.5994694960212201,0.597457627118644,0.5353107344632769,0.5350282485875706
