Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.2682926829268293,0.15548780487804878,0.4547164351851851,0.14825354646452163,0.19240058307142002,0.6989247311827957,0.34210526315789475,0.45936395759717313,0.6219512195121951,0.4197154471544716,0.46495354239256675
2,0.2682926829268293,0.16158536585365854,0.3374624624624625,0.12958431178675897,0.15194045483419297,0.6631578947368421,0.33157894736842103,0.4421052631578947,0.6534552845528455,0.43119918699187004,0.4777390631049168
3,0.24390243902439024,0.16463414634146342,0.28937198067632847,0.17212094370974607,0.1952978904246987,0.6272727272727273,0.3631578947368421,0.46,0.6390243902439025,0.46412601626016264,0.48569492837785516
4,0.2804878048780488,0.1524390243902439,0.3136507936507937,0.14681848144028345,0.17520901528490443,0.7,0.3684210526315789,0.4827586206896552,0.666260162601626,0.47123983739837405,0.5054974835462641
5,0.18292682926829268,0.16971544715447154,0.2838955026455027,0.11233228964967934,0.14044783739181024,0.632183908045977,0.2894736842105263,0.3971119133574007,0.5670731707317073,0.3665650406504065,0.40607820363917924
6,0.23170731707317074,0.15853658536585366,0.3064574314574315,0.12433121850066603,0.1506939473770094,0.6931818181818182,0.32105263157894737,0.43884892086330934,0.6280487804878049,0.41412601626016265,0.4548586914440574
1,0.2073170731707317,0.13617886178861788,0.3408424908424908,0.14645861593013018,0.1812219695724645,0.6836734693877551,0.3941176470588235,0.5,0.6056910569105691,0.43983739837398367,0.4626790553619822
2,0.18292682926829268,0.14939024390243902,0.2501869658119658,0.14995519353418527,0.1747636791844109,0.6036036036036037,0.3941176470588235,0.47686832740213525,0.5873983739837398,0.4315040650406504,0.4548393341076268
3,0.15853658536585366,0.14735772357723578,0.2505212035062781,0.14112367179505483,0.16858454106280196,0.6213592233009708,0.3764705882352941,0.46886446886446886,0.5802845528455284,0.4184959349593496,0.4362562911343399
4,0.21951219512195122,0.13516260162601626,0.26625704045058884,0.14620457628328695,0.1775411481407274,0.6907216494845361,0.3941176470588235,0.50187265917603,0.6138211382113821,0.46626016260162595,0.4802168021680217
5,0.15853658536585366,0.13617886178861788,0.2850863546176046,0.17718822880226556,0.20595063127495217,0.6607142857142857,0.43529411764705883,0.524822695035461,0.5853658536585366,0.49288617886178865,0.4797909407665505
6,0.2073170731707317,0.1402439024390244,0.31221694971694974,0.15329701220818162,0.1823283709184872,0.6509433962264151,0.40588235294117647,0.5,0.6361788617886178,0.47682926829268296,0.4900890437475803
1,0.19753086419753085,0.1728395061728395,0.28404605263157895,0.13101814748027932,0.1612224551194316,0.648936170212766,0.3112244897959184,0.4206896551724138,0.5637860082304528,0.39488536155202825,0.4234282863912493
2,0.18518518518518517,0.16152263374485595,0.20524521283923405,0.1513554954473608,0.17054673276957089,0.6857142857142857,0.3673469387755102,0.47840531561461797,0.6347736625514404,0.4570012292234514,0.47625995403773186
3,0.2345679012345679,0.16769547325102882,0.14130140692640694,0.1074022128720586,0.11676076998657643,0.6774193548387096,0.32142857142857145,0.4359861591695502,0.6193415637860082,0.43424990647212874,0.46238576238576234
4,0.19753086419753085,0.15843621399176955,0.25961081402257874,0.13453946269952582,0.1570188492063492,0.7142857142857143,0.35714285714285715,0.47619047619047616,0.654320987654321,0.4590882368660147,0.48449040671262894
5,0.18518518518518517,0.1574074074074074,0.2453906977628252,0.15112236748369287,0.17076173507660286,0.6936936936936937,0.39285714285714285,0.501628664495114,0.6635802469135802,0.48912938912938914,0.5010394954839399
