Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.1618082441357322,0.027801015127702704,0.556670221433838,0.1542819946081164,0.21625706858617588,0.7612674973081065,0.5175830784113786,0.6162083080418982,0.7138053518889319,0.5355521894664459,0.5758727305757697
2,0.16659075381462082,0.0278483667086818,0.5890394333426584,0.1585404765645605,0.22504547288696525,0.7587880177288705,0.5192302664261249,0.6165572269051056,0.71779559922352,0.5408306381490167,0.5793984611393725
3,0.1646549760874516,0.02803664561400344,0.5530747488861877,0.15880923806743458,0.22250738694488964,0.7563714406162573,0.5160143279211441,0.6134908299658066,0.7093662451695929,0.5363492080555392,0.5747166950652144
4,0.16408562969710772,0.027874297336360827,0.5589784302540974,0.15953104066783969,0.22478520674518074,0.7594290757011856,0.517504640886867,0.6155496812315348,0.7174007168342171,0.5382209641746194,0.5783646570305427
5,0.15953085857435664,0.028012969823513895,0.5980175432755959,0.1635390502959478,0.23085554463887356,0.7546947464456778,0.5190733913771015,0.6150914752219107,0.7120195636621282,0.5383806115188489,0.5763206500628527
6,0.16044181279890685,0.028087379450766756,0.5374604547842903,0.1544016569238523,0.2179941027749615,0.7592952706907281,0.5104452636808116,0.6104848418518113,0.7127361883795499,0.5326170495664917,0.572462076366638
1,0.16659075381462082,0.027811161895055368,0.5203689276044623,0.16167923726825964,0.22612893424026878,0.7636279105807602,0.5149306371972725,0.6150917488453377,0.7231635652866579,0.5399907719624185,0.5817388780026249
2,0.16260532908221362,0.0277897409417553,0.553060920168831,0.16036378180729569,0.2244077655573197,0.7624200878071324,0.5172035425973822,0.616316174524851,0.7210666873044463,0.541599882853299,0.5820388010716002
3,0.16590753814620815,0.027990421451619087,0.5440937256217435,0.1641597584100218,0.2287065291297997,0.7623673533083646,0.5105154531441858,0.6115257631945422,0.7176604718821754,0.536591490413228,0.5770713256739056
4,0.16397176041903894,0.02787880701073979,0.5343122332386759,0.15550793161059115,0.2181948216412249,0.7641851577428538,0.5119523473626459,0.6131414267834794,0.7215888921422968,0.5392663061716237,0.5795436600354554
5,0.15998633568663176,0.027922776335934665,0.5374834452306162,0.15761038921495787,0.2204167965105141,0.7619029156327544,0.5133892415811061,0.6134323932010801,0.7189720923323746,0.5383980613000199,0.5785694223372999
