Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.5193798449612403,0.04324765401876785,0.35505430242272346,0.13842485000379737,0.1872353767090609,0.8333333333333334,0.26119402985074625,0.3977272727272727,0.1744186046511628,0.12454780361757106,0.14027316352897748
2,0.4883720930232558,0.04528763769889841,0.29824561403508776,0.119404572036151,0.16559668401773667,0.8285714285714286,0.21641791044776118,0.3431952662721893,0.15633074935400515,0.10258397932816536,0.1176079734219269
3,0.49612403100775193,0.046511627906976744,0.3263157894736842,0.08977823346244398,0.13353576248313093,0.8571428571428571,0.1791044776119403,0.2962962962962963,0.16279069767441862,0.0900516795865633,0.10878552971576226
4,0.5116279069767442,0.04079967360261118,0.39385964912280697,0.15384445963393334,0.21111901375059267,0.9047619047619048,0.2835820895522388,0.4318181818181818,0.2054263565891473,0.13191214470284238,0.15380214101144335
5,0.5038759689922481,0.044471644226846185,0.32748538011695905,0.13720741247057036,0.1839156715317706,0.8787878787878788,0.21641791044776118,0.3473053892215569,0.18604651162790697,0.11175710594315245,0.13333333333333333
6,0.4806201550387597,0.044063647490820076,0.31100478468899523,0.12414748993696363,0.17527151211361738,0.8421052631578947,0.23880597014925373,0.37209302325581395,0.19638242894056845,0.1169250645994832,0.13997785160575857
1,0.4806201550387597,0.044063647490820076,0.30701754385964913,0.11905243878928089,0.16507194515001758,0.7586206896551724,0.17886178861788618,0.2894736842105263,0.13565891472868216,0.10917312661498707,0.11524547803617571
2,0.4806201550387597,0.046103631170950635,0.2587719298245614,0.09694428378638904,0.13151692362218678,0.65625,0.17073170731707318,0.2709677419354839,0.1511627906976744,0.11046511627906977,0.11782945736434108
3,0.4883720930232558,0.046511627906976744,0.20894147132537225,0.09344997108155002,0.12096698202490935,0.6153846153846154,0.1951219512195122,0.2962962962962963,0.16795865633074933,0.12015503875968991,0.13204134366925063
4,0.4806201550387597,0.044471644226846185,0.4052631578947368,0.11962598804704065,0.17115051443224819,0.7058823529411765,0.1951219512195122,0.3057324840764331,0.15503875968992248,0.10917312661498707,0.11989664082687337
5,0.5271317829457365,0.04039167686658507,0.33516746411483256,0.12009350298823983,0.16643644404092434,0.8529411764705882,0.23577235772357724,0.36942675159235666,0.1937984496124031,0.14599483204134367,0.15917312661498706
6,0.4573643410852713,0.046511627906976744,0.3313090418353576,0.11655581260844416,0.1534756948191851,0.6451612903225806,0.16260162601626016,0.2597402597402597,0.12661498708010338,0.0872093023255814,0.09586563307493541
1,0.5503875968992248,0.03875968992248062,0.39473684210526316,0.12919799498746867,0.18880534670008353,0.8620689655172413,0.21551724137931033,0.3448275862068966,0.13953488372093023,0.0872093023255814,0.10173495754891103
2,0.5503875968992248,0.03875968992248062,0.33918128654970764,0.11049498746867167,0.16047922837396522,0.8888888888888888,0.20689655172413793,0.3356643356643357,0.15891472868217055,0.09302325581395349,0.11085271317829458
3,0.5503875968992248,0.03835169318645451,0.44517543859649117,0.14038220551378447,0.19838056680161942,0.8235294117647058,0.2413793103448276,0.37333333333333335,0.14470284237726097,0.10852713178294572,0.1211517165005537
4,0.5426356589147286,0.03875968992248062,0.4027777777777778,0.12781954887218047,0.18577352472089315,0.8181818181818182,0.23275862068965517,0.3624161073825503,0.1569767441860465,0.09689922480620156,0.11384274640088592
5,0.5581395348837209,0.037943696450428395,0.4403508771929825,0.17662907268170425,0.24126159881308623,0.8285714285714286,0.25,0.3841059602649007,0.15891472868217055,0.10788113695090439,0.12266519010705057
6,0.5348837209302325,0.039575683394532844,0.38421052631578945,0.11773182957393484,0.1744521560311034,0.8275862068965517,0.20689655172413793,0.3310344827586207,0.14470284237726097,0.09108527131782945,0.10675526024363233
1,0.4418604651162791,0.05385556915544676,0.46622807017543866,0.1371525404420141,0.19756682219565835,0.7857142857142857,0.21153846153846154,0.3333333333333333,0.19121447028423771,0.11459948320413435,0.13434846806939832
2,0.4496124031007752,0.05344757241942064,0.39832535885167464,0.10180603022708286,0.15444230928911187,0.8571428571428571,0.19230769230769232,0.31413612565445026,0.16020671834625322,0.11098191214470282,0.12502768549280174
3,0.4418604651162791,0.053039575683394534,0.47495074584857866,0.12049650641755905,0.1781755954743571,0.8095238095238095,0.21794871794871795,0.3434343434343434,0.18863049095607234,0.11291989664082687,0.1327057954964932
4,0.4728682170542636,0.04895960832313342,0.5007739938080495,0.15803410040252144,0.22129149331365397,0.8461538461538461,0.28205128205128205,0.4230769230769231,0.22997416020671832,0.16098191214470284,0.1815799187892211
5,0.4573643410852713,0.05059159526723786,0.43488529014844807,0.126839447102605,0.18687685768507015,0.8809523809523809,0.23717948717948717,0.37373737373737376,0.20671834625322996,0.1355297157622739,0.15474344776670357
6,0.46511627906976744,0.0518155854753162,0.45311808934099956,0.14588118022328547,0.20009337068160596,0.8085106382978723,0.24358974358974358,0.37438423645320196,0.20671834625322996,0.14328165374677004,0.16142488002953118
1,0.5193798449612403,0.044063647490820076,0.47268170426065165,0.1278366370471634,0.18627601476966268,0.7575757575757576,0.2,0.31645569620253167,0.16020671834625322,0.07997416020671834,0.1028423772609819
2,0.5193798449612403,0.044063647490820076,0.28421052631578947,0.10140123034859877,0.13937386139602206,0.7741935483870968,0.192,0.3076923076923077,0.1511627906976744,0.07842377260981913,0.0958656330749354
3,0.5193798449612403,0.04732762137902897,0.26528822055137846,0.08768512189564821,0.12658068128167527,0.6451612903225806,0.16,0.2564102564102564,0.12273901808785528,0.07558139534883719,0.08722775932078258
4,0.5426356589147286,0.044879640962872294,0.3533834586466165,0.11360218728639782,0.16838633183078688,0.8,0.16,0.26666666666666666,0.11369509043927647,0.07364341085271318,0.08449612403100774
5,0.5503875968992248,0.041207670338637294,0.4924812030075188,0.13844839371155163,0.20303308968754416,0.875,0.224,0.35668789808917195,0.15633074935400515,0.10465116279069768,0.11856773717238833
6,0.5348837209302325,0.04528763769889841,0.2982456140350877,0.08303713830029619,0.12844478570431384,0.8181818181818182,0.144,0.24489795918367346,0.12015503875968993,0.06744186046511627,0.08165374677002583
Promedio,0.503875968992248,0.04477084183326533,0.3719813717414336,0.12243350557824242,0.17349953864818646,0.8028626580867456,0.21172658102169922,0.33407891909958465,0.16410422049956933,0.10675279931093887,0.12237726098191216
