Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.16216216216216217,0.2927927927927928,0.5199248226544286,0.46691256080770466,0.46925557549610875,0.6666666666666666,0.6411149825783972,0.6536412078152753,0.6576576576576577,0.6291291291291291,0.6141999141999143
2,0.22522522522522523,0.27627627627627627,0.5382700612545026,0.5305385624002942,0.5299380166960076,0.6769759450171822,0.686411149825784,0.6816608996539792,0.6456456456456456,0.6756756756756757,0.6325396825396826
3,0.13513513513513514,0.3123123123123123,0.4933070229686772,0.423076685545377,0.44289072870533547,0.6573705179282868,0.5749128919860628,0.6133828996282528,0.6478978978978979,0.5653153153153153,0.5744315744315744
4,0.2072072072072072,0.3078078078078078,0.49294750471221066,0.45527726730763957,0.459735150781756,0.6496350364963503,0.6202090592334495,0.6345811051693404,0.6621621621621621,0.6201201201201202,0.60982410982411
5,0.14414414414414414,0.2987987987987988,0.5198620093356935,0.4689061445165086,0.47019999905402926,0.6594202898550725,0.6341463414634146,0.6465364120781527,0.6448948948948949,0.6088588588588588,0.5994851994851996
6,0.12612612612612611,0.2882882882882883,0.5202550980457957,0.46099819974841255,0.47309312447621776,0.6779026217228464,0.6306620209059234,0.6534296028880866,0.6734234234234235,0.6253753753753755,0.6185757185757185
1,0.12612612612612611,0.3303303303303303,0.44582101746171104,0.41190850714660243,0.41233641851369557,0.6031746031746031,0.5588235294117647,0.5801526717557252,0.6253753753753752,0.5564564564564564,0.5516087516087516
2,0.06306306306306306,0.32882882882882886,0.46964369120110855,0.39386217036320553,0.40634629331467736,0.6108786610878661,0.5367647058823529,0.5714285714285714,0.6336336336336335,0.540990990990991,0.5376948376948376
3,0.13513513513513514,0.32882882882882886,0.45941360581791396,0.41670001856337263,0.4147276334776335,0.6039215686274509,0.5661764705882353,0.5844402277039848,0.6066066066066066,0.5647147147147148,0.5498712998712999
4,0.08108108108108109,0.33183183183183185,0.48149962565701016,0.4312436512229472,0.43319195465273586,0.6,0.5625,0.5806451612903226,0.6178678678678678,0.5572072072072072,0.54021879021879
