Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.2857142857142857,0.20868347338935575,0.6935350322761095,0.5439275247205868,0.5889205040990755,0.6976744186046512,0.5529953917050692,0.6169665809768637,0.6120448179271708,0.5406162464985994,0.5518207282913165
2,0.2773109243697479,0.19467787114845939,0.7248939430844802,0.5491916765788889,0.6086565647074691,0.7407407407407407,0.5529953917050692,0.633245382585752,0.6078431372549019,0.5322128851540616,0.5425770308123249
3,0.19327731092436976,0.21428571428571427,0.6916407867494825,0.525348590091992,0.5756155850302257,0.6975308641975309,0.5207373271889401,0.5963060686015831,0.6043417366946778,0.5182072829131653,0.5304521808723489
4,0.25210084033613445,0.21708683473389356,0.6710912796978371,0.5161254810217858,0.559286286783622,0.691358024691358,0.5161290322580645,0.5910290237467019,0.5644257703081232,0.5056022408963585,0.5095238095238095
5,0.3025210084033613,0.18907563025210083,0.7786461251167133,0.5449445104513136,0.6188185663684628,0.7628205128205128,0.5483870967741935,0.6380697050938338,0.634453781512605,0.5364145658263305,0.5582633053221289
6,0.21008403361344538,0.21288515406162464,0.6818368413195999,0.5318792418937383,0.5745885103683269,0.696969696969697,0.5299539170506913,0.6020942408376964,0.634453781512605,0.5266106442577031,0.5425770308123249
1,0.2184873949579832,0.226890756302521,0.6842461524664915,0.5259868574523747,0.5861760029076372,0.6927374301675978,0.5367965367965368,0.6048780487804878,0.592436974789916,0.5014005602240896,0.5168067226890757
2,0.31932773109243695,0.19887955182072828,0.747724072436716,0.5725632747184471,0.6392034237318965,0.7486033519553073,0.5800865800865801,0.6536585365853659,0.6218487394957982,0.5560224089635855,0.561344537815126
3,0.2689075630252101,0.18907563025210083,0.7561394093156388,0.5789241021999643,0.6431071690005666,0.7666666666666667,0.5974025974025974,0.6715328467153284,0.6792717086834733,0.5840336134453782,0.5971988795518208
4,0.2773109243697479,0.20028011204481794,0.72835995926225,0.5857389503941227,0.6426182684522196,0.7365591397849462,0.5930735930735931,0.657074340527578,0.6442577030812324,0.5798319327731093,0.5806722689075631
5,0.2605042016806723,0.211484593837535,0.7025529321724974,0.54219217796804,0.5964418232524651,0.7222222222222222,0.5627705627705628,0.6326034063260341,0.6456582633053222,0.5406162464985994,0.5596638655462184
6,0.24369747899159663,0.22128851540616246,0.7170582230252395,0.5186583040031317,0.5865551030353662,0.7134502923976608,0.5281385281385281,0.6069651741293532,0.6022408963585435,0.5098039215686274,0.5274509803921568
