Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.23170731707317074,0.1565040650406504,0.3591133942161339,0.13051023771268488,0.1572664145463876,0.6914893617021277,0.34210526315789475,0.45774647887323944,0.6382113821138211,0.43180894308943085,0.470538133952768
2,0.25609756097560976,0.1524390243902439,0.382687908496732,0.16554539337260882,0.19921489329384068,0.6818181818181818,0.39473684210526316,0.5,0.6869918699186991,0.505691056910569,0.5242160278745644
3,0.24390243902439024,0.16158536585365854,0.21412037037037038,0.1288276411376152,0.1437765496533513,0.6534653465346535,0.3473684210526316,0.4536082474226804,0.6524390243902439,0.44034552845528446,0.48200735578784354
4,0.1951219512195122,0.1676829268292683,0.21626331185154712,0.13050474464082176,0.1518331814384446,0.6213592233009708,0.3368421052631579,0.43686006825938567,0.5792682926829268,0.42002032520325205,0.4396438250096787
5,0.24390243902439024,0.1717479674796748,0.2329718417047184,0.10932036968373639,0.12209720420779313,0.6060606060606061,0.3157894736842105,0.41522491349480967,0.6341463414634146,0.4268292682926829,0.46289198606271775
6,0.21951219512195122,0.16565040650406504,0.351319568231333,0.1442305579587745,0.17512027661021468,0.6261682242990654,0.3526315789473684,0.4511784511784512,0.6382113821138211,0.47245934959349595,0.47826171118854044
1,0.23170731707317074,0.13109756097560976,0.3631161971830987,0.1531525160039028,0.1810548444183875,0.6952380952380952,0.4294117647058823,0.5309090909090909,0.6341463414634148,0.4813008130081301,0.5051974448315911
2,0.2682926829268293,0.13008130081300814,0.3235805860805861,0.1651496424406844,0.19460085085085085,0.6909090909090909,0.4470588235294118,0.5428571428571428,0.6788617886178862,0.5327235772357723,0.5470576848625629
3,0.3048780487804878,0.12703252032520326,0.33307725138711053,0.18712942635824945,0.21582819559665747,0.6859504132231405,0.48823529411764705,0.570446735395189,0.6808943089430894,0.5463414634146342,0.5609078590785908
4,0.21951219512195122,0.13414634146341464,0.40740740740740744,0.13918490903357847,0.17234907120743034,0.7021276595744681,0.38823529411764707,0.5,0.6443089430894309,0.4453252032520325,0.4859756097560976
5,0.2073170731707317,0.13719512195121952,0.223989898989899,0.13588629792246734,0.15725355258462217,0.6767676767676768,0.3941176470588235,0.49814126394052044,0.6260162601626017,0.43617886178861787,0.47261904761904766
