Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.15338191755864267,0.027614991059570545,0.6190801858872405,0.12304320983538317,0.18207215132597526,0.8153345256110424,0.4648730619394985,0.5921337462950012,0.7542484003256037,0.48865040043587077,0.5563662527032842
2,0.15508995672967432,0.027622882989733727,0.6265161409606943,0.11891528287968053,0.1765777189798818,0.817020295202952,0.46312129055873663,0.5911525689589,0.7540795476316997,0.48517555251499683,0.5542707518582042
3,0.15554543384194944,0.02738274282905403,0.6700939097044352,0.13545040726464447,0.20045757025473812,0.8208817985379983,0.4668340000522917,0.5951865062168739,0.7585961281816439,0.49033800879906553,0.5592617202463775
4,0.15713960373491231,0.02762964750130217,0.6010106981810627,0.11898361451600936,0.1758323573415198,0.8165023495807611,0.46338274897377574,0.5912297966740614,0.752070605196317,0.48436050841539346,0.5533275946507291
5,0.15748121156911865,0.02751239596744917,0.628332638995467,0.11760535871635214,0.17373547420968588,0.8195162481536189,0.4641932700603969,0.5926791407254094,0.7523383869603409,0.4857754997728808,0.5540840866286841
6,0.1542928717831929,0.027687145849633926,0.5880257653323556,0.11305779425735359,0.1668578988280509,0.818957080945058,0.4594870185896933,0.5886845543161491,0.7561754201414871,0.48410603035973115,0.5529444470465384
1,0.15543156456388066,0.027647686198818015,0.6097461410613256,0.1293076734921009,0.18689243776720876,0.8198604651162791,0.46051153434177183,0.5897586028070997,0.7608920483094931,0.4895173739315165,0.5584166482713186
2,0.15452061033933046,0.027628520082707428,0.5806788377396334,0.11701669540476846,0.17104344655610534,0.8188469553137301,0.4619745539096585,0.5906934794227686,0.7602549677731869,0.49043779846131247,0.5587309111006287
3,0.15247096333409246,0.02757214915297041,0.5893563171540384,0.11952266448656716,0.17426728255269763,0.818735298187353,0.46375107767066387,0.5921144801360952,0.7594216886633193,0.4909775633599933,0.5592106058018249
4,0.15497608745160554,0.02750788629307021,0.6095145852839233,0.12170526351242394,0.1788662356785394,0.8217564685152555,0.4629934425372939,0.5922831408853165,0.761240660008025,0.4917164050049498,0.5606952821745883
5,0.15805055795946255,0.027449260526143708,0.6460118026169297,0.12591814542458185,0.18491779273505343,0.8220064724919094,0.4645087128040338,0.5935867260921094,0.7631806811321729,0.49192616639667425,0.5611375965033398
6,0.15201548622181735,0.02757553140875463,0.6123663335119404,0.11769183913356455,0.17345629290937914,0.8192698706099815,0.4631763199832798,0.5917853030024868,0.7620822081964191,0.49107877338633427,0.5594848783563756
1,0.15487985423072542,0.02763053893363371,0.5812583467188952,0.11477016615741494,0.16929055624879433,0.822740278624701,0.45837035488423145,0.5887387765377192,0.7603162401505416,0.485657210913446,0.5554620531400718
2,0.14952738868010476,0.027609115540867375,0.6182041466359722,0.12043393953990231,0.1783559322857687,0.8238390674938898,0.45805676057074163,0.5887608746766988,0.7629181331265377,0.4848191164641455,0.5554320819471742
3,0.15146338685798885,0.027791778152875077,0.5807403542581479,0.11371284044298632,0.16635939079065773,0.8156991839762612,0.45975539643547797,0.5880603001637865,0.7581938275822799,0.48547920780582215,0.555461365732618
4,0.14895797745131534,0.02760573289990427,0.5816990301720327,0.11361597632998063,0.16825086448525028,0.8234990376942215,0.4584487534626039,0.5889976329970287,0.7635828981404655,0.48400489790992013,0.5546708725410595
5,0.15226056257829404,0.027433218210785888,0.6001743097166113,0.11808157073981888,0.17444537689789588,0.8261561505336079,0.46124496942455445,0.5919839007211135,0.7640313197539026,0.48676270236741714,0.5566795683072717
6,0.15214668033253614,0.027779375136010354,0.5502618143612203,0.1144189411551765,0.16956110419089993,0.8201851242775925,0.45617519468980294,0.58627348905943,0.7638096560969809,0.48331324308433976,0.554517954343614
1,0.1518050335952625,0.027893257381768243,0.6254932505218007,0.12163539861389157,0.17861183600912392,0.8202921111670711,0.46259908595626015,0.591579990094106,0.7649598667791355,0.4916020739630539,0.5595098541626595
2,0.1541965607561781,0.027889874740805135,0.6430743340021511,0.12299197119673166,0.18031108852415687,0.8265963405526512,0.4572542539182525,0.5887985636626603,0.7660933237889166,0.4867823164618719,0.5573324189956885
3,0.15453820749345176,0.02781432909262911,0.5543416953397837,0.11519851008668298,0.1677200959243095,0.8237325597458213,0.46190193395130263,0.5919002084505178,0.7644282848331362,0.48973075548820644,0.5589836901352997
4,0.15510761872224121,0.02783011475045694,0.5896094592066332,0.12125743334125108,0.176810444783471,0.8223415484877691,0.4626507268455163,0.5921544003436994,0.7647869687159061,0.4900396938997996,0.5600474256804611
5,0.15294385605284136,0.027982333593796687,0.606384722998617,0.11957395513338849,0.17532927548362706,0.8221265166249884,0.45839035348188695,0.5885980471793512,0.7629926536913212,0.48697921371583425,0.556208553033486
6,0.14816080173101012,0.027956400013079544,0.6187924015980928,0.11492622795797797,0.16825306258745987,0.8221369457672569,0.4591391463761006,0.5892176679147751,0.7649611479385993,0.48902425119014076,0.5582894599348381
1,0.14986903541737842,0.027857175878161784,0.6007612595937342,0.11685707456399712,0.17202903216082222,0.8227177700348433,0.4587942692815876,0.5890825627037456,0.7630006525633448,0.48631596942580885,0.5570130726410839
2,0.15624644117982006,0.02764632459146154,0.6420531939154959,0.12254364997820072,0.18026797758919524,0.8255943020997133,0.4624731210653126,0.5928496703807642,0.7667540544462308,0.48954791475717346,0.5600302345150672
3,0.15294385605284136,0.027797415887813585,0.604719611959624,0.11290581026771966,0.1666468388049588,0.8217812644208583,0.461359102567424,0.5909505716039755,0.7651262737186892,0.4874895761212809,0.5589444692618949
4,0.14952738868010476,0.027893257381768243,0.5265729852337171,0.11070434573644984,0.16036084586936866,0.8187462631651566,0.4612036581258582,0.5900367902953167,0.7636766702277463,0.4879253215561723,0.5583139031176202
5,0.15226056257829404,0.027741038538428492,0.6574855975881808,0.12262520484304758,0.1816404549343257,0.8235022189349113,0.46151454700898986,0.5915226378442995,0.7654431555866472,0.48758774077786715,0.5585089590173304
6,0.1526022093155677,0.02773878344445309,0.577067112979023,0.12166561410170768,0.17597179779102975,0.8241478325305669,0.4610223062773647,0.5912844112907245,0.7676213753852975,0.48720154514910247,0.5589027814781738
Promedio,0.15332778955978785,0.027690696800930236,0.6046475661076259,0.11920455263699188,0.17517308781666505,0.8211507448132608,0.4613053655248122,0.5907359513817328,0.7615759081681795,0.48781076106300403,0.5574079831109102
