Experimento,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples)
1,0.014150943396226415,0.2863881401617251,0.5897982078741819,0.36581292424889533,0.43477787468495077,0.6609442060085837,0.4297674418604651,0.5208568207440811,0.6439128481581312,0.42939179531160665,0.4809368828236752
2,0.0047169811320754715,0.2941374663072776,0.597969171628522,0.38404658106205153,0.4498702972385328,0.635752688172043,0.44,0.520065970313359,0.6107498502545672,0.4319509107244957,0.47664374717648855
3,0.02358490566037736,0.28470350404312667,0.6144501836542442,0.378447933953814,0.45680751444649453,0.6657060518731989,0.4297674418604651,0.5223289994347089,0.6311489218328842,0.4336954450161998,0.47694049614832085
4,0.02358490566037736,0.2863881401617251,0.5994231774898917,0.38278150581605874,0.4521047838321908,0.6564673157162726,0.4390697674418605,0.5261984392419174,0.6399258760107817,0.43550685425685426,0.48951949517987253
5,0.0047169811320754715,0.29110512129380056,0.613827865060944,0.3746674157967216,0.44387884328017185,0.6475524475524476,0.4306976744186046,0.5173184357541899,0.6244159928122192,0.42088131993792377,0.47050415760547776
6,0.0,0.2914420485175202,0.5764834683548673,0.404974878432579,0.46377739841411864,0.6349614395886889,0.4595348837209302,0.533189422558014,0.6226425304255493,0.45811143782841895,0.4899966978698944
1,0.02830188679245283,0.29043126684636117,0.58660022533996,0.3790244690535512,0.4448681024507864,0.6471389645776566,0.44063079777365494,0.5242825607064018,0.6444350853548967,0.4581379836096817,0.5000089850015371
2,0.009433962264150943,0.3005390835579515,0.5721386241249975,0.3483610150491427,0.41633466716252,0.6336206896551724,0.4090909090909091,0.4971815107102593,0.6208951033243485,0.4130661398350077,0.46467779430459777
3,0.018867924528301886,0.2988544474393531,0.5949915875784891,0.3849906912332262,0.4488222167685677,0.6245110821382008,0.44434137291280146,0.5192411924119241,0.6335579514824796,0.45940095020283706,0.4957676071924129
4,0.014150943396226415,0.2863881401617251,0.6055640302774591,0.39971019698464977,0.46533554675715777,0.65,0.4582560296846011,0.5375408052230686,0.6503032345013476,0.4719237523482806,0.510135563659426
5,0.009433962264150943,0.29514824797843664,0.5722041864066162,0.38918711444419046,0.4507417028755273,0.6328947368421053,0.4461966604823748,0.5233949945593036,0.630171832884097,0.45546077350322633,0.4951054063706672
6,0.018867924528301886,0.29784366576819404,0.5911640230372388,0.3574360890381154,0.4301124550569369,0.6385714285714286,0.41465677179962895,0.5028121484814398,0.6355851302785265,0.42379693157995046,0.4746972105462672
1,0.03773584905660377,0.2921159029649596,0.5954781467332574,0.40447347452913185,0.4659203178345645,0.6266318537859008,0.4524033930254477,0.5254515599343186,0.6247922282120396,0.4786369421982629,0.5007438031508509
2,0.02830188679245283,0.29346361185983827,0.5855080677056325,0.3806132838663659,0.4381661924260149,0.6290760869565217,0.4363807728557964,0.5153032832498609,0.6043388739143457,0.4479241539383049,0.48322732037354676
3,0.02830188679245283,0.29245283018867924,0.5931788544516866,0.38285734191994136,0.4454922662111069,0.6320109439124487,0.4354382657869934,0.515625,0.6094489368074274,0.446170260557053,0.4853812953910068
4,0.02358490566037736,0.2941374663072776,0.5699018939379802,0.37942340941265895,0.4362039981442129,0.6280653950953679,0.4344957587181904,0.5136490250696378,0.6120582509733451,0.439882824198862,0.4816153586825062
5,0.02358490566037736,0.2863881401617251,0.6080928406132388,0.3943020975868315,0.4609933450558487,0.6439290586630286,0.4448633364750236,0.5261984392419174,0.6321770603610226,0.4543426175501647,0.49292213289854797
6,0.02358490566037736,0.28975741239892183,0.6130426961467359,0.37516487869905785,0.444911910259508,0.6429587482219061,0.42601319509896324,0.5124716553287982,0.6001628481581311,0.4296552111410602,0.46765416187586006
1,0.009433962264150943,0.29851752021563344,0.5509795456884501,0.36282104616730176,0.4251902100309062,0.6090014064697609,0.4159462055715658,0.4942922374429224,0.5878294399520814,0.40906044950856274,0.4488146657264305
2,0.009433962264150943,0.28402964959568733,0.5952305145196615,0.3935545449106766,0.46140281631837116,0.6356164383561644,0.4457252641690682,0.5239977413890458,0.6148304132973944,0.43559721201230633,0.47571632723547264
3,0.018867924528301886,0.29278975741239893,0.566800803113169,0.3811314615331432,0.44281644869477116,0.6181318681318682,0.4322766570605187,0.5087620124364047,0.600801138065289,0.4263145266683003,0.4693954560977313
4,0.02830188679245283,0.2887466307277628,0.5826158810938532,0.36194020830079054,0.4302000349140311,0.6333333333333333,0.4197886647454371,0.5049104563835933,0.6309574859103162,0.4212105897247407,0.4704021159925418
5,0.018867924528301886,0.29683288409703507,0.5373282573691299,0.3763505260098596,0.43102228677949617,0.606951871657754,0.43611911623439004,0.5075461151481274,0.5916853848457622,0.4413886166244657,0.47328917836906037
6,0.018867924528301886,0.2860512129380054,0.5905818079164539,0.37749762091576156,0.44393779355357355,0.6363636363636364,0.4303554274735831,0.5134670487106017,0.6218721922731357,0.43376078847776967,0.4791114145442669
1,0.0047169811320754715,0.3018867924528302,0.5893766091756933,0.38147560258329466,0.44685049258568293,0.6475195822454308,0.44206773618538325,0.5254237288135594,0.6363039083557952,0.43472596585804135,0.48256506950319383
2,0.014150943396226415,0.3002021563342318,0.5892312497388584,0.39932084976098997,0.4597555359941814,0.6452830188679245,0.4572192513368984,0.5352112676056338,0.6311114854746929,0.4597091194968554,0.5012274936803238
3,0.009433962264150943,0.30390835579514824,0.5787483016352605,0.37393527015261535,0.43715428836308073,0.6458885941644562,0.43404634581105167,0.5191897654584222,0.6213678224291432,0.43482704402515726,0.4831255707851157
4,0.014150943396226415,0.3022237196765499,0.5922456931593997,0.3663868298040982,0.4294227898168728,0.6530612244897959,0.42780748663101603,0.5169628432956381,0.6261848607367474,0.4231805929919138,0.47789377889960577
5,0.0,0.2860512129380054,0.616154392284619,0.4035950080262504,0.4729844813275208,0.6793692509855453,0.46078431372549017,0.5491237387148168,0.6616558101227912,0.4636511680143756,0.5120182305670652
6,0.0047169811320754715,0.3002021563342318,0.6266801127984288,0.38742904897067143,0.4574265215850389,0.6513761467889908,0.44295900178253117,0.5273209549071618,0.6255053908355794,0.4517108415693321,0.4933341553624572
Promedio,0.01619496855345912,0.2931042228212039,0.5898596806302974,0.381057110608748,0.4462427710954246,0.6397563169728545,0.4372233314577881,0.5193106057756377,0.6240275962681622,0.4407691072903337,0.48344571910047407
